Ticker,Name
TRAN.BA,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.
APBR.BA,Petróleo Brasileiro S.A. - Petrobras
CSCO.BA,"Cisco Systems, Inc."
COME.BA,Sociedad Comercial del Plata S.A.
BHIP.BA,Banco Hipotecario S.A.
RIGO.BA,Rigolleau S.A.
LEDE.BA,Ledesma Sociedad Anónima Agrícola Industrial
GCLA.BA,Grupo Clarín S.A.
APBRA.BA,Petróleo Brasileiro S.A. - Petrobras
ABX.BA,Barrick Gold Corporation
MOLI.BA,Molinos Rio de la Plata S.A.
TGNO4.BA,Transportadora de Gas del Norte S.A.
PSUR.BA,Petrolera del Conosur S.A.
KOFM.BA,Coca-Cola FEMSA S.A.B de C.V.
HD.BA,"The Home Depot, Inc."
FERR.BA,Ferrum Sociedad Anonima de Ceramica y Metalurgia
FNMA.BA,Federal National Mortgage Association
FRAN.BA,BBVA Banco Francés S.A.
SAMI.BA,S.A. San Miguel A.G.I.C.I. y F.
SEMI.BA,Molinos Juan Semino S.A.
JMIN.BA,Holcim (Argentina) S.A.
PATY.BA,Quickfood Sociedad Anonima
KO.BA,The Coca-Cola Company
KMB.BA,Kimberly-Clark Corporation
TS.BA,Tenaris S.A.
YPCZO.BA,YPF SA 2% NTS 10/03/2017 USD1
NEM.BA,Newmont Mining Corporation
OYP19.BA,YPF SA 1.29% GTD NTS 04/2017 US
NKE.BA,"NIKE, Inc."
BRIO6.BA,Banco Santander Rio S.A.
BRIO.BA,Banco Santander Rio S.A.
DIY0.BA,Argentina
AY24.BA,Argentina
AS17.BA,Argentina
AGRO.BA,Agrometal S.A.I.
DICE.BA,Argentina
OVO3P.BA,OVOPROT INTERNATIO FRN 05/06/20
AO20.BA,Argentina
AO17.BA,Argentina
AF17.BA,ARGENTINA(REP OF) 0.75% 22/02/2
OAEY1.BA,OAEY1.BA
OVOP.BA,Ovoprot International S.A.
CTIO.BA,Consultatio S.A.
OIRY7.BA,OIRY7.BA
TVPP.BA,Argentina
CO17.BA,Cordoba (Province of)
PMD18.BA,Mendoza (Province of)
SNP.BA,China Petroleum & Chemical Corp.
QCOM.BA,QUALCOMM Incorporated
QCC8O.BA,QCC8O.BA
VALE.BA,VALE S.A. CEDEAR (EACH REP 0.5
TGLT.BA,TGLT S.A.
T.BA,AT&T Inc.
YPCNO.BA,YPF Sociedad Anonima
UTX.BA,United Technologies Corporation
ERAR.BA,Ternium Siderar
WMT.BA,"Wal-Mart Stores, Inc."
DISN.BA,The Walt Disney Company
WFC.BA,Wells Fargo & Company
XOM.BA,Exxon Mobil Corporation
YPCPO.BA,YPF Sociedad Anonima
BDED.BA,BUENOS AIRES(PROV) 9.25% NTS 15
GJ17.BA,Argentina
BPLD.BA,Buenos Aires (Province of)
XNC4O.BA,XNC4O.BA
XNC6O.BA,XNC6O.BA
XNC5O.BA,XNC5O.BA
XNC3O.BA,XNC3O.BA
XNC2O.BA,XNC2O.BA
