Ticker,Name
BMH.AX,Baumart Holdings Limited
BRK.AX,Brookside Energy Limited
MTU.AX,M2 Group Ltd
MPX.AX,Mustera Property Group Limited
GPH.AX,Australian Potash Limited
PRA.AX,Thred Limited
ICG.AX,Inca Minerals Limited
DLS.AX,"Drillsearch Energy, Ltd."
CLA.AX,Celsius Resources Limited
OXXCB.AX,Octanex N.L.
CBS.AX,Cabral Resources Limited
VELCP.AX,Vealls Limited
ORG.AX,Origin Energy Limited
ANZ.AX,Australia and New Zealand Banking Group Limited
XRF.AX,XRF Scientific Limited
WOW.AX,Woolworths Limited
WAT.AX,Waterco Limited
QBE.AX,QBE Insurance Group Limited
MDG.AX,Medtech Global Limited
VTX.AX,Wangle Technologies Limited
BXB.AX,Brambles Limited
BHP.AX,BHP Billiton Limited
WVL.AX,Titanium Sands Limited
WRR.AX,World Reach Limited
STO.AX,Santos Limited
NHH.AX,Newhaven Hotels Ltd.
NEN.AX,Neon Capital Limited
NDO.AX,Nido Petroleum Limited
MQG.AX,Macquarie Group Limited
MCX.AX,Mariner Corporation Limited
KTE.AX,K2 Energy Limited
KIK.AX,Kairiki Energy Limited.
IPT.AX,Impact Minerals Limited
BMP.AX,BuyMyPlace.com.au Limited
ZYL.AX,ZYL.AX
WPL.AX,Woodside Petroleum Ltd
WNS.AX,World.Net Services Ltd.
WHC.AX,Whitehaven Coal Limited
WES.AX,Wesfarmers Limited
WDS.AX,WDS Limited
WCC.AX,The Waterberg Coal Company Limited
VMS.AX,Venture Minerals Limited
VKA.AX,Viking Mines Limited
UCW.AX,UCW Limited
TZL.AX,TZ Limited
TLS.AX,Telstra Corporation Limited
SXL.AX,Southern Cross Media Group Limited
REA.AX,REA Group Limited
PBD.AX,Tian An Australia Limited
NMS.AX,Neptune Marine Services Limited
NME.AX,Nex Metals Explorations Limited
NFE.AX,Northern Iron Limited
NAB.AX,National Australia Bank Limited
LER.AX,Leaf Resources Limited
LCT.AX,Living Cell Technologies Limited
LAU.AX,Lindsay Australia Limited
KOV.AX,Korvest Ltd
KME.AX,Kip McGrath Education Centres Limited
KBC.AX,KeyBridge Capital Limited
IRI.AX,Integrated Research Limited
HIL.AX,Hills Limited
CPU.AX,Computershare Limited
CMW.AX,Cromwell Property Group
CBA.AX,Commonwealth Bank of Australia
BBG.AX,Billabong International Limited
ANN.AX,Ansell Limited
PNA.AX,PanAust Limited
ZRL.AX,Trek Metals Limited
ZGL.AX,Zicom Group Limited
WSA.AX,Western Areas Ltd
WOR.AX,WorleyParsons Limited
WEC.AX,White Energy Company Limited
WBC.AX,Westpac Banking Corporation
WBA.AX,Webster Limited
SDL.AX,Sundance Resources Limited
VIP.AX,Voltage IP Limited
VII.AX,Vietnam Industrial Investments Limited
VIE.AX,Viento Group Limited
UGL.AX,UGL Limited
TPM.AX,TPG Telecom Limited
TGZ.AX,Teranga Gold Corporation
TGR.AX,Tassal Group Limited
TCN.AX,Techniche Ltd.
TCL.AX,Transurban Group
SUD.AX,Suda Limited
RRS.AX,Range Resources Limited
RHC.AX,Ramsay Health Care Limited
PLS.AX,Pilbara Minerals Limited
OZL.AX,OZ Minerals Limited
OKU.AX,Oklo Resources Limited
NSX.AX,NSX Limited
NOE.AX,Novarise Renewable Resources International Limited
NML.AX,Navarre Minerals Limited
MYR.AX,Myer Holdings Limited
MOC.AX,Mortgage Choice Limited
MMR.AX,MEC Resources Limited
MKO.AX,Echo Resources Limited
LNR.AX,Lonestar Resources Limited
KRS.AX,Kresta Holdings Limited
KNH.AX,Koon Holdings Limited
KKT.AX,Konekt Limited
KAS.AX,Kasbah Resources Limited
JRV.AX,Jervois Mining Limited
ORS.AX,Octagonal Resources Limited
IMU.AX,Imugene Limited
ILU.AX,Iluka Resources Limited
HVN.AX,Harvey Norman Holdings Limited
GNC.AX,GrainCorp Limited
GML.AX,Gateway Mining Limited
GID.AX,"GI Dynamics, Inc."
COH.AX,Cochlear Limited
SPX.AX,Spectrum Rare Earths Limited
BLD.AX,Boral Limited
BEN.AX,Bendigo and Adelaide Bank Limited
ASX.AX,ASX Limited
AMP.AX,AMP Limited
3DM.AX,Mach7 Technologies Limited
IIN.AX,iiNet Ltd.
YAL.AX,Yancoal Australia Ltd
XTD.AX,XTD Limited
WTR.AX,World Titanium Resources Limited
WFD.AX,Westfield Corporation Limited
WCP.AX,WCP Resources Limited
WBAPA.AX,Webster Limited
VELIN.AX,Vealls Limited
UUL.AX,Ultima United Limited
USG.AX,"US Select Private Opportunities Fund II, L.P."
UOS.AX,United Overseas Australia Limited
UCM.AX,Uscom Limited
UBI.AX,"Universal Biosensors, Inc."
TZN.AX,Terramin Australia Limited
TWE.AX,Treasury Wine Estates Limited
TPI.AX,Cleanaway Waste Management Limited
TGS.AX,Tiger Resources Limited
TEN.AX,Ten Network Holdings Limited
