Ticker,Name
VBPS.VI,VBPS.VI
CAI.VI,CA Immobilien Anlagen Aktiengesellschaft
ATRS.VI,Atrium European Real Estate Limited
EBS.VI,Erste Group Bank AG
VLA.VI,Valneva SE
VIG.VI,Vienna Insurance Group AG
UQA.VI,UNIQA Insurance Group AG
TEAK.VI,TEAK HOLZ INT. AG
MAN.VI,Josef Manner & Comp. AG
KTCG.VI,Kapsch TrafficCom AG
QCP.VI,QINO CAPITAL PARTNERS AG
VOE.VI,Voestalpine AG
SLBV.VI,Schlumberger Aktiengesellschaft
GAGV.VI,Gurktaler AG
FLU.VI,Flughafen Wien Aktiengesellschaft
SWUT.VI,SW Umwelttechnik Stoiser & Wolschner AG
WIE.VI,Wienerberger AG
ZAG.VI,Zumtobel Group AG
ABE.VI,AB Effectenbeteiligungen AG
AEM.VI,AUSTRIA EMAIL AG
ANDR.VI,Andritz AG
TKA.VI,Telekom Austria Aktiengesellschaft
EVN.VI,EVN AG
ECO.VI,ECO.VI
AGR.VI,AGRANA Beteiligungs-Aktiengesellschaft
KRGS.VI,Kreco Realitaeten AG
BENE.VI,BENE.VI
EAGB.VI,EAG-Beteiligungs Aktiengesellschaft
C8I.VI,C-QUADRAT Investment AG
RHI.VI,RHI AG
WOL.VI,Wolford Aktiengesellschaft
KTM.VI,KTM AG
AGLT.VI,Angel Telecom AG
WPAG.VI,WP AG
UBS.VI,UBM Development AG
VER.VI,VERBUND AG
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft
BHD.VI,Burgenland Holding Aktiengesellschaft
SAC.VI,Sanochemia Pharmazeutika AG
POST.VI,Österreichische Post AG
UIV.VI,Unternehmens Invest AG
HTI.VI,HTI High Tech Industries AG
SLBS.VI,Schlumberger Aktiengesellschaft
OTS.VI,Ottakringer Getränke AG
PARS.VI,Pankl Racing Systems AG
BIND.VI,BIND.VI
OBV.VI,Oberbank AG
OBS.VI,Oberbank AG
ROS.VI,Rosenbauer International AG
OMV.VI,OMV Aktiengesellschaft
RBI.VI,Raiffeisen Bank International AG
PYT.VI,Polytec Holding AG
OTV.VI,Ottakringer Getränke AG
SPI.VI,S IMMO AG
POS.VI,PORR AG
LNZ.VI,Lenzing Aktiengesellschaft
AMAG.VI,AMAG Austria Metall AG
STR.VI,Strabag SE
SEM.VI,Semperit Aktiengesellschaft Holding
FKA.VI,Frauenthal Holding AG
DOC.VI,DO & CO Aktiengesellschaft
IPO.VI,NEXXCHANGE AG
HUS.VI,Hutter & Schrantz AG
MTHO.VI,Management Trust Holding AG
IIA.VI,Immofinanz AG
BWT.VI,BWT Aktiengesellschaft
PIAG.VI,PIAG.VI
ATH.VI,Athos Immobilien AG
BET.VI,Betbull Holding SE
FACC.VI,FACC AG
BTS.VI,Bank für Tirol und Vorarlberg Aktiengesellschaft
CWI.VI,Conwert Immobilien Invest SE
PAL.VI,Palfinger AG
HED.VI,Maschinenfabrik HEID AG
AW2.VI,Autobank AG
BKV.VI,BKS Bank AG
UBSE.VI,UBSE.VI
GAGS.VI,Gurktaler AG
CIAG.VI,KTM Industries AG
SGS.VI,SCOTTY GROUP SE
HST.VI,Hutter & Schrantz Stahlbau AG
OBSE.VI,OBSE.VI
WXF.VI,Warimpex Finanz- und Beteiligungs Aktiengesellschaft
SBO.VI,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft
HIS.VI,HIRSCH SERVO AG
STM.VI,Stadlauer Malzfabrik Aktiengesellschaft
BWO.VI,BUWOG AG
WPB.VI,Wiener Privatbank SE
OESD.VI,Österreichische Staatsdruckerei Holding AG
PIN.VI,PI Power International Limited
VVPS.VI,Vorarlberger Volksbank registrierte Genossenschaft mit beschränkter Haftung
LTH.VI,Linz Textil Holding Aktiengesellschaft
BKS.VI,BKS Bank AG
RAT.VI,Rath Aktiengesellschaft
BTV.VI,Bank für Tirol und Vorarlberg Aktiengesellschaft
BPTY.VI,BPTY.VI
CRF.VI,CEEREF SA
VLAP.VI,Valneva SE
GVC.VI,GVC Holdings PLC
