Ticker,Name
ABLX.BR,Ablynx NV
ABI.BR,Anheuser-Busch InBev SA/NV
AGS.BR,ageas SA/NV
SIP.BR,SociÃ©tÃ© Internationale de Plantations et de Finance
TESB.BR,Tessenderlo Group NV
SOLB.BR,Solvay SA
REC.BR,Recticel NV/SA
KBC.BR,KBC Group NV
COLR.BR,Etn. Fr. Colruyt NV
FLUX.BR,Fluxys Belgium SA
UCB.BR,UCB SA
SOLV.BR,Solvac S.A.
MOUR.BR,Moury Construct SA
MELE.BR,Melexis NV
KIN.BR,Kinepolis Group NV
IBAB.BR,Ion Beam Applications SA
GLPG.BR,Galapagos NV
GBLB.BR,Groupe Bruxelles Lambert SA
EVS.BR,EVS Broadcast Equipment S.A.
EURN.BR,Euronav NV
DIE.BR,D'Ieteren SA
COFB.BR,Cofinimmo S.A.
TUB.BR,Financière de Tubize S.A.
DEXB.BR,Dexia SA
DELB.BR,"Etablissements Delhaize Frères et Cie ""Le Lion"" (Groupe Delhaize) SA"
WDP.BR,Warehouses De Pauw Comm. VA
PARD.BR,Pairi Daiza SA
IMMO.BR,IMMOBEL SA
TUBAT.BR,TUBIZE (ATTR)
TNET.BR,Telenet Group Holding NV
ONTEX.BR,Ontex Group NV
TIG.BR,TiGenix NV
THR.BR,ThromboGenics NV
TERB.BR,Ter Beke NV
SUCR.BR,Sucraf NV
SIOE.BR,Sioen Industries NV
OPTI.BR,Option NV
NYR.BR,Nyrstar NV
OTCB.BR,Option Trading Company N.V.
ELI.BR,Elia System Operator SA
QRF.BR,Qrf Comm. VA
REA.BR,RealDolmen NV
UMI.BR,Umicore S.A.
UNITB.BR,"Unitronics (1989) (R""G) Ltd"
VRAP.BR,VRAP.BR
VGP.BR,VGP NV
WOLS.BR,Woluwe Shopping Center
WEB.BR,Warehouses Estates Belgium SCA
XIOR.BR,Xior Student Housing NV
ZEN.BR,Immo-Zenobe Gramme SA
ZENT.BR,Zenitel NV
ZTS.BR,Zetes Industries SA
ABO.BR,ABO-Group Environment NV
ACCB.BR,Accentis N.V.
ACKB.BR,Ackermans & Van Haaren NV
AED.BR,Aedifica SA
AGFB.BR,Agfa-Gevaert N.V.
ALEMK.BR,Emakina Group SA
ALKKO.BR,KKO International S.A.
ALEVA.BR,Evadix Sa
ALPBS.BR,EuroPubliDis SA
ANT.BR,Immo-Antares NV
KBCA.BR,KBC Ancora SCA
ARGX.BR,argenx SE
ASC.BR,Ascencio SCA
ATEB.BR,Atenor Group
AUDB.BR,Communale Place Of Auderghem
BEAB.BR,Immo-Beaulieu NV
BAS.BR,Basilix Cert
BAR.BR,Barco NV
LOTB.BR,Lotus Bakeries NV
BANI.BR,Banimmo S.A.
BCART.BR,Biocartis Group NV
SOF.BR,Sofina Société Anonyme
ICE.BR,Ice Concept SA
SPA.BR,"SociÃ©te de Services,de Participations,de Direction et d'Elaboration"
SAP.BR,Sapec SA
SAB.BR,Société Anonyme Belge de Constructions Aéronautiques
RES.BR,Resilux NV
MIKO.BR,Miko NV
IEP.BR,"Iep Invest, NV"
GIMB.BR,GIMV NV
FLOB.BR,Floridienne S.A.
EZBG.BR,Eckert & Ziegler BEBIG S.A.
ENGB.BR,Rosier SA
ECONB.BR,Econocom Group SE
DIEG.BR,Immolease Trust NV
DECB.BR,Deceuninck NV
COBH.BR,Brouwerij Handelsmaatschappij NV
BPOST.BR,bpost SA/NV
BELU.BR,Beluga NV
BEKB.BR,NV Bekaert SA
THI.BR,Think Media NV
UNI.BR,U&I Learning NV
KEYW.BR,Keyware Technologies NV
COFP1.BR,Cofinimmo S.A.
PIC.BR,Picanol NV
EMD.BR,EMD Music SA
ROU.BR,Roularta Media Group NV
CMB.BR,CMB NV
VIO.BR,VIOHALCO S.A.
SMAR.BR,Smartphoto Group NV
