Ticker,Name
LAME4.SA,Lojas Americanas S.A.
ABEV3.SA,Ambev S.A.
VALE5.SA,Vale S.A.
SBSP3.SA,Companhia de Saneamento BÃ¡sico do Estado de SÃ£o Paulo - SABESP
VALE3.SA,Vale S.A.
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras
OIBR4.SA,Oi S.A.
BBDC4.SA,Banco Bradesco S.A.
MRVE3.SA,MRV Engenharia e Participações S.A.
ITUB4.SA,Itaú Unibanco Holding S.A.
EMBR3.SA,Embraer S.A.
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações
BTOW3.SA,B2W - Companhia Digital
BRKM5.SA,Braskem S.A.
USIM3.SA,Usinas Siderúrgicas de Minas Gerais S.A.
BVMF3.SA,"B3 S.A. - Brasil, Bolsa, Balcão"
BBDC3.SA,Banco Bradesco S.A.
PRML3.SA,Prumo Logística S.A.
MRFG3.SA,Marfrig Global Foods S.A.
JBSS3.SA,JBS S.A.
DTEX3.SA,Duratex S.A.
CPLE6.SA,Companhia Paranaense de Energia - COPEL
CPFE3.SA,CPFL Energia S.A.
CGAS5.SA,Companhia de GÃ¡s de SÃ£o Paulo - COMGÃS
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A.
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.
RSID3.SA,Rossi Residencial S.A.
PFRM3.SA,Profarma Distribuidora de Produtos Farmacêuticos S.A.
PCAR4.SA,Companhia Brasileira de Distribuição
CESP6.SA,CESP - Companhia Energética de São Paulo
BBAS3.SA,Banco do Brasil S.A.
VLID3.SA,Valid Soluções e Serviços de Segurança em Meios de Pagamentos e Identificação S.A.
SNSY6.SA,SANSUY PNB
SNSY3.SA,Sansuy S.A.
RPMG3.SA,Refinaria de PetrÃ³leos de Manguinhos S.A.
RNGO11.SA,Fundo de Investimento Imobiliário Rio Negro
MRSA-DEB72B0.SA,MRS LOGIST D72 MB
JBDU4.SA,Indústrias J. B. Duarte S/A
HOME34.SA,"The Home Depot, Inc."
GRND3.SA,Grendene S.A.
GEPA3.SA,Rio Paranapanema Energia S.A.
TBLE3.SA,Engie Brasil Energia S.A.
SMLE3.SA,Smiles S.A.
REDE3.SA,Rede Energia S.A.
PDGR3.SA,PDG Realty S.A. Empreendimentos e Participações
MMXM3.SA,MMX Mineração e Metálicos S.A.
KROT3.SA,Kroton Educacional S.A.
EXXO34.SA,Exxon Mobil Corporation
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobras
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.
XBOV11.SA,CAIXA ETF Ibovespa Fundo de Índice - Cotas Fund
WEGE3.SA,WEG S.A.
TIFF34.SA,Tiffany & Co.
FIBR3.SA,Fibria Celulose S.A.
FDXB34.SA,FedEx Corporation
FBOK34.SA,"Facebook, Inc."
WPLZ11B.SA,FD INV IM SHOPP WE COTAS
HGTX3.SA,Cia. Hering
LFFE3.SA,JPSP Investimentos e ParticipaÃ§Ãµes S.A.
BBVJ11.SA,Real Estate Investment Fund BB Votorantim Garden City JHSF Continental Tower Fund
CEGR3.SA,Companhia Distribuidora de Gás do Rio de Janeiro - CEG
JNJB34.SA,Johnson & Johnson
LFFE4.SA,JPSP Investimentos e ParticipaÃ§Ãµes S.A.
JSRE11.SA,JS Real Estate multigestão - FII fund
JPPC11.SA,JPP Capital Fundo Invest Imobiliario FII
HGJH11.SA,Cshg Jhsf Prime Offices Fundo De Investimento Imobiliario
JSLG3F.SA,JSLG3F.SA
MCRJ11B.SA,PREFEITURA DO MUNI CERT (CONS D
JSLG-DEB63L1.SA,JSL D63 NM
SJOS4F.SA,SJOS4F.SA
JSLG-DEB61B0.SA,JSL D61 NM
JBDU3.SA,Indústrias J. B. Duarte S/A
JPMC34.SA,JPMorgan Chase & Co.
JOPA4F.SA,JOPA4F.SA
MEND3.SA,Mendes Junior Engenharia S.A.
MEND5.SA,Mendes Júnior Engenharia S.A.
TEKA3.SA,Teka Tecelagem Kuehnrich S.A.
MYPK3.SA,Iochpe-Maxion S.A.
BERK34F.SA,Berkshire Hathaway Inc.
BERK34.SA,Berkshire Hathaway Inc.
KLBN4.SA,Klabin S.A.
ELEK3.SA,Elekeiroz S.A.
MYPK-DCA61L0.SA,IOCHP-MAXIOND61 NM
MCDC34.SA,McDonald's Corporation
NATU3.SA,Natura Cosméticos S.A.
BSAN33.SA,"Banco Santander, S.A."
TECN3.SA,Technos S.A.
NFLX34.SA,"Netflix, Inc."
OIBR3.SA,Oi S.A.
CCRO3.SA,CCR S.A.
RUMO3.SA,Rumo Logística Operadora Multimodal S.A.
PRIO3.SA,Petro Rio S.A.
OSXB3.SA,OSX Brasil S.A.
ORCL34.SA,Oracle Corporation
ODPV3.SA,Odontoprev S.A.
GEOO34F.SA,General Electric Company
GEOO34.SA,General Electric Company
FDMO34.SA,Ford Motor Company
CTIP3.SA,CETIP S.A. - Mercados Organizados
CSCO34F.SA,"Cisco Systems, Inc."
CPLE3.SA,Companhia Paranaense de Energia - COPEL
CMIG4.SA,Companhia Energética de Minas Gerais
CBOP11.SA,Castello Branco Off Park Fund In Im
AMZO34.SA,"Amazon.com, Inc."
SULT3F.SA,SULT3F.SA
NUTR3F.SA,NUTR3F.SA
FJTA11.SA,FORJA TAURUSBNS ORD N2
CPTP3B.SA,CAPITALPART PARTIC COM NPV
CEPE3F.SA,CEPE3F.SA
CBEE3F.SA,CBEE3F.SA
PTNT3F.SA,PTNT3F.SA
XPOM11.SA,Fundo Invest part Infra XP Omega I - Cotas Fund
BNBR3F.SA,BNBR3F.SA
OIBR-DEB92L0.SA,OI D92 N1
CEEB3F.SA,CEEB3F.SA
EKTR3F.SA,EKTR3F.SA
SNSL3F.SA,SNSL3F.SA
ECOO11.SA,iShares Índice Carbono Eficiente (ICO2) Brasil - Fundo de Índice
OFSA3.SA,Ouro Fino Saúde Animal Participações S.A.
TKNO4.SA,Tekno S.A. Indústria e Comércio
JOPA4.SA,JOSAPAR Joaquim Oliveira S.A. Participações
BMTO4.SA,Brasmotor S.A.
OVSA-DEB31B0.SA,OURO VERDE D31 EJA
RUMO9.SA,Rumo Logística Operadora Multimodal S.A.
SCLO3F.SA,SCLO3F.SA
BMTO3.SA,Brasmotor S.A.
OPRE1B.SA,OPRE1B.SA
UGPA3.SA,Ultrapar Participações S.A.
TIMP3.SA,TIM Participações S.A.
QUAL3.SA,Qualicorp S.A.
SINQ11.SA,FIA FATOR IVCI
FVPQ11.SA,FII V PARQUECI ER
QCOM34.SA,QUALCOMM Incorporated
FCCQ11.SA,FCCQ - Conquest Fundo Investimento Participacoes - Cota Fundo  Cotas Fund
QGEP3.SA,QGEP Participações S.A.
