Ticker,Name
WJA.TO,WestJet Airlines Ltd.
GS.TO,Gluskin Sheff + Associates Inc.
AYA.TO,The Stars Group Inc.
ATP.TO,Atlantic Power Corporation
ALA.TO,AltaGas Ltd.
AKG.TO,Asanko Gold Inc.
ABX.TO,Barrick Gold Corporation
PAA.TO,Pan American Silver Corp.
BBD-A.TO,Bombardier Inc.
BAM-A.TO,Brookfield Asset Management Inc.
AVL.TO,Avalon Advanced Materials Inc.
ATH.TO,Athabasca Oil Corporation
AQA.TO,Aquila Resources Inc.
ARN.V,Arcan Resources Ltd.
ORT.TO,Orbite Technologies Inc.
IAG.TO,Industrial Alliance Insurance and Financial Services Inc.
ATA.TO,ATS Automation Tooling Systems Inc.
AGU.TO,Agrium Inc.
AD.TO,Alaris Royalty Corp.
RGX.TO,Argex Titanium Inc.
AET-UN.TO,Argent Energy Trust
CRP.TO,Ceres Global Ag Corp.
ATD-B.TO,Alimentation Couche-Tard Inc.
ARX.TO,ARC Resources Ltd.
ALB.TO,Allbanc Split Corp. II
AFN.TO,Ag Growth International Inc.
TRZ-B.TO,"Transat AT, Inc."
SAS.TO,St Andrew Goldfields Ltd.
RBA.TO,Ritchie Bros. Auctioneers Incorporated
PDL.TO,North American Palladium Ltd.
MDA.TO,"MacDonald, Dettwiler and Associates Ltd."
GIL.TO,Gildan Activewear Inc.
BOE.V,GrowMax Resources Corp.
AXY.TO,Alterra Power Corp.
ATD-A.TO,Alimentation Couche-Tard Inc.
AQN.TO,Algonquin Power & Utilities Corp.
AQ.V,African Queen Mines Ltd.
APY.TO,Anglo Pacific Group plc
AMM.TO,Almaden Minerals Ltd.
ALN.V,ALN.V
AJX.TO,AgJunction Inc.
AIM.TO,Aimia Inc.
AEM.TO,Agnico Eagle Mines Limited
ACQ.TO,AutoCanada Inc.
XDC.TO,Xtreme Drilling Corp.
TCL-A.TO,Transcontinental Inc.
NOA.TO,North American Energy Partners Inc.
HWO.TO,High Arctic Energy Services Inc
FLY.V,FLYHT Aerospace Solutions Ltd.
AUE.TO,Avesoro Resources Inc.
ASR.TO,Alacer Gold Corp.
AR.TO,Argonaut Gold Inc.
APO.V,Acasti Pharma Inc.
AKT-B.TO,AKITA Drilling Ltd.
AHF.TO,Logiq Asset Management Inc.
AGT.TO,AGT Food and Ingredients Inc.
AGI.TO,Alamos Gold Inc.
AGF-B.TO,AGF Management Limited
AF.TO,AlarmForce Industries Inc.
ADW-A.TO,Andrew Peller Limited
ADV.TO,Alderon Iron Ore Corp.
ACD.TO,Accord Financial Corp.
ABK-PC.TO,ALLBANC SPLIT CORP PREF C
AAC.V,Arak Resources Ltd.
TMC.TO,Timbercreek Financial Corporation
SPX.V,Stellar AfricaGold Inc.
ORA.TO,Aura Minerals Inc.
NAF-UN.TO,Global Capital Securities Trust
MAL.TO,Magellan Aerospace Corporation
LAS-A.TO,Lassonde Industries Inc.
AXL.TO,Anderson Energy Inc.
LA.V,Los Andes Copper Ltd.
KWA.V,Mainstreet Health Investments Inc.
AM.TO,Automodular Corp.
IAM.TO,Integrated Asset Management Corp.
EOG.V,Eco (Atlantic) Oil & Gas Ltd.
DRX.TO,ADF Group Inc.
CLC.TO,Connacher Oil and Gas Ltd.
BOS.TO,Airboss of America Corp.
AZ.TO,Arizona Mining Inc.
AXX.TO,Axia NetMedia Corporation
AUV.V,Automotive Finco Corp.
AUM.TO,Golden Minerals Company
ATN.TO,ATNA Resources Ltd.
ATC.V,ATAC Resources Ltd.
ARL.TO,Africo Resources Ltd.
ARE.TO,Aecon Group Inc.
APS.TO,Aptose Biosciences Inc.
AOT.V,Ascot Resources Ltd.
AN.V,ARENA MINERALS INC
AMX.V,Amex Exploration Inc.
ALY.V,AnalytixInsight Inc.
ALL-H.V,Allante Resources Ltd.
AGO.V,AurCrest Gold Inc.
AGM.V,Aldridge Minerals Inc.
AGE.V,"Adventure Gold, Inc."
AEZ.TO,Aeterna Zentaris Inc.
