Ticker,Name
VWS.CO,Vestas Wind Systems A/S
CARL-B.CO,Carlsberg A/S
DANSKE.CO,Danske Bank A/S
GEN.CO,Genmab A/S
WDH.CO,William Demant Holding A/S
TRYG.CO,Tryg A/S
PNDORA.CO,Pandora A/S
NOVO-B.CO,Novo Nordisk A/S
MOLS.CO,Mols-Linien A/S
MAERSK-B.CO,A.P. Møller - Mærsk A/S
JYSK.CO,Jyske Bank A/S
IC.CO,IC Group A/S
FASTPC.CO,FastPassCorp A/S
DFDS.CO,DFDS A/S
CHEMM.CO,CHEMOMETEC A/S
VIINT.CO,Victor International AS
TPSL.CO,Cemat A/S
TOP.CO,Topdanmark A/S
TDC.CO,TDC A/S
SYDB.CO,Sydbank A/S
SPNO.CO,Spar Nord Bank A/S
SALB.CO,Salling Bank A/S
RIAS-B.CO,RIAS A/S
RBREW.CO,Royal Unibrew A/S
PRIMOF.CO,Prime Office A/S
OJBA.CO,Østjydsk Bank A/S
NZYM-B.CO,Novozymes A/S
NRDC.CO,Nordicom A/S
NNIT.CO,NNIT A/S
NKT.CO,NKT A/S
MPI.CO,Medical Prognosis Institute A/S
LUN.CO,H. Lundbeck A/S
LL-B.CO,Land & Leisure A/S
LASP.CO,Lån & Spar Bank A/S
JDAN.CO,Jeudan A/S
ISS.CO,ISS A/S
GN.CO,GN Store Nord A/S
GJ.CO,Glunz & Jensen Holding A/S
GES.CO,Greentech Energy Systems A/S
FLS.CO,FLSmidth & Co. A/S
EXQ.CO,Exiqon A/S
ENALYZ.CO,Enalyzer A/S
JOBNDX.CO,Jobindex A/S
ONXEO.CO,Onxeo SA
BO.CO,Bang & Olufsen a/s
WIRTEK.CO,WirTek A/S
ZEAL.CO,Zealand Pharma A/S
AAB.CO,Aalborg Boldspilklub A/S
ELITE-B.CO,Aarhus Elite A/S
PAAL-B.CO,Per Aarsleff Holding A/S
NDA-DKK.CO,Nordea Bank AB (publ)
SAS-DKK.CO,SAS AB (publ)
ADMCAP-B.CO,Admiral Capital A/S
VIBHK.CO,Nordic Blue Invest A/S
RILBA.CO,Ringkjøbing Landbobank A/S
SCHO.CO,Aktieselskabet Schouw & Co.
ALK-B.CO,ALK-Abelló A/S
ALMB.CO,Alm. Brand A/S
AM-B.CO,Andersen & Martini A/S
AMBU-B.CO,Ambu A/S
DAB.CO,Danske Andelskassers Bank A/S
AOJ-P.CO,Brødrene A & O Johansen A/S
ARKIL-B.CO,Arkil Holding A/S
ASGGRO.CO,Asgaard Group A/S
ATHENA.CO,Athena IT-Group A/S
ATLA-DKK.CO,P/F Atlantic Petroleum
SKJE.CO,Skjern Bank A/S
BIOPOR.CO,BioPorto A/S
BIF.CO,Brøndbyernes IF Fodbold A/S
BLVIS.CO,Blue Vision A/S
BNORDIK-CSE.CO,BankNordik P/F
BOCON-B.CO,BoConcept Holding A/S
BORD-B.CO,F.E. Bording A/S
HARB-B.CO,Harboes Bryggeri A/S
SBS.CO,Scandinavian Brake Systems A/S
HART.CO,Brødrene Hartmann A/S
UIE.CO,United International Enterprises Limited
CBRAIN.CO,cBrain A/S
CHR.CO,Chr. Hansen Holding A/S
CPHNW.CO,Network Capital Group Holding A/S
CPHCAP.CO,Copenhagen Capital A/S
DNORD.CO,Dampskibsselskabet Norden A/S
DLH.CO,Dalhoff Larsen & Horneman A/S
DANTH.CO,Dansk Industri Invest A/S
DANT.CO,Dantax A/S
SCD.CO,Small Cap Danmark A/S
FED.CO,Fast Ejendom Danmark A/S
DJUR.CO,Djurslands Bank A/S
COLUM.CO,Columbus A/S
COLO-B.CO,Coloplast A/S
LUXOR-B.CO,Investeringsselskabet Luxor A/S
DSV.CO,DSV A/S
TMCOM.CO,Travelmarket A/S
SFG.CO,Santa Fe Group A/S
IMAIL-B.CO,InterMail A/S
EI.CO,EuroInvestor.com A/S
ROCK-A.CO,Rockwool International A/S
PARKEN.CO,PARKEN Sport & Entertainment A/S
BAVA.CO,Bavarian Nordic A/S
NUNA.CO,NunaMinerals A/S
SPKSJL.CO,Sparekassen Sjælland-Fyn A/S
SIF.CO,Silkeborg IF Invest A/S
SPG.CO,SP Group A/S
ESOFT.CO,esoft systems a/s
ROV.CO,Rovsing A/S
KRE.CO,Kreditbanken A/S
ROCK-B.CO,Rockwool International A/S
KLEE-B.CO,Brd. Klee A/S
CARL-A.CO,Carlsberg A/S
JUTBK.CO,Jutlander Bank A/S
SKAKO.CO,SKAKO A/S
NORDJB.CO,Nordjyske Bank A/S
DKC.CO,DKC.CO
GERHSP-B.CO,German High Street Properties A/S
MIGA-B.CO,Svejsemaskinefabrikken Migatronic A/S
VIPRO.CO,Victoria Properties A/S
SIM.CO,SimCorp A/S
SIF-B.CO,Silkeborg IF Invest A/S
HOEJ-A.CO,Højgaard Holding A/S
MAERSK-A.CO,A.P. Møller - Mærsk A/S
EGE-B.CO,egetæpper a/s
FLUG-B.CO,Flügger A/S
TORM-A.CO,TORM-A.CO
NTR-B.CO,NTR Holding A/S
HH.CO,H+H International A/S
HOEJ-B.CO,Højgaard Holding A/S
MERM.CO,Mermaid A/S
TIV.CO,Tivoli A/S
MATAS.CO,MATAS A/S
GRLA.CO,"GrønlandsBANKEN, A/S"
ERRIA.CO,Erria A/S
GYLD-B.CO,Gyldendal A/S
AURI-B.CO,Auriga Industries A/S
SOLAR-B.CO,Solar A/S
STYLE.CO,STYLEPIT A/S
NEWCAP.CO,Newcap Holding A/S
LL-A.CO,Land & Leisure A/S
GYLD-A.CO,Gyldendal A/S
FFARMS.CO,FirstFarms A/S
HVID.CO,Hvidbjerg Bank A/S
KBHL.CO,Københavns Lufthavne A/S
TKDV.CO,TK Development A/S
VELO.CO,Veloxis Pharmaceuticals A/S
STRINV.CO,Strategic Investments A/S
RTX.CO,RTX A/S
GABR.CO,Gabriel Holding A/S
FYNBK.CO,Fynske Bank A/S
NORTHM.CO,North Media A/S
DELTAQ.CO,Deltaq A/S
MNBA.CO,Møns Bank A/S
MT-B.CO,Monberg & Thorsen A/S
SANI.CO,Sanistål A/S
RELLA.CO,Rella Holding A/S
RBLN-B.CO,Roblon A/S
NRDF.CO,Nordfyns Bank A/S
VJBA.CO,Vestjysk Bank A/S
EGNETY.CO,"EgnsINVEST Ejd., Tyskland"
TOTA.CO,Totalbanken A/S
SPEAS.CO,Scandinavian Private Equity A/S
NEUR.CO,Neurosearch A/S
STG.CO,Scandinavian Tobacco Group A/S
EXP-B.CO,Expedit A/S
LOLB.CO,Lollands Bank A/S
NORDIC.CO,Nordic Shipholding A/S
G4S.CO,G4S plc
OSSR.CO,Össur hf.
