Ticker,Name
NOKIA.HE,Nokia Corporation
YTY1V.HE,YIT Oyj
SAA1V.HE,Sanoma Oyj
PKC1V.HE,PKC Group Oyj
OUT1V.HE,Outokumpu Oyj
NDA1V.HE,Nordea Bank AB (publ)
VALMT.HE,Valmet Oyj
KESBV.HE,Kesko Oyj
PKK1V.HE,Pohjois-Karjalan Kirjapaino Oyj
NRE1V.HE,Nokian Renkaat Oyj
TAALB.HE,Taaleri Oyj
SUY1V.HE,Suominen Oyj
STCBV.HE,Stockmann Oyj ABP
SAMAS.HE,Sampo Oyj
METSA.HE,Metsä Board Oyj
LEM1S.HE,Lemminkäinen Oyj
ILK1S.HE,Ilkka-Yhtymä Oyj
FSC1V.HE,F-Secure Oyj
CTY1S.HE,Citycon Oyj
BAS1V.HE,BasWare Oyj
ALN1V.HE,Alma Media Oyj
CONSTI.HE,Consti Yhtiöt Oyj
OKDAV.HE,Oriola Oyj
DETEC.HE,Detection Technology Oyj
LAT1V.HE,Lassila & Tikanoja Oyj
HRTIS.HE,Herantis Pharma Oyj
ORNAV.HE,Orion Oyj
PON1V.HE,Ponsse Oyj
MUNK1.HE,Ahlstrom-Munksjö Oyj
VERK.HE,Verkkokauppa.com Oyj
QPR1V.HE,QPR Software Oyj
RAP1V.HE,Rapala VMC Corporation
WUF1V.HE,Wulff-Yhtiöt Oyj
XNS1V.HE,Ixonos Plc
ILK2S.HE,Ilkka-Yhtymä Oyj
YLEPS.HE,Yleiselektroniikka Oyj
ZEE1V.HE,Zeeland Family Oyj
GLA1V.HE,Glaston Oyj Abp
SSABBH.HE,SSAB AB
SOSI1.HE,Sotkamo Silver AB
STCAS.HE,Stockmann Oyj ABP
ENDOM.HE,Endomines AB (publ)
FIS1V.HE,Fiskars Oyj Abp
VIK1V.HE,Viking Line ABP
WRT1V.HE,Wärtsilä Oyj Abp
SSABAH.HE,SSAB AB
ACG1V.HE,Aspocomp Group Oyj
AFE1V.HE,Affecto Oyj
AFAGR.HE,Afarak Group Oyj
