Ticker,Name
ALU.PA,Alcatel-Lucent
AI.PA,"Air Liquide, société anonyme"
AIR.PA,Airbus SE
CS.PA,AXA SA
ALO.PA,Alstom SA
AC.PA,Accor SA
AF.PA,Air France-KLM SA
ALEHT.PA,Diaxonhit
SIPH.PA,Société Internationale de Plantations d'Hévéas Société Anonyme
OSI.PA,Ausy SA
MT.PA,MT.PA
CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme
RMS.PA,Hermès International Société en commandite par actions
PHM7.DE,"Altria Group, Inc."
MLMAB.PA,Maison Antoine Baud Société Anonyme
CDA.PA,Compagnie des Alpes SA
ATO.PA,Atos SE
ATA.PA,Atari SA
AMZ.DE,"Amazon.com, Inc."
AMG.F,Amgen Inc.
ALT.PA,Altran Technologies S.A.
ALOCT.PA,Octo Technology Société Anonyme
ALMDG.PA,MGI Digital Technology Société Anonyme
ALAST.PA,Astellia S.A.
ADP.PA,Aéroports de Paris SA
ZC.PA,Zodiac Aerospace
YU4.F,YU4.F
XIL.PA,Xilam Animation
BNP.PA,BNP Paribas SA
BN.PA,Danone
BAIN.PA,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco
MOBB.BR,Orange Belgium S.A.
EN.PA,Bouygues SA
ML.PA,Compagnie Générale des Etablissements Michelin
DSY.PA,Dassault Systèmes SE
DP.PA,Groupe IRD SA
EDF.PA,Electricité de France S.A.
SMTPC.PA,Société Marseillaise du Tunnel Prado Carénage
MLFER.PA,Ferco Développement
EDL.PA,Euro Disney S.C.A.
VOW3.F,Volkswagen Aktiengesellschaft
TAM.PA,Etam Developpement SCA
SOW.F,Software Aktiengesellschaft
PUM.F,PUMA SE
PSX.F,Daphne International Holdings Limited
MLMAI.PA,Maisons D'aujourd'hui
LHA.F,Deutsche Lufthansa Aktiengesellschaft
IFX.F,Infineon Technologies AG
HOT.F,HOCHTIEF Aktiengesellschaft
FME.F,Fresenius Medical Care AG & Co. KGAA
FDR.PA,Fonciere des Regions
EZQ.F,China Mengniu Dairy Company Limited
EVT.F,Evotec AG
EUZ.F,Eckert & Ziegler Strahlen- und Medizintechnik AG
DVT.PA,Devoteam S.A.
DVB.F,DVB Bank SE
DPT.PA,S.T. Dupont S.A.
DGM.PA,Diagnostic Medical Systems S.A.
DBV.PA,DBV Technologies S.A.
D7H.F,Commerce Resources Corp.
CBSM.PA,SociÃ©tÃ© Centrale des Bois et des Scieries de la Manche S.A.
BSD.PA,Bourse Direct Société Anonyme
BMW.F,Bayerische Motoren Werke Aktiengesellschaft
YMO.F,YMOS AG
XA6.F,Diversa Limited
WSOK.F,wallstreet:online AG
WIN.F,Diebold Nixdorf Aktiengesellschaft
WDI.F,Wirecard AG
WDC.F,Western Digital Corporation
VVV3.F,ÖKOWORLD AG
VOW.F,Volkswagen Aktiengesellschaft
USE.F,Beate Uhse AG
UMS.F,UMS United Medical Systems International AG
TXA.F,AmaTech AG
TUI1.F,TUI AG
TTC.F,Transtec AG
SY1.F,Symrise AG
SWA.F,Schloss Wachenheim AG
STR.F,Starwood Waypoint Homes
STO3.F,Sto SE & Co. KGaA
SMHN.F,SÜSS MicroTec SE
SIX2.F,Sixt SE
SGL.F,SGL Carbon SE
SAZ.F,STADA Arzneimittel Aktiengesellschaft
S92.F,SMA Solar Technology AG
RY2.F,Dah Sing Banking Group Limited
R6C3.F,Royal Dutch Shell plc
PS4.F,Phoenix Solar Aktiengesellschaft
PPK.F,Next Digital Limited
PPA.F,PA Power Automation AG
PEH.F,PEH Wertpapier AG
PAH3.F,Porsche Automobil Holding SE
PA8.F,Paion AG
ODET.PA,Financière de l'Odet SA
ODE.F,Odeon Film AG
O1BC.F,XING AG
NWX.F,Nordwest Handel AG
NDA.F,Aurubis AG
MUV2.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft
MUT3.F,Mineralbrunnen Überkingen-Teinach GmbH & Co. KGaA
MUM.F,Mensch und Maschine Software SE
MTX.F,MTU Aero Engines AG
MPS.F,Mühl Product & Service Aktiengesellschaft
MLTRA.PA,Compagnie des Tramways de Rouen SA
MLTED.PA,Telecom Design SA
MLSHD.PA,Scandinavian house Development SA
MLNV.PA,Compagnie Generale DES Etablissements Michelin SCA
MLLEM.PA,Lecteurs Du Monde
MLL.F,Müller - Die lila Logistik AG
MLHK.PA,H&K AG
MLEAU.PA,Societe des Eaux de Douai SA
MLDAM.PA,Damaris SA
MLCMB.PA,Compagnie Du Mont-Blanc
MLCFM.PA,CFM Indosuez Wealth
MHH.F,Medisana AG
MFL.F,"Marudai Food Co., Ltd."
MAN3.F,MAN SE
MALA.PA,Societe Des Produits Marnier Lapostolle Société Anonyme
LXS.F,LANXESS Aktiengesellschaft
LVH1.F,Jackpot Digital Inc.
LNSX.F,Sixt Leasing SE
LEG.F,LEG Immobilien AG
KYW.F,Skyworth Digital Holdings Limited
KWS.F,KWS Saat SE
KRN.F,Krones AG
KLH.F,Københavns Lufthavne A/S
KBU.F,TAG Colonia-Immobilien AG
KBC.F,Kontron AG
JY8.F,Joyou AG
HUL.F,BHS tabletop AG
HNR1.F,Hannover Rück SE
HNL.F,Dr. Hönle AG
HEI.F,HeidelbergCement AG
HDP.PA,Les Hotels De Paris SA
HDI.F,"The Home Depot, Inc."
HDD.F,Heidelberger Druckmaschinen Aktiengesellschaft
HBM.F,Hornbach Baumarkt AG
GUYD.PA,Guy Degrenne S.A.
FEV.F,Fortec Elektronik AG
FDM.F,Fresh Del Monte Produce Inc.
FDL.PA,Foncière Développement Logements
FAO2.F,i:FAO Aktiengesellschaft
EDD3.F,edding AG
EBK.F,EnBW Energie Baden-Württemberg AG
DZX.F,DZX.F
SEV.PA,SUEZ SA
ERF.PA,Eurofins Scientific SE
EO.PA,Faurecia S.A.
EI.PA,Essilor International Société Anonyme
CBE.PA,Robertet SA
SU.PA,Schneider Electric S.E.
ERSC.PA,Eurosic SA
ENGI.PA,ENGIE SA
ELIOR.PA,Elior Group
ECP.PA,EuropaCorp
YE5.F,NextSource Materials Inc.
VIE.PA,Veolia Environnement S.A.
UBI.PA,Ubisoft Entertainment SA
SESL.PA,SES-imagotag
RF.PA,Eurazeo SE
GPE.PA,Groupe Pizzorno Environnement
FGR.PA,Eiffage SA
F12.F,Critical Elements Corporation
ES.PA,Esso S.A.F.
ERYP.PA,Erytech Pharma Société Anonyme
EOS.PA,ACTEOS S.A.
EKI.PA,EKINOPS S.A.
EDEN.PA,Edenred SA
AYO.DE,Abengoa SA
ALSAS.PA,Stradim Espace Finances SA
ALGEM.PA,Eurogerm SA
ALESK.PA,Esker SA
ZEE.F,Zug Estates Holding AG
YXS.F,Sany Heavy Equipment International Holdings Company Limited
YKE.F,Yokogawa Electric Corporation
XTE.F,"EnLink Midstream Partners, LP"
XPK.F,White Energy Company Limited
XONA.DE,Exxon Mobil Corporation
XGH.F,ENN Energy Holdings Limited
XAH.F,Mobile Embrace Limited
WWY.F,WWY.F
WIQ.F,Clean Energy Fuels Corp.
VVD.DE,Veolia Environnement S.A.
MLCVG.PA,SociÃ©tÃ© des Chemins de Fer et Tramways du Var et du Gard
PUB.PA,Publicis Groupe S.A.
OR.PA,L'Oréal S.A.
SAN.PA,Sanofi
SAFT.PA,Saft Groupe S.A.
SAF.PA,Safran SA
GLE.PA,Societe Generale Group
CRTO.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de La Touraine et du Poitou
VIV.PA,Vivendi SA
SOI.PA,Soitec S.A.
VRAP.PA,Vranken-Pommery Monopole Société anonyme
UL.PA,UL.PA
TOTB.DE,TOTAL S.A.
TKTT.PA,Tarkett S.A.
TCH.PA,Technicolor SA
SOP.PA,Sopra Steria Group
QUA.PA,Quantel
MC.PA,LVMH Moët Hennessy Louis Vuitton S.E.
MAU.PA,Etablissements Maurel & Prom S.A.
ILD.PA,Iliad SA
HO.PA,Thales S.A.
FR.PA,Valeo SA
FP.PA,TOTAL S.A.
CAF.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de Paris et d'Ile-de-France
VK.PA,Vallourec SA
VIRP.PA,Virbac SA
VAC.PA,Pierre & Vacances SA
UG.PA,Peugeot S.A.
THEP.PA,Thermador Groupe Société Anonyme
TES.PA,Tessi SA
SX.PA,CS Communication & Systemes SA
SW.PA,Sodexo S.A.
STAL.PA,Installux SA
SNW.DE,Sanofi
SGO.PA,Compagnie de Saint-Gobain S.A.
RXL.PA,Rexel S.A.
RI.PA,Pernod Ricard SA
RCO.PA,Rémy Cointreau SA
PARRO.PA,Parrot S.A.
ORA.PA,Orange S.A.
NEO.PA,Neopost S.A.
MLSML.PA,Smalto Holding SA
MGIC.PA,MGI Coutier SA
KER.PA,Kering S.A.
ITXT.PA,Intexa S.A.
ICAD.PA,Icade S.A.
HIM.PA,Hi-Media S.A.
HBW.PA,Hubwoo
HAV.PA,Havas SA
GDS.PA,Ramsay Générale de Santé SA
FLY.PA,Societe Fonciere Lyonnaise
FLE.PA,Fleury Michon SA
FII.PA,Lisi S.A.
COX.PA,Nicox S.A.
CAP.PA,Capgemini SE
CA.PA,Carrefour SA
BVI.PA,Bureau Veritas SA
BB.PA,Société BIC SA
1S7.F,"Selecta Biosciences, Inc."
XCA.DE,Credit Agricole S.A.
VRQ.F,Vergnet SA
VRNL.PA,Verneuil Participations SA
TRI.PA,Trigano S.A.
TOUP.PA,Touax SCA
THP.DE,Technip SA
TER.PA,Terreïs (France)
TEC.PA,Technip SA
SY.PA,SALVEPAR
SWP.PA,Sword Group S.E.
STF.PA,Stef SA
SOA.PA,Sodifrance SA
SEC.PA,Soditech SA
SBT.PA,Oeneo SA
RNO.PA,Renault SA
QTE.PA,Quotium Technologies SA
PIX.PA,Pixium Vision SA
PIG.PA,Haulotte Group SA
OPN.PA,Groupe Open
NOA3.DE,Nokia Corporation
NK.PA,Imerys SA
NANO.PA,Nanobiotix SA
MON.PA,Montupet SA
MMT.PA,Métropole Télévision S.A.
MLSTR.PA,Streit Mecanique SA
MLSIM.PA,Simo International Société Anonyme
MLRAM.PA,Raphaël Michel S.A.
MLNOV.PA,Novatech Industries
MLHBB.PA,Financiere Hoche Bains-Les-Bains SA
MLCNT.PA,Consort NT SA
MLCET.PA,Concept-et-tradition S.A.
MFG.PA,Montaigne Fashion Group
MF.PA,Wendel
MERY.PA,Mercialys S.A.
MED.PA,Medasys S.A.
MAGIS.PA,Ymagis Société Anonyme
LBON.PA,Compagnie Lebon
LACR.PA,Lacroix SA
KN.PA,Natixis S.A.
KIO.F,Fitzroy River Corporation Limited
JBOG.PA,Jacques Bogart S.A.
ITE.PA,Itesoft SA
IPS.PA,Ipsos SA
IPN.PA,Ipsen S.A.
IPH.PA,Innate Pharma S.A.
IMPL.PA,Implanet S.A.
IML.PA,Affine R.E.
HONV.PA,Thales SA
GZF.DE,ENGIE SA
GTT.PA,Gaztransport & Technigaz S.A.
GFT.PA,GameLoft S.E.
GFI.PA,GFI Informatique SA
GFC.PA,Gecina SA
GEA.PA,Grenobloise d'Electronique et d'Automatismes Société Anonyme
GBT.PA,Guerbet SA
FZC.F,Bill Barrett Corporation
FUC.F,Fanuc Corporation
FREY.PA,Frey SA
FPN.PA,Foncière Paris Nord
FPG.PA,Union Technologies Informatique Group S.A.
FNTS.PA,Finatis Société Anonyme
FNAC.PA,Fnac Darty SA
FMC1.F,Ford Motor Company
FFP.PA,FFP Société anonyme
FEM.PA,auFeminin.com
FBEL.PA,Fromageries Bel
FB2A.F,"Facebook, Inc."
FB1.F,Farmer Bros. Co.
FAYE.PA,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme"
CIV.PA,Caisse Régionale De Crédit Agricole Mutuel D'ille-Et-Vilaine
CGM.PA,Cegedim SA
CGG.PA,CGG
CCA.PA,CCA International
BOL.PA,Bollore
BELI.PA,Le Bélier S.A.
AREVA.PA,AREVA SA
ALUMS.PA,Umanis SA
ALTUT.PA,Tuto4pc.com Group SA
ALTRA.PA,Traqueur SA
ALTER.PA,Theradiag SA
ALQGC.PA,Quantum Genomics Société Anonyme
ALORO.PA,Orolia SA
ALINN.PA,Millet Innovation SA
ALHVS.PA,Harvest S.A.
ALGEN.PA,genOway Société Anonyme
ALCLS.PA,Cellectis S.A.
ALCLA.PA,Clasquin S.A.
ALBUD.PA,Budget Telecom S.A.
ALALO.PA,Acheter-Louer.Fr SA
ALADO.PA,Adomos S.A.
AKA.PA,Akka Technologies
ACA.PA,Credit Agricole S.A.
ABIO.PA,Albioma
ZIF.PA,Officiis Properties SA
ZGY.F,"Fidelity National Information Services, Inc."
YCR.F,"Almost Family, Inc."
Y1F.F,First American Financial Corporation
XT2A.F,CCT Fortis Holdings Limited
XCP1.F,Central Pacific Financial Corp.
WFM.F,"Whole Foods Market, Inc."
VVU.DE,Vivendi SA
VLAP.PA,Valneva SE
VET.PA,Vet'Affaires SA
VCT.PA,Vicat SA
UG6.F,Ship Finance International Limited
UFF.PA,Union Financiere de France Banque SA
UDIS.PA,U10 SA
TEO.PA,FUTUREN S.A.
TNG.PA,Transgene SA
VN3A.F,LEXAM VG GOLD
TR1.F,"T. Rowe Price Group, Inc."
