Ticker,Name
ADS.DE,Adidas AG
BAYN.DE,Bayer Aktiengesellschaft
DAI.DE,Daimler AG
WDI.DE,Wirecard AG
ALV.DE,Allianz SE
LO3.DE,Lonza Group Ltd
IVX.DE,InVision Aktiengesellschaft
RSTA.DE,RIB Software AG
VWS.DE,Vestas Wind Systems A/S
RKET.DE,Rocket Internet SE
NOEJ.DE,NORMA Group SE
LSPN.DE,Chocoladefabriken Lindt & Sprüngli AG
BVB.DE,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien
SAZ.DE,STADA Arzneimittel Aktiengesellschaft
SAPA.DE,SAP SE
RAD.DE,RHI AG
PNE3.DE,PNE Wind AG
OSR.DE,OSRAM Licht AG
O4B.DE,OVB Holding AG
NDX1.DE,Nordex SE
M6YA.DE,Meyer Burger Technology AG
KSB.DE,KSB Aktiengesellschaft
KD8.DE,Kabel Deutschland Holding AG
K1R.DE,KROMI Logistik AG
G1A.DE,GEA Group Aktiengesellschaft
ERCA.DE,Telefonaktiebolaget LM Ericsson (publ)
COP.DE,CompuGroup Medical Societas Europaea
SKYD.DE,Sky Deutschland AG
BAYA.DE,Bayer Aktiengesellschaft
ATF.MU,ALPHAFORM AG O.N.
ARRB.DE,ArcelorMittal
AP2.DE,"Applied Materials, Inc."
AHLA.DE,Alibaba Group Holding Limited
ABJ.DE,ABB Ltd
AAD.DE,Amadeus FiRe AG
6AT.BE,"ALTICE N.V. AEO-,01"
ZAS.BE,"ASSURANT INC. DL-,01"
XD4.BE,STRABAG SE
XCIA.BE,CN UNICOM(HK)LTD.H ADR/10
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
BAS.DE,BASF SE
DBK.DE,Deutsche Bank Aktiengesellschaft
DB1.DE,Deutsche Börse Aktiengesellschaft
TGR.DE,"Yum! Brands, Inc."
BKN.DE,The Bank of Nova Scotia
BEI.DE,Beiersdorf Aktiengesellschaft
VOW3.DE,Volkswagen Aktiengesellschaft
SAP.DE,SAP SE
RWE.DE,RWE Aktiengesellschaft
SIE.DE,Siemens Aktiengesellschaft
DTE.DE,Deutsche Telekom AG
VOW.DE,Volkswagen Aktiengesellschaft
CON.DE,Continental Aktiengesellschaft
LHA.DE,Deutsche Lufthansa Aktiengesellschaft
HEN3.DE,Henkel AG & Co. KGaA
FME.DE,Fresenius Medical Care AG & Co. KGAA
DRI.DE,Drillisch Aktiengesellschaft
SDF.DE,K+S Aktiengesellschaft
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft
HEI.DE,HeidelbergCement AG
DPW.DE,Deutsche Post AG
YSN.DE,secunet Security Networks Aktiengesellschaft
TTK.DE,TAKKT AG
TEG.DE,TAG Immobilien AG
MOR.DE,Morphosys AG
MAN.DE,MAN SE
FRE.DE,Fresenius SE & Co. KGaA
FIE.DE,Fielmann AG
EOAN.DE,E.ON SE
CBK.DE,Commerzbank AG
VOS.DE,Vossloh AG
TKA.DE,ThyssenKrupp AG
SZU.DE,Südzucker AG
SZG.DE,Salzgitter Aktiengesellschaft
SGL.DE,SGL Carbon SE
QSC.DE,QSC AG
PSM.DE,ProSiebenSat.1 Media SE
MRK.DE,Merck Kommanditgesellschaft auf Aktien
LIN.DE,Linde Aktiengesellschaft
LEO.DE,LEONI AG
KBC.DE,Kontron AG
IS7.DE,InTiCa Systems AG
T2K1.SG,Transportadora de Gas Del Sur S.A.
CXU.DE,Church & Dwight Co. Inc.
BPE.DE,BP p.l.c.
BMW3.DE,Bayerische Motoren Werke Aktiengesellschaft
ZAL.DE,Zalando SE
WUG3.DE,Westag & Getalit AG
