Ticker,Name
ALPHA.AT,Alpha Bank A.E.
DUR.AT,Duros SA
ETE.AT,National Bank of Greece S.A.
ELPE.AT,Hellenic Petroleum S.A.
ELBA.AT,Elval Holdings S.A.
MYTIL.AT,Mytilineos Holdings S.A.
VOSYS.AT,Vogiatzoglou Systems S.A.
TPEIR.AT,Piraeus Bank S.A.
TELL.AT,Bank of Greece A.E.
PRESD.AT,Geke S.A.
SATOK.AT,Sato office and Houseware supplies SA
MPP.AT,J. Boutaris & Son Holding S.A.
AVAX.AT,J&P-Avax S.A.
KYRI.AT,Kiriacoulis Mediterranean Cruises Shipping S.A
KYLO.AT,Loulis Mills S.A.
KRI.AT,Kri Kri S.A.
KLM.AT,I.Kloukinas-I.Lappas S.A.
KLEM.AT,Kleemann Hellas Mechanical Constructions Societe Anonyme Industrial Trading Company S.A.
KEKR.AT,Kekrops S.A.
KARE.AT,Karelia Tobacco Company Inc
KANAK.AT,"Stelios Kanakis, Industrial and Commercial SA, Raw Materials for Confectionary, Bakery and Ice-Cream"
ANEPO.AT,Anonimi Naftiliaki Etareia Kritis S.A.
KOUM.AT,KOYMBAS SYNERGY GROUP (CR)
OTOEL.AT,Autohellas SA
OPAP.AT,Greek Organization of Football Prognostics S.A.
QUEST.AT,Quest Holdings S.A.
QUAL.AT,Quality & Reliability A.B.E.E
TRASTOR.AT,Trastor Real Estate Investment Company SA
BIOSK.AT,Unibios Holdings S.A.
VIDAVO.AT,Vidavo S.A.
VARG.AT,Varangis Avepe S.A.
XYLEP.AT,Interwood-Xylemporia A.T.E.N.E.
XYLEK.AT,Interwood-Xylemporia A.T.E.N.E.
XAKO.AT,Halcor Metal Works S.A.
TEGO.AT,TEGO.AT
YALCO.AT,YALCO - Socrates D. Constantinou & Son S.A.
AAAK.AT,Wool Industry Tria Alfa S.A.
AAAP.AT,Wool Industry Tria Alfa S.A.
AEGN.AT,Aegean Airlines S.A.
CENTR.AT,Centric Holdings S.A.
AEGEK.AT,AEGEK S.A.
ATE.AT,ATE.AT
EEE.AT,Coca-Cola HBC AG
AGRI.AT,Alpha Grissin Power and Environmental Control Systems S.A.
AIOLC.AT,Aeolian Investment Fund S.A.
AKRIT.AT,Akritas S.A.
ALMY.AT,Alumil Aluminium Industry S.A.
ATRUST.AT,Alpha Trust Mutual Fund and Alternative Investment Fund Management S.A.
ALKA.AT,Nexans Hellas S.A.
ASTAK.AT,Alpha Astika Akinita S.A.
ALSIN.AT,ALSINCO S.A (CR)
ALCO.AT,Alco Hellas Aluminium Industrial and Trading Company S.A.
ALTEC.AT,ALTEC Holdings S.A. IT and Communication Systems
FORTH.AT,Hellenic Company for Telecommunications and Telematic Applications S.A.
INKAT.AT,Intracom Constructions Societe Anonyme Technical and Steel Constructions
ANEK.AT,Anonimi Naftiliaki Etareia Kritis S.A.
FLEXO.AT,Flexopack Société Anonyme Commercial and Industrial Plastics Company
ANEP.AT,Anonimi Naftiliaki Etareia Kritis S.A.
ANEMOS.AT,Elliniki Technodomiki Anemos S.A. Production of Electrical Energy
DIFF.AT,DIAS A/C (CR)
ASTIR.AT,Astir Palace Vouliagmeni S.A.
ASCO.AT,AS Company S.A.
TATT.AT,Attica Bank S.A.
ELATH.AT,ELATH.AT
ATTIK.AT,Atti-Kat S.A.
ATTICA.AT,Attica Holdings S.A.
ATEK.AT,Attica Publications S.A.
ATHINA.AT,ATHENA S.A.
AVE.AT,Audio Visual Enterprises S.A.
AVENIR.AT,AVENIR.AT
AXON.AT,Axon Holdings S.A.
BELA.AT,Jumbo S.A.
VIO.AT,VIOHALCO S.A.
BIOKA.AT,Biokarpet S.A.
BIOT.AT,Bioter S.A.
BOC.AT,Bank of Cyprus Holdings Public Limited Company
BYTE.AT,Byte Computer SA
CPI.AT,CPI Computer Peripherals International
CRETA.AT,Creta Farm S.A.
DAIOS.AT,Daios Plastics SA
DION.AT,Dionic S.A.
