Ticker,Name
0522.HK,ASM PACIFIC
0104.HK,ASIA COMM HOLD
0933.HK,Brightoil Petroleum (Holdings) Limited
0180.HK,Kader Holdings Company Limited
6388.HK,COACH-DRS-RS
0718.HK,Tai United Holdings Limited
0494.HK,Li & Fung Limited
0316.HK,Orient Overseas (International) Limited
0233.HK,MY MEDICARE
0055.HK,Neway Group Holdings Limited
0524.HK,E-KONG GROUP
0703.HK,FUTURE BRIGHT
0005.HK,HSBC HOLDINGS
2888.HK,STANCHART
1222.HK,WANG ON GROUP
0992.HK,LENOVO GROUP
0293.HK,CATHAY PAC AIR
0388.HK,HKEX
0017.HK,NEW WORLD DEV
0941.HK,CHINA MOBILE
0688.HK,CHINA OVERSEAS
0291.HK,CHINA RES BEER
0027.HK,GALAXY ENT
0242.HK,SHUN TAK HOLD
0011.HK,HANG SENG BANK
0006.HK,POWER ASSETS
0004.HK,WHARF HOLDINGS
0003.HK,HK & CHINA GAS
3377.HK,SINO-OCEAN GP
2388.HK,BOC HONG KONG
1299.HK,AIA
0883.HK,CNOOC
0817.HK,CHINA JINMAO
0762.HK,CHINA UNICOM
0392.HK,BEIJING ENT
0257.HK,CHINA EB INT'L
0252.HK,SE ASIA PPT
1668.HK,CHINASOUTHCITY
0900.HK,AEON CREDIT
0808.HK,PROSPERITY REIT
0716.HK,SINGAMAS CONT
0705.HK,DINGHE MINING
0669.HK,TECHTRONIC IND
0656.HK,FOSUN INTL
0619.HK,SOUTH CHINA FIN
0363.HK,SHANGHAI IND H
0303.HK,VTECH HOLDINGS
0267.HK,CITIC
0245.HK,CN MINSHENG FIN
0184.HK,KECK SENG INV
0144.HK,CHINA MER PORT
0105.HK,ASSO INT HOTELS
0083.HK,SINO LAND
0071.HK,MIRAMAR HOTEL
0045.HK,HK&S HOTELS
0020.HK,WHEELOCK
0016.HK,SHK PPT
0008.HK,PCCW
8022.HK,EVERSHINE GP
2380.HK,CHINA POWER
1972.HK,SWIREPROPERTIES
1360.HK,MEGAEXPO HLDG
1208.HK,MMG
1029.HK,IRC
0984.HK,"AEON Stores (Hong Kong) Co., Limited"
0966.HK,China Taiping Insurance Holdings Company Limited
0887.HK,Emperor Watch & Jewellery Limited
0882.HK,Tianjin Development Holdings Limited
0836.HK,China Resources Power Holdings Company Limited
0708.HK,Evergrande Health Industry Group Limited
0639.HK,Shougang Fushan Resources Group Limited
0450.HK,Hung Hing Printing Group Limited
0375.HK,YGM Trading Limited
0308.HK,China Travel International Investment Hong Kong Limited
0295.HK,Kong Sun Holdings Limited
0294.HK,Yangtzekiang Garment Limited
0285.HK,BYD Electronic (International) Company Limited
0273.HK,Mason Group Holdings Limited
0271.HK,Asiasec Properties Limited
0254.HK,NUR HOLDINGS
0247.HK,Tsim Sha Tsui Properties Limited
0244.HK,"The Sincere Company, Limited"
0202.HK,EverChina Int'l Holdings Company Limited
0137.HK,Jinhui Holdings Company Limited
0131.HK,CHEUK NANG HOLD
0123.HK,YUEXIU PROPERTY
0101.HK,HANG LUNG PPT
0086.HK,SUN HUNG KAI CO
0081.HK,CH OVS G OCEANS
0028.HK,TIAN AN
0023.HK,BANK OF E ASIA
0021.HK,GREAT CHI PPT
0019.HK,SWIRE PACIFIC A
0012.HK,HENDERSON LAND
0647.HK,JOYCE BOUTIQUE
0486.HK,United Company RUSAL Plc
1245.HK,NIRAKU
0805.HK,GLENCORE-S
8391.HK,LARRY JEWEL RTS
1928.HK,SANDS CHINA LTD
0700.HK,TENCENT
2282.HK,MGM CHINA
0001.HK,CKH HOLDINGS
3800.HK,GCL-POLY ENERGY
1833.HK,INTIME
1044.HK,HENGAN INT'L
3383.HK,AGILE GROUP
3333.HK,EVERGRANDE
2319.HK,MENGNIU DAIRY
0337.HK,GREENLAND HK
3322.HK,WIN HANVERKY
3308.HK,GOLDEN EAGLE
2877.HK,SHINEWAY PHARM
2383.HK,TOM GROUP
1700.HK,SPRINGLAND
1212.HK,LIFESTYLE INT'L
1112.HK,H&H INTL HLDG
0868.HK,XINYI GLASS
0862.HK,VISION VALUES
0829.HK,SHENGUAN HLDGS
0575.HK,REGENT PACIFIC
0210.HK,DAPHNE INT'L
3998.HK,BOSIDENG
3900.HK,GREENTOWN CHINA
3818.HK,CHINA DONGXIANG
2369.HK,COOLPAD GROUP
2348.HK,DAWNRAYS PH-1K
2300.HK,AMVIG HOLDINGS
2038.HK,FIH
2007.HK,COUNTRY GARDEN
1986.HK,TSAKER CHEM
1889.HK,WUYI PHARMA
1880.HK,BELLE INT'L
1638.HK,KAISA GROUP
1515.HK,CRPHOENIXHEALTH
1313.HK,CHINARES CEMENT
1234.HK,CHINA LILANG
1221.HK,SINO HOTELS
1149.HK,ANXIN-CHINA
1128.HK,WYNN MACAU
1125.HK,LAI FUNG-NEW
1083.HK,TOWNGAS CHINA
1059.HK,KANTONE HOLDING
0981.HK,SMIC
0919.HK,MODERN BEAUTY
0825.HK,NWDS CHINA
0809.HK,GLOBAL BIO-CHEM
0757.HK,SOLARGIGA
0745.HK,CN CULTURE GP
0713.HK,WORLD HOUSEWARE
0631.HK,SANY INT'L
0607.HK,FULLSHARE
0425.HK,MINTH GROUP
0379.HK,EG LEASING
0318.HK,VONGROUP
0183.HK,WINFULL GP
8356.HK,CNC HOLDINGS
8296.HK,SINO-LIFE GROUP
8295.HK,ZZ CAP INTL
8269.HK,WEALTH GLORY
8250.HK,SILK RD ENERGY
8207.HK,CHONGSING HLDGS
8198.HK,MELCOLOT
8185.HK,RM GROUP
8181.HK,KONGSHUMUNION
8178.HK,CHINA INFO TECH
8173.HK,UNION ASIA ENT
8163.HK,MERDEKA FIN
8137.HK,HONBRIDGE
8119.HK,THIZ TECHNOLOGY
8071.HK,CH NETCOMTECH
8041.HK,LUXEY INT'L
8019.HK,HAO WEN HLDGS
8006.HK,SINO SPLENDID
8003.HK,GREAT WORLD
6868.HK,TENFU
3999.HK,DACHAN FOOD
3933.HK,UNITED LAB
3918.HK,NAGACORP
3889.HK,GLOBAL SWEET
3888.HK,KINGSOFT
3883.HK,CHINA AOYUAN
3777.HK,C FIBER OPTIC
3669.HK,YONGDA AUTO
3337.HK,ANTON OILFIELD
3331.HK,VINDA INT'L
3318.HK,CHINA FLAVORS
3311.HK,CHINA STATE CON
2955.HK,GLOBAL TECH RTS
2382.HK,SUNNY OPTICAL
2342.HK,COMBA
2324.HK,CAPITAL VC
2313.HK,SHENZHOU INTL
2309.HK,BIRMINGHAM SPTS
2302.HK,CNNC INT'L
2283.HK,TK GROUP HLDG
2280.HK,HC INTL
2111.HK,BEST PACIFIC
1998.HK,FLYKE INT'L
1938.HK,CHU KONG PIPE
1929.HK,CHOW TAI FOOK
1831.HK,SHIFANG HLDG
1823.HK,HUAYUEXPRESSWAY
1717.HK,AUSNUTRIA
1683.HK,ROYAL CHINA INT
1661.HK,WISDOM SPORTS
1623.HK,HILONG
1616.HK,SILVERMAN HL
1600.HK,TIAN LUN GAS
1555.HK,MIE HOLDINGS
1498.HK,PURAPHARM
1396.HK,HYDOO INTL
1393.HK,HIDILI INDUSTRY
1372.HK,BISU TECH
1363.HK,CTEG
1361.HK,361 DEGREES
1348.HK,QUALI-SMART
1335.HK,SHEEN TAI
1333.HK,CHINA ZHONGWANG
1323.HK,NEWTREE GROUP
1318.HK,GREENS HOLDINGS
1293.HK,GRAND BAOXIN
1230.HK,YASHILI INT'L
1219.HK,TENWOW INT'L
1198.HK,ROYALE FURN
1181.HK,TANG PALACE
1175.HK,FRESH EXP
1165.HK,SFCE
1161.HK,WATER OASIS GP
1142.HK,SIBERIAN MINING
1106.HK,SINO HAIJING
1073.HK,CHINA AGROTECH
1070.HK,TCL MULTIMEDIA
1009.HK,INT'L ENT
1007.HK,DAQING DAIRY
0963.HK,BLOOMAGE BIOTEC
0923.HK,IWS
0917.HK,NEW WORLD CHINA
0913.HK,UNITY INV HOLD
0896.HK,HANISON
0884.HK,CIFI HOLD GP
