Ticker,Name
VOICE.IC,Fjarskipti hf
VIS.IC,Vátryggingafélag Íslands hf.
BNORDIK.IC,BankNordik P/F
EIM.IC,Eimskipafélag Íslands hf.
EIK.IC,Eik Fasteignafélag Hf
REITIR.IC,Reitir Fasteignafélag hf.
HAMP.IC,Hampidjan Hf.
HAGA.IC,Hagar hf
GRND.IC,HB Grandi hf.
NYHR.IC,Nýherji hf.
TM.IC,Tryggingamiðstöðin hf.
SJOVA.IC,Sjóvá-Almennar tryggingar hf.
REGINN.IC,Reginn hf.
N1.IC,N1 Hf
MARL.IC,Marel hf
OSSRU.IC,Össur hf.
ICEAIR.IC,Icelandair Group hf.
SIMINN.IC,Síminn hf.
SFSB.IC,Slaturfelag Sudurlands Svf
