Ticker,Name
BHARTIARTL.NS,Bharti Airtel Limited
ASHOKLEY.NS,Ashok Leyland Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
AREXMIS.BO,Arex Industries Ltd.
SANWARIA.NS,Sanwaria Agro Oils Limited
ALMONDZ.NS,Almondz Global Securities Limited
ADINATH.BO,Adinath Textiles Ltd
SBIN.NS,State Bank of India
BPCL.NS,Bharat Petroleum Corporation Limited
MBECL.NS,McNally Bharat Engineering Company Limited
MAHABANK.NS,Bank of Maharashtra
DBCORP.BO,D. B. Corp Limited
BOSCHLTD.NS,Bosch Limited
BHEL.BO,Bharat Heavy Electricals Ltd.
IDBI.NS,IDBI Bank Limited
IRB.BO,IRB Infrastructure Developers Limited
DABUR.NS,Dabur India Limited
TCIDEVELOP.NS,TCI Developers Limited
NDTV.BO,New Delhi Television Limited
ISHITADR.BO,Ishita Drugs & Industries Ltd
GDL.BO,Gateway Distriparks Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
DPSCLTD.NS,India Power Corporation Limited
DLF.BO,DLF Limited
DEEPAKSP.BO,Deepak Spinners Limited
DANLAW.BO,Danlaw Technologies India Limited
VIPULDYE.BO,Vipul Dye Chem Ltd.
VADIDAI.BO,Vadilal Dairy International Ltd.
TRIMURTHI.BO,Trimurthi Limited
THAKDEV.BO,Thakkers Developers Ltd
TATAMTRDVR.BO,TATA MOTORS LTD - DVR
SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS
SHRIDINE.BO,Shri Dinesh Mills Limited
RADHEDE.BO,Radhe Developers (India) Ltd.
PROTODEV.BO,Proto Developers & Technologies Limited
PRABHAT.NS,Prabhat Dairy Limited
NDMETAL.BO,ND Metal Industries Ltd
MDRNSUT-B.BO,MODERN DENIM LTD.
MANGALAM.BO,Mangalam Drugs & Organics Limited
MAHLIFE.NS,Mahindra Lifespace Developers Limited
LPDC.NS,Landmark Property Development Company Limited
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
IRB.NS,IRB Infrastructure Developers Limited
INTERDIGI.BO,Interworld Digital Ltd.
INDTONER.BO,Indian Toners & Developers Ltd.
INDLEASE.BO,India Lease Development Limited
HDIL.NS,Housing Development and Infrastructure Limited
HDIL.BO,Housing Development & Infrastructure Limited
HDFC.NS,Housing Development Finance Corporation Limited
HDFC.BO,Housing Development Finance Corporation Limited
GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited
GOENKA.NS,Goenka Diamond and Jewels Limited
ESSDEE.BO,Ess Dee Aluminium Limited
ENERGYDEV.NS,Energy Development Company Limited
EIDPARRY.BO,E.I.D.- Parry (India) Limited
KELENRG.BO,Keltech Energies Limited
SCHNEIDER.NS,Schneider Electric Infrastructure Limited
EASTSILK.BO,Eastern Silk Industries Ltd.
TATAELXSI.NS,Tata Elxsi Limited
SWARAJENG.NS,Swaraj Engines Limited
STEERINTER.BO,Sterling International Enterprises Ltd.
SEQUELE.BO,Sequel e-Routers Ltd.
RECLTD.NS,Rural Electrification Corporation Limited
PEL.NS,Piramal Enterprises Limited
MKEXIM.BO,M.K. Exim (India) Limited
JAYTEX.BO,Jaybharat Textiles And Real Estate Limited
IBREALEST.BO,Indiabulls Real Estate Limited
EVERONN.NS,Everonn Education Limited
ESSELPACK.NS,Essel Propack Limited
ENTEGRA.NS,Entegra Limited
EMMESSA.BO,Emmessar Biotech & Nutrition Limited
ECOM.BO,E.com Infotech India Ltd.
BEL.BO,Bharat Electronics Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ZICOM.BO,Zicom Electronic Security Systems Limited
ZANUKCOM.BO,Anukaran Commercial Enterprises Ltd.
OFSS.NS,Oracle Financial Services Software Limited
LICHSGFIN.NS,LIC Housing Finance Limited
FORTUNEF.BO,Fortune Financial Services (India) Limited
SUNDRMFAST.BO,Sundram Fasteners Limited
SUNDARMFIN.BO,Sundaram Finance Limited
SITASHREE.NS,Sita Shree Food Products Limited
RELAXO.BO,Relaxo Footwears Limited
RCF.BO,Rashtriya Chemicals And Fertilizers Limited
PFS.NS,PTC India Financial Services Limited
PFC.NS,Power Finance Corporation Limited
NIKKIGL.BO,Nikki Global Finance Limited
MUTHOOTFIN.NS,Muthoot Finance Limited
MAX.NS,Max Financial Services Limited
MAGMA.NS,Magma Fincorp Limited
KZLFIN.BO,KZ Leasing & Finance Ltd.
IFSL.BO,Integrated Financial Services Limited
HNDFDS.BO,Hindustan Foods Limited
HILTON.BO,Hilton Metal Forging Limitied
GOWRALE.BO,Gowra Leasing & Finance Ltd.
GEEFC.BO,Geefcee Finance Limited
FORCEMOT.BO,Force Motors Ltd.
FOODSIN.BO,Foods & Inns Ltd.
FILME.BO,Filmcity Media Ltd.
FFPL.BO,Foundry Fuel Products Ltd.
FACT.NS,The Fertilisers And Chemicals Travancore Limited
ARORAFIB.BO,Arora Fibres
AJWAFUN.BO,Ajwa Fun World & Resort Ltd
ADMANUM.BO,Ad-Manum Finance Ltd
ZSUBWAYF.BO,"Subway Finance & Investment Co., Ltd."
ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI
ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE
ZSAMPKTR.BO,SAMPARK TRADING & FINANCE LTD.
ZNIVEMER.BO,Nivedita Mercantile & Financing Ltd.
WSFIN.BO,Wall Street Finance Ltd.
WEIZFOREX.NS,Weizmann Forex Limited
WEIZFOREX.BO,WEIZMANN FOREX LTD.
WALLFORT.BO,Wallfort Financial Services Limited
VOITHPAPR.BO,Voith Paper Fabrics India Limited
VBCFERROQ.BO,VBC Ferro Alloys Limited
VAXHS.BO,Vax Housing Finance Corporation Ltd.
UPASAFN.BO,Upasana Finance Ltd
TIRFOAM.BO,Tirupati Foam Limited
GSPL.NS,Gujarat State Petronet Limited
GAYAPROJ.BO,Gayatri Projects Limited
GAIL.NS,GAIL (India) Limited
TAJGVK.BO,TAJGVK Hotels & Resorts Limited
POWERGRID.NS,Power Grid Corporation of India Limited
ONGC.BO,Oil and Natural Gas Corp. Ltd.
VHL.NS,Vardhman Holdings Limited
HINDUNILVR.NS,Hindustan Unilever Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HCC.NS,Hindustan Construction Company Limited
PAPERPROD.BO,Huhtamaki PPL Limited
ITHL.BO,International Travel House Limited
HIRECT.NS,Hind Rectifiers Limited
HESTERBIO.BO,Hester Biosciences Ltd
HCC.BO,Hindustan Construction Company Limited
GUJHOTE.BO,Gujarat Hotels Ltd.
GRAVISSHO.BO,Graviss Hospitality Limited
BENARAS.BO,Benares Hotels Limited
ZENITHHE.BO,Zenith Healthcare Ltd
WONDERLA.BO,WONDERLA HOLIDAYS LTD
WHBRADY.BO,WH Brady & Company Limited
THEBYKE.BO,THE BYKE HOSPITALITY LTD.
SYNCOM.NS,Syncom Healthcare Limited
SUNILHITEC.BO,Sunil Hitech Engineers Ltd.
STERLINH6.BO,STERLINH6.BO
STERLINH.BO,Sterling Holiday Resorts (India) Limited
SHHARICH.BO,Shree Hari Chemicals Export Limited
SGJHL.BO,Shree Ganesh Jewellery House (I) Limited
ROHLTD.NS,Royal Orchid Hotels Limited
ROHLTD.BO,Royal Orchid Hotels Limited
JUBLINDS.NS,Jubilant Industries Limited
JKIL.BO,J.Kumar Infraprojects Limited
JVLAGRO.BO,JVL Agro Industries Ltd
