Ticker,Name
AALI.JK,PT Astra Agro Lestari Tbk
ANTM.JK,Perusahaan Perseroan (Persero) PT Aneka Tambang Tbk
ASII.JK,PT Astra International Tbk
AKRA.JK,PT AKR Corporindo Tbk
BBCA.JK,PT Bank Central Asia Tbk
APIC.JK,PT Pacific Strategic Financial Tbk
ADMF.JK,PT Adira Dinamika Multi Finance Tbk
ADHI.JK,PT Adhi Karya (Persero) Tbk
ADES.JK,PT Akasha Wira International Tbk
INPC.JK,PT Bank Artha Graha Internasional Tbk
APLN.JK,PT Agung Podomoro Land Tbk
ADRO.JK,PT Adaro Energy Tbk
PTBA.JK,PT Bukit Asam (Persero) Tbk
BNII.JK,PT Bank Maybank Indonesia Tbk
BNGA.JK,PT Bank CIMB Niaga Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
MAYA.JK,PT Bank Mayapada Internasional Tbk
BNLI.JK,PT Bank Permata Tbk
SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BFIN.JK,PT BFI Finance Indonesia Tbk
PNBN.JK,P.T. Bank Pan Indonesia Tbk
BKSW.JK,PT Bank QNB Indonesia Tbk
BCAP.JK,PT MNC Kapital Indonesia Tbk
BJBR.JK,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
NISP.JK,PT Bank OCBC NISP Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
BRMS.JK,PT Bumi Resources Minerals Tbk
BKSL.JK,PT Sentul City Tbk
BDMN.JK,PT Bank Danamon Indonesia Tbk
BABP.JK,PT Bank MNC Internasional Tbk
MEGA.JK,PT Bank Mega Tbk
DSFI.JK,PT Dharma Samudera Fishing Industries Tbk
ELTY.JK,PT Bakrieland Development Tbk
ABDA.JK,PT Asuransi Bina Dana Arta Tbk
SMDM.JK,PT Suryamas Dutamakmur Tbk
PDES.JK,PT Destinasi Tirta Nusantara Tbk
LPPF.JK,PT Matahari Department Store Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
ERAA.JK,PT Erajaya Swasembada Tbk
MTDL.JK,P.T. Metrodata Electronics Tbk
ENRG.JK,PT Energi Mega Persada Tbk
KLBF.JK,PT Kalbe Farma Tbk.
PNLF.JK,PT Panin Financial Tbk
CFIN.JK,PT. Clipan Finance Indonesia Tbk
KBLV.JK,PT First Media Tbk
FORU.JK,"PT Fortune Indonesia, Tbk"
KAEF.JK,PT Kimia Farma (Persero) Tbk
AISA.JK,PT Tiga Pilar Sejahtera Food Tbk
GIAA.JK,PT. Garuda Indonesia (Persero) Tbk
KREN.JK,PT Kresna Graha Investama Tbk
BMTR.JK,PT. Global Mediacom Tbk
SULI.JK,PT SLJ Global Tbk
PGAS.JK,PT Perusahaan Gas Negara (Persero) Tbk
SILO.JK,PT Siloam International Hospitals Tbk
MYRX.JK,PT Hanson International Tbk
HERO.JK,PT Hero Supermarket Tbk
AHAP.JK,PT Asuransi Harta Aman Pratama Tbk
ACES.JK,PT Ace Hardware Indonesia Tbk
YPAS.JK,PT Yanaprima Hastapersada Tbk
SMCB.JK,PT Holcim Indonesia Tbk
JSMR.JK,Pt Jasa Marga (Persero) Tbk
JPRS.JK,PT Jaya Pari Steel Tbk
JKON.JK,PT Jaya Konstruksi Manggala Pratama Tbk
JPFA.JK,PT Japfa Comfeed Indonesia tbk
PSAB.JK,PT J Resources Asia Pasifik Tbk
PJAA.JK,PT Pembangunan Jaya Ancol Tbk
JSPT.JK,PT Jakarta Setiabudi Internasional Tbk
JKSW.JK,PT. Jakarta Kyoei Steel Works Tbk
JECC.JK,PT Jembo Cable Company Tbk
BJTM.JK,PT Bank Pembangunan Daerah Jawa Timur Tbk
ASJT.JK,PT Asuransi Jasa Tania Tbk
1562405.JK,1562405.JK
DAJK.JK,PT Dwi Aneka Jaya Kemasindo Tbk
JRPT.JK,PT Jaya Real Property TBK
ANJT.JK,PT Austindo Nusantara Jaya Tbk
JTPE.JK,PT Jasuindo Tiga Perkasa Tbk
