Ticker,Name
AIB.IR,AIB.IR
DQ5.IR,CPL Resources plc
JEV.IR,JEV.IR
IRES.IR,Irish Residential Properties REIT plc
MSTY.IR,Mainstay Medical International plc
SK3.IR,Smurfit Kappa Group plc
KRZ.IR,Kerry Group plc
FAC.IR,Falcon Oil & Gas Ltd.
BIR.IR,BANK OF IRELAND ORD STK EUR0.05
ORQ.IR,Ormonde Mining plc
T7O.IR,Total Produce plc
MLC.IR,Malin Corporation plc
APGN.IR,Applegreen Plc
HSW.IR,Hostelworld Group Plc
YZA.IR,ARYZTA AG
AIB1.IR,"Allied Irish Banks, p.l.c."
RY4C.IR,Ryanair Holdings plc
ZAZ.IR,zamano plc
FKV1.IR,Conroy Gold and Natural Resources plc
DOY.IR,Abbey plc
DOP.IR,Aminex plc
PPB.IR,Paddy Power Betfair plc
DD7E.IR,Bank Of Ireland Group plc
DD7D.IR,Bank Of Ireland Group plc
GN1.IR,Green REIT plc
CRG.IR,CRH plc
CRO.IR,Venn Life Sciences Holdings plc
DD8B.IR,CRH plc
DD8A.IR,CRH plc
DLE.IR,Datalex plc
DHG.IR,Dalata Hotel Group plc
WLG.IR,WIRELESS GROUP PLC ORD GBP0.07
KJY.IR,Karelian Diamond Resources PLC
DQ7.IR,Donegal Investment Group plc
EG7.IR,FBD Holdings plc
EG5A.IR,"PETROCELTIC INTL EO-,3125"
FQ3.IR,FYFFES ORD EUR0.06
GAME.IR,GAN plc
GCC.IR,C&C Group plc
HBRN.IR,Hibernia REIT plc
GL9.IR,Glanbia plc
OVXA.IR,Ovoca Gold plc
GYQ.IR,First Derivatives plc
P8ET.IR,PetroNeft Resources plc
IPDC.IR,Independent News & Media plc
3MP.IR,3MP.IR
KRX.IR,Kingspan Group plc
8GW.IR,Great Western Mining Corporation PLC
OIZ.IR,Origin Enterprises Plc
PZQA.IR,Providence Resources Plc
IL0A.IR,Permanent TSB Group Holdings plc
IJG.IR,IFG Group plc
IR5B.IR,Irish Continental Group plc
MIO.IR,Mincon Group Plc
TQW.IR,Tullow Oil plc
