Ticker,Name
GZE1R.RG,JSC Latvijas Gaze
BRV1R.RG,AS Brivais vilnis
LJM1R.RG,A/S Latvijas Juras medicinas centrs
RJR1R.RG,AS Rigas Juvelierizstradajumu Rupnica
GRZ1R.RG,Joint stock company Grobina
GRD1R.RG,AS Grindeks
VEF1R.RG,Joint stock company VEF
SMA1R.RG,AS Pata Saldus
VNF1R.RG,Joint Stock Company Ventspils nafta
KA11R.RG,A/S Kurzemes Atslega 1
SCM1R.RG,AS Siguldas Ciltslietu Un Maksligas Apseklosanas Stacija
KCM1R.RG,A/s Kurzemes ciltslietu un maksligas apseklosanas stacija
BAL1R.RG,Latvijas Balzams AS
OLF1R.RG,AS Olainfarm
TMA1R.RG,AS Talsu Mezrupnieciba
VSS1R.RG,AS Valmieras stikla skiedra
DPK1R.RG,AS Ditton Pievadkezu Rupnica
LSC1R.RG,AS Latvijas Kugnieciba
RKB1R.RG,Rigas Kugu Buvetava AS
RER1R.RG,AS Rigas Elektromasinbuves rupnica
BTE1R.RG,Baltic Telekom AS
RRR1R.RG,AS VEF Radiotehnika RRR
LOK1R.RG,AS Daugavpils Lokomotîvju Remonta Rûpnîca
RAR1R.RG,AS Rigas autoelektroaparatu rupnica
TKB1R.RG,AS Tosmares kugubuvetava
LTT1R.RG,Latvijas Tilti
SAF1R.RG,A/S SAF Tehnika
