Ticker,Name
LJL1L.VS,Akcine Bendrove Lietuvos juru laivininkyste
INL1L.VS,Public Joint - Stock Company INVL Baltic Farmland
ZMP1L.VS,AB Zemaitijos pienas
PZV1L.VS,"Pieno Zvaigzdes, AB"
GUB1L.VS,AB Gubernija
DKR1L.VS,AB Dvarcioniu Keramika
INC1L.VS,AB INVL Technology
UTR1L.VS,AB Utenos Trikotazas
ESO1L.VS,Energijos Skirstymo Operatorius AB
SNG1L.VS,AB Snaige
LNR1L.VS,"Lietuvos energijos gamyba, AB"
VLP1L.VS,AB Vilkyskiu pienine
LGD1L.VS,LITGRID AB
KNF1L.VS,AB Klaipedos nafta
PTR1L.VS,AB Panevezio Statybos Trestas
VBL1L.VS,Vilniaus Baldai AB
AVG1L.VS,Auga Group AB
KNR1L.VS,AB Kauno Energija
GRG1L.VS,Grigeo AB
IVL1L.VS,"Invalda INVL, AB"
SAB1L.VS,Siauliu Bankas AB
VDG1L.VS,AB Vilniaus degtine
LNA1L.VS,AB Linas Agro Group
TEO1L.VS,"Telia Lietuva, AB"
LNS1L.VS,AB Linas
AMG1L.VS,AB Amber Grid
RSU1L.VS,Rokiskio Suris AB
APG1L.VS,APB Apranga
CTS1L.VS,City Service SE
INR1L.VS,Public Joint - Stock Company INVL Baltic Real Estate
K2LT.VS,AB K2 LT
