Ticker,Name,
6599.KL,Aeon Co. (M) Bhd,6599.KL
5099.KL,AirAsia Berhad,5099.KL
7579.KL,AWC Berhad,7579.KL
7162.KL,Astino Berhad,7162.KL
6432.KL,Apollo Food Holdings Berhad,6432.KL
5014.KL,Malaysia Airports Holdings Bhd,5014.KL
4162.KL,British American Tobacco Malaysia Bhd,4162.KL
6947.KL,DiGi.Com Berhad,6947.KL
1023.KL,CIMB Group Holdings Berhad,1023.KL
6012.KL,Maxis Berhad,6012.KL
1066.KL,RHB Capital Berhad,1066.KL
7113.KL,Top Glove Corporation Berhad,7113.KL
7052.KL,Padini Holdings Berhad,7052.KL
5347.KL,Tenaga Nasional Berhad,5347.KL
5101.KL,Evergreen Fibreboard Bhd,5101.KL
4707.KL,Nestlé (Malaysia) Berhad,4707.KL
1295.KL,Public Bank Berhad,1295.KL
1155.KL,Malayan Banking Berhad,1155.KL
7164.KL,KNM Group Bhd,7164.KL
5218.KL,SapuraKencana Petroleum Berhad,5218.KL
2445.KL,Kuala Lumpur Kepong Berhad,2445.KL
1619.KL,DRB-HICOM Berhad,1619.KL
1171.KL,Malaysia Building Society Bhd,1171.KL
5216.KL,Datasonic Group Berhad,5216.KL
7277.KL,Dialog Group Berhad,7277.KL
5141.KL,Dayang Enterprise Holdings Berhad,5141.KL
3026.KL,Dutch Lady Milk Industries Bhd,3026.KL
9806.KL,Nationwide Express Courier Services Berhad,9806.KL
7773.KL,EP Manufacturing Bhd,7773.KL
7206.KL,TH Heavy Engineering Berhad,7206.KL
7182.KL,EKA Noodles Berhad,7182.KL
5227.KL,IGB Real Estate Investment Trust,5227.KL
5176.KL,Sunway Real Estate Investment Trust,5176.KL
0820EA.KL,FTSE Bursa Malaysia KLCI ETF,0820EA.KL
0138.KL,MY E.G. SERVICES BHD,0138.KL
7107.KL,Oriental Food Industries Holdings Bhd,7107.KL
6939.KL,Fiamma Holdings Bhd,6939.KL
3689.KL,Fraser & Neave Holdings Bhd,3689.KL
3522.KL,Kian Joo Can Factory Bhd,3522.KL
0128.KL,FRONTKEN CORPORATION BHD,0128.KL
5398.KL,Gamuda Bhd,5398.KL
4715.KL,Genting Malaysia Berhad,4715.KL
7088.KL,Poh Huat Resources Holdings Bhd,7088.KL
5199.KL,Hibiscus Petroleum Berhad,5199.KL
9997.KL,Pensonic Holdings Bhd,9997.KL
9679.KL,WCT Holdings Berhad,9679.KL
9385.KL,Lay Hong Berhad,9385.KL
8362.KL,KYM Holdings Bhd,8362.KL
7323.KL,Ken Holdings Bhd,7323.KL
7293.KL,Yinson Holdings Berhad,7293.KL
7235.KL,Superlon Holdings Berhad,7235.KL
7121.KL,Xian Leng Holdings Bhd,7121.KL
7110.KL,Haisan Resources Berhad,7110.KL
6351.KL,Amway (Malaysia) Holdings Berhad,6351.KL
5819.KL,Hong Leong Bank Berhad,5819.KL
5260.KL,Only World Group Holdings Berhad,5260.KL
5252.KL,Sasbadi Holdings Berhad,5252.KL
5236.KL,Matrix Concepts Holdings Berhad,5236.KL
5156.KL,XiDeLang Holdings Limited,5156.KL
5095.KL,HeveaBoard Bhd,5095.KL
5080.KL,Poh Kong Holdings Bhd,5080.KL
3301.KL,Hong Leong Industries Berhad,3301.KL
9598.KL,Pintaras Jaya Bhd,9598.KL
5161.KL,JCY International Berhad,5161.KL
9083.KL,Kumpulan Jetson Bhd,9083.KL
8648.KL,Jasa Kita Bhd,8648.KL
7223.KL,Jadi Imaging Holdings Bhd,7223.KL
7152@BN.KL,7152@BN.KL,7152@BN.KL
7043.KL,JMR Conglomeration Bhd,7043.KL
6556@BN.KL,6556@BN.KL,6556@BN.KL
3522@BN.KL,3522@BN.KL,3522@BN.KL
8923@BN.KL,8923@BN.KL,8923@BN.KL
0024@BN.KL,0024@BN.KL,0024@BN.KL
9431.KL,Seni Jaya Corporation Berhad,9431.KL
5268.KL,IKHMAS JAYA GROUP BERHAD,5268.KL
8931.KL,Jerasia Capital Bhd,8931.KL
4723.KL,JAKS Resources Berhad,4723.KL
5268@BN.KL,5268@BN.KL,5268@BN.KL
0058.KL,JCBNEXT BERHAD,0058.KL
3441.KL,Johan Holdings Bhd,3441.KL
4383@BN.KL,4383@BN.KL,4383@BN.KL
7152.KL,Jaycorp Berhad,7152.KL
2453.KL,Kluang Rubber Co. Malaya Bhd,2453.KL
9954.KL,Asia Knight Berhad,9954.KL
9466.KL,KKB Engineering Bhd,9466.KL
8303.KL,Kuantan Flour Mills Bhd,8303.KL
7216.KL,Kawan Food Bhd,7216.KL
7153.KL,Kossan Rubber Industries Bhd,7153.KL
7130.KL,Kumpulan Powernet Bhd,7130.KL
6874.KL,KUB Malaysia Berhad,6874.KL
6572.KL,Kwantas Corp. Bhd,6572.KL
5878.KL,KPJ Healthcare Bhd,5878.KL
5843.KL,Kumpulan Perangsang Selangor Bhd,5843.KL
5192.KL,K.Seng Seng Corporation Bhd.,5192.KL
5172.KL,K-Star Sports Limited,5172.KL
5171.KL,Kimlun Corporation Berhad,5171.KL
5060.KL,Kinsteel Bhd,5060.KL
5027.KL,Kim Loong Resources Berhad,5027.KL
3565.KL,Kumpulan Europlus Berhad,3565.KL
3476.KL,Keck Seng Malaysia Bhd,3476.KL
3204.KL,George Kent (Malaysia) Berhad,3204.KL
3115.KL,Karambunai Corp Bhd,3115.KL
0170.KL,KANGER INTERNATIONAL BERHAD,0170.KL
5235SS.KL,KLCC Real Estate Investment Trust,5235SS.KL
5123.KL,MRCB-Quill REIT,5123.KL
8966.KL,Prolexus Bhd,8966.KL
7171.KL,Century Bond Bhd,7171.KL
5049.KL,Country View Bhd,5049.KL
4502.KL,Media Prima Bhd,4502.KL
1589.KL,Iskandar Waterfront City Berhad,1589.KL
6009.KL,Pacific & Orient Bhd,6009.KL
7243.KL,Bio Osmo Berhad,7243.KL
7204.KL,D & O Green Technologies Berhad.,7204.KL
5201@BN.KL,5201@BN.KL,5201@BN.KL
5201.KL,OldTown Berhad,5201.KL
5159.KL,Yoong Onn Corporation Berhad,5159.KL
5126.KL,Sarawak Oil Palms Bhd,5126.KL
5065.KL,Ornapaper Bhd,5065.KL
0172.KL,OCK GROUP BERHAD,0172.KL
0040.KL,OPENSYS (M) BHD,0040.KL
5255.KL,Icon Offshore Berhad,5255.KL
5243@BN.KL,5243@BN.KL,5243@BN.KL
0040@BN.KL,0040@BN.KL,0040@BN.KL
0053@BN.KL,0053@BN.KL,0053@BN.KL
3417.KL,Eastern & Oriental Berhad,3417.KL
7084.KL,QL Resources Berhad,7084.KL
7544@OM.KL,7544@OM.KL,7544@OM.KL
7544.KL,Quality Concrete Holdings Bhd,7544.KL
7084@BN.KL,7084@BN.KL,7084@BN.KL
7219.KL,Minetech Resources Berhad,7219.KL
4324.KL,Shell Refining Company (Federation of Malaya) Berhad,4324.KL
3042.KL,Petron Malaysia Refining & Marketing Bhd,3042.KL
