Ticker,Name
ASURB.MX,"Grupo Aeroportuario del Sureste, S. A. B. de C. V."
WALMEX.MX,"Wal-Mart de México, S.A.B. de C.V."
MTN.MX,ArcelorMittal
GOOG.MX,Alphabet Inc.
AMXL.MX,"América Móvil, S.A.B. de C.V."
AAPL.MX,Apple Inc.
LALAB.MX,"Grupo Lala, S.A.B. de C.V."
AZTECACPO.MX,TV Azteca SAB de CV
ALFAA.MX,"Alfa, S. A. B. de C. V."
ADSK.MX,"Autodesk, Inc."
BIMBOA.MX,"Grupo Bimbo, S.A.B. de C.V."
GRUMAB.MX,"Gruma, S.A.B. de C.V."
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V."
DIS.MX,The Walt Disney Company
KOFL.MX,"Coca-Cola FEMSA, S.A.B. de C.V."
ELEKTRA.MX,"Grupo Elektra, S.A.B. de C.V."
RDSB.MX,Royal Dutch Shell plc
GMEXICOB.MX,"Grupo México, S.A.B. de C.V."
CEMEXCPO.MX,"CEMEX, S.A.B. de C.V."
RDSA.MX,Royal Dutch Shell plc
PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V."
MEXCHEM.MX,"Mexichem, S.A.B. de C.V."
MASECAB.MX,"Grupo Industrial Maseca, SAB de CV"
LABB.MX,"Genomma Lab Internacional, S.A.B. de C.V."
ICHB.MX,"Industrias CH, S. A. B. de C. V."
ICA.MX,"Empresas ICA, S.A.B. de C.V."
HOMEX.MX,"Desarrolladora Homex, S.A.B. de C.V."
HERDEZ.MX,"Grupo Herdez, S.A.B. de C.V."
HD.MX,"The Home Depot, Inc."
GPH1.MX,"Grupo Palacio de Hierro, S.A.B. de C.V."
GIGANTE.MX,"Grupo Gigante, S. A. B. de C. V."
GBMO.MX,"Corporativo GBM, S.A.B. de C.V."
FIBRAMQ12.MX,FIBRA Macquarie México
CMOCTEZ.MX,"Corporación Moctezuma, S.A.B. de C.V."
CHDRAUIB.MX,"Grupo Comercial Chedraui, S.A.B. DE C.V."
BAFARB.MX,"Grupo Bafar, S.A.B. de C.V."
AMD.MX,"Advanced Micro Devices, Inc."
VALUEGFO.MX,Value Grupo Financiero SAB de CV
SIMECB.MX,"Grupo Simec, S.A.B. de C.V."
SIEN.MX,Siemens Aktiengesellschaft
RCENTROA.MX,"Grupo Radio Centro, S.A.B. de C.V."
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S. A. B. de C. V."
ODP.MX,"Office Depot, Inc."
LIVEPOL1.MX,"El Puerto de Liverpool, SAB de CV"
INVEXA.MX,"INVEX Controladora, S.A.B. de C.V."
IDEALB-1.MX,"Impulsora del Desarrollo y el Empleo en América Latina, S.A.B. de C.V."
HOGARB.MX,"Consorcio Hogar, S.A.B. de C.V."
GMD.MX,"Grupo Mexicano de Desarrollo, S.A.B."
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V."
GEOB.MX,Corporacion Geo SAB de CV
GCARSOA1.MX,"Grupo Carso, S.A.B. de C.V."
FINN13.MX,Fibra Inn
FINAMEXO.MX,Casa de Bolsa Finamex S.A.B. de C.V.
NEMAKA.MX,"Nemak, S. A. B. de C. V."
XOM.MX,Exxon Mobil Corporation
PRU.MX,"Prudential Financial, Inc."
FSLR.MX,"First Solar, Inc."
KHC.MX,The Kraft Heinz Company
CVS.MX,CVS Health Corporation
BHI.MX,"Baker Hughes, a GE company, LLC"
JPM.MX,JPMorgan Chase & Co.
JNJ.MX,Johnson & Johnson
JCP.MX,"J. C. Penney Company, Inc."
GLENN.MX,Glencore Plc
STJN.MX,St. James's Place plc
JCI.MX,Johnson Controls International plc
JAH.MX,Jarden Corp.
DECN.MX,JCDecaux SA
JDN.MX,"JD.com, Inc."
SINAN.MX,SINA Corporation
KO.MX,The Coca-Cola Company
KUOA.MX,"Grupo Kuo, S.A.B. de C.V."
SLBN.MX,Schlumberger Limited
MMM.MX,3M Company
SITESL.MX,"Telesites, S.A.B. de C.V."
NFLX.MX,"Netflix, Inc."
TELN.MX,TE Connectivity Ltd.
SIDN.MX,Companhia Siderúrgica Nacional
RIGN.MX,Transocean Ltd.
NVSN.MX,Novartis AG
NVDA.MX,NVIDIA Corporation
NOKN.MX,Nokia Corporation
NKE.MX,"NIKE, Inc."
POTN.MX,Potash Corporation of Saskatchewan Inc.
ORCL.MX,Oracle Corporation
CULTIBAB.MX,"Organización Cultiba, S.A.B. de C.V."
BAC.MX,Bank of America Corporation
HOTEL.MX,"Grupo Hotelero Santa Fe, S.A.B. de C.V."
TEMGBIAA.MX,"Templeton Global Bond Funds, S.A. C.V. de S.I.I.D"
ORN.MX,L'Oréal S.A.
PINFRAL.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V."
OHLMEX.MX,"OHL México, S.A.B. de C.V."
QSRN.MX,Restaurant Brands International Inc.
QIHUN.MX,Qihoo 360 Technology Co. Ltd.
QCOM.MX,QUALCOMM Incorporated
Q.MX,"Quálitas Controladora, S.A.B. de C.V."
CREAL.MX,"Crédito Real, S.A.B. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad Regulada"
SNEN.MX,Sony Corporation
TWX.MX,Time Warner Inc.
TOTN.MX,TOTAL S.A.
COST.MX,Costco Wholesale Corporation
YHOO.MX,Yahoo! Inc.
X.MX,United States Steel Corporation
VALEN.MX,Vale S.A.
UAL.MX,"United Continental Holdings, Inc."
UA.MX,"Under Armour, Inc."
SCCO.MX,Southern Copper Corporation
INTC.MX,Intel Corporation
GPS.MX,"The Gap, Inc."
GILD.MX,"Gilead Sciences, Inc."
CSCO.MX,"Cisco Systems, Inc."
CMG.MX,"Chipotle Mexican Grill, Inc."
C.MX,Citigroup Inc.
BIDUN.MX,"Baidu, Inc."
BCSN.MX,Barclays PLC
BBY.MX,"Best Buy Co., Inc."
BBBY.MX,Bed Bath & Beyond Inc.
BA.MX,The Boeing Company
ATVI.MX,"Activision Blizzard, Inc."
AMZN.MX,"Amazon.com, Inc."
ALUN.MX,Alcatel-Lucent
AIG.MX,"American International Group, Inc."
ABBN.MX,ABB Ltd
AA.MX,Arconic Inc.
WU.MX,The Western Union Company
WHR.MX,Whirlpool Corporation
V.MX,Visa Inc.
UTX.MX,United Technologies Corporation
ULN.MX,Unilever PLC
TWTR.MX,"Twitter, Inc."
TSO.MX,Andeavor
TSLA.MX,"Tesla, Inc."
TRV.MX,"The Travelers Companies, Inc."
TMN.MX,Toyota Motor Corporation
TIN.MX,Telecom Italia S.p.A.
TGT.MX,Target Corporation
TEVAN.MX,Teva Pharmaceutical Industries Limited
SYTN.MX,Syngenta AG
STT.MX,State Street Corporation
SNDK.MX,SanDisk Corp.
RGC.MX,Regal Entertainment Group
PUKN.MX,Prudential plc
PLD.MX,"Prologis, Inc."
PHM.MX,"PulteGroup, Inc."
PFE.MX,Pfizer Inc.
PBRN.MX,Petróleo Brasileiro S.A. - Petrobras
MU.MX,"Micron Technology, Inc."
MS.MX,Morgan Stanley
MON.MX,Monsanto Company
MO.MX,"Altria Group, Inc."
MGM.MX,MGM Resorts International
MELIN.MX,"Mercadolibre, Inc."
MCD.MX,McDonald's Corporation
MA.MX,Mastercard Incorporated
LYGN.MX,Lloyds Banking Group plc
IP.MX,International Paper Company
ILMN.MX,"Illumina, Inc."
HYUDN.MX,Hyundai Motor Company
GS.MX,"The Goldman Sachs Group, Inc."
GOOGL.MX,Alphabet Inc.
GM.MX,General Motors Company
GGBN.MX,Gerdau S.A.
FCFS.MX,"FirstCash, Inc."
EN.MX,Eni S.p.A.
EMR.MX,Emerson Electric Co.
EBAY.MX,eBay Inc.
DLTR.MX,"Dollar Tree, Inc."
DISH.MX,DISH Network Corporation
CVX.MX,Chevron Corporation
CPLN.MX,CPFL Energia S.A.
COP.MX,ConocoPhillips
CL.MX,Colgate-Palmolive Company
CHK.MX,Chesapeake Energy Corporation
CBPX.MX,"Continental Building Products, Inc."
CAR.MX,"Avis Budget Group, Inc."
BSBRN.MX,Banco Santander (Brasil) S.A.
BRFSN.MX,BRF S.A.
BMY.MX,Bristol-Myers Squibb Company
BBDN.MX,Banco Bradesco S.A.
AZNN.MX,AstraZeneca PLC
AXP.MX,American Express Company
AMGN.MX,Amgen Inc.
VRXN.MX,"Valeant Pharmaceuticals International, Inc."
VASCONI.MX,"Grupo Vasconia, S.A.B."
BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V."
BBDBN.MX,Bombardier Inc.
VPKN.MX,Koninklijke Vopak N.V.
SAVBMX1B.MX,"Siefore Banamex de Aportaciones Voluntarias, S.A. de C.V."
BBVA.MX,"Banco Bilbao Vizcaya Argentaria, S.A."
SLN.MX,Standard Life plc
VESTA.MX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V."
DGN.MX,VINCI SA
BOKAN.MX,Royal Boskalis Westminster N.V.
WMT.MX,"Wal-Mart Stores, Inc."
WFTN.MX,Weatherford International plc
WINN.MX,DIEBOLD NIXDORF AG
WEIRN.MX,The Weir Group PLC
WRLD.MX,World Acceptance Corp.
AXTELCPO.MX,"Axtel, S.A.B. de C.V."
XLNX.MX,"Xilinx, Inc."
AGNN.MX,Allergan plc
MCMN.MX,"Miquel y Costas & Miquel, S.A."
YOKUN.MX,YOUKU TUDOU INC
BMEN.MX,"Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A."
YPFN.MX,YPF Sociedad Anonima
GRAMN.MX,Graña y Montero S.A.A.
YGEN.MX,Yingli Green Energy Holding Company Limited
RYAN.MX,Ryanair Holdings plc
ZINCQ.MX,ZINCQ.MX
JMATN.MX,JOHNSON MATTHEY PLC
AAL.MX,American Airlines Group Inc.
AAUN.MX,Almaden Minerals Ltd.
ABT.MX,Abbott Laboratories
ABEVN.MX,Ambev S.A.
ABXN.MX,Barrick Gold Corporation
0R87N.MX,ASSA ABLOY AB (publ)
ABBV.MX,AbbVie Inc.
ABI.MX,Anheuser-Busch InBev SA/NV
ACI.MX,Arch Coal Inc.
ACCN.MX,Accor SA
ACOFN.MX,Atlas Copco AB
ACTIPATB.MX,"Actipat - Actipatrimonial, S.A. de C.V."
ACTIPATA.MX,"Actipat - Actipatrimonial, S.A. de C.V."
ACHN.MX,Aluminum Corporation Of China Limited
ACTINVRB.MX,Corporación Actinver S.A.B. de C.V.
AC.MX,"Arca Continental, S. A. B. de C. V."
FIBRAHD15.MX,"FIBRA HD Servicios, S.C."
ACXN.MX,"Acerinox, S.A."
HISN.MX,"Hispania Activos Inmobiliarios SOCIMI, S.A."
ACCELSAB.MX,"Accel, S.A.B. de C.V."
ACNN.MX,Accenture plc
ACTIPATFF.MX,"Actipat - Actipatrimonial, S.A. de C.V."
ADM.MX,Archer-Daniels-Midland Company
ADBE.MX,Adobe Systems Incorporated
FPAFYN.MX,First Pacific Company Limited
EDUN.MX,New Oriental Education & Technology Group Inc.
SHPGN.MX,Shire plc
CRHN.MX,CRH plc
CEON.MX,CNOOC Limited
STON.MX,Statoil ASA
ADSN.MX,Adidas AG
SIMON.MX,Silicon Motion Technology Corporation
MRN.MX,Mindray Medical International Limited
CHTN.MX,"CHUNGHWA TELECOM CO., LTD"
CTRPN.MX,"Ctrip.com International, Ltd."
LFCN.MX,China Life Insurance Company Limited
PNGAYN.MX,"Ping An Insurance (Group) Company of China, Ltd."
DRDN.MX,DRDGOLD Limited
LKODN.MX,PJSC LUKOIL
AEGN.MX,AEGON N.V.
NBGGYN.MX,National Bank of Greece S.A.
