Ticker,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,2550496087400,$147.11,4.55,+3.19%
ABNB,"Airbnb, Inc. Class A Common Stock",72432659400,$121.45,5.51,+4.75%
ADBE,Adobe Inc. Common Stock,191575125000,$405.45,16.96,+4.37%
ADI,"Analog Devices, Inc. Common Stock",83071043736,$158.74,5.85,+3.83%
ADP,"Automatic Data Processing, Inc. Common Stock",87221427866,$208.79,1.31,+0.63%
ADSK,"Autodesk, Inc. Common Stock",42868073480,$197.07,12.02,+6.5%
AEP,"American Electric Power Company, Inc. Common Stock",51195218905,$99.69,1.16,+1.18%
ALGN,"Align Technology, Inc. Common Stock",21712504309,$275.52,15.99,+6.16%
AMAT,"Applied Materials, Inc. Common Stock",98816524319,$111.86,5.1,+4.78%
AMD,"Advanced Micro Devices, Inc. Common Stock",154794956422,$95.12,8.06,+9.26%
AMGN,Amgen Inc. Common Stock,130024263692,$243.40,-1.32,-0.54%
AMZN,"Amazon.com, Inc. Common Stock",1150267879589,$2261.10,122.49,+5.73%
ANSS,"ANSYS, Inc. Common Stock",22145074848,$254.57,14.03,+5.83%
ASML,ASML Holding N.V. New York Registry Shares,220754516440,$548.32,25.96,+4.97%
ATVI,"Activision Blizzard, Inc. Common Stock",60783465633,$77.74,0.36,+0.47%
AVGO,Broadcom Inc. Common Stock,240167315441,$588.24,16.67,+2.92%
AZN,AstraZeneca PLC American Depositary Shares,195666315562,$63.14,1.69,+2.75%
BIDU,"Baidu, Inc. ADS",40408676990,$116.94,9.06,+8.4%
BIIB,Biogen Inc. Common Stock,29160060308,$199.11,4.79,+2.47%
BKNG,Booking Holdings Inc. Common Stock,85385615554,$2101.89,48.84,+2.38%
CDNS,"Cadence Design Systems, Inc. Common Stock",39279111960,$142.44,6.62,+4.87%
CEG,Constellation Energy Corporation Common Stock,17839117600,$54.61,1.14,+2.13%
CHTR,"Charter Communications, Inc. Class A Common Stock New",96587423046,$471.39,6.13,+1.32%
CMCSA,Comcast Corporation Class A Common Stock,185831011706,$41.48,0.09,+0.22%
COST,Costco Wholesale Corporation Common Stock,220402142688,$497.27,11.09,+2.28%
CPRT,"Copart, Inc. (DE) Common Stock",26590198044,$111.96,3.97,+3.68%
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",36262195903,$156.29,16.48,+11.79%
CSCO,"Cisco Systems, Inc. Common Stock (DE)",205880566080,$49.56,1.27,+2.63%
CSX,CSX Corporation Common Stock,72685510195,$33.43,0.43,+1.3%
CTAS,Cintas Corporation Common Stock,38471096789,$375.97,9.76,+2.67%
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,38243736232,$73.38,-0.16,-0.22%
DDOG,"Datadog, Inc. Class A Common Stock",34292792096,$108.86,10.03,+10.15%
DLTR,Dollar Tree Inc. Common Stock,35882586443,$159.40,0.21,+0.13%
DOCU,"DocuSign, Inc. Common Stock",15826347428,$79.17,9.33,+13.36%
DXCM,"DexCom, Inc. Common Stock",32846674812,$334.74,23.22,+7.45%
EA,Electronic Arts Inc. Common Stock,35135910164,$124.94,3.99,+3.3%
EBAY,eBay Inc. Common Stock,26116635598,$46.65,0.49,+1.06%
EXC,Exelon Corporation Common Stock,45805194842,$46.73,0.88,+1.92%
FAST,Fastenal Company Common Stock,30328681826,$52.69,0.46,+0.88%
FB,"Meta Platforms, Inc. Class A Common Stock",537529951126,$198.62,7.38,+3.86%
FISV,"Fiserv, Inc. Common Stock",62163717231,$96.17,2.62,+2.8%
FTNT,"Fortinet, Inc. Common Stock",45196412607,$281.55,14.89,+5.58%
GILD,"Gilead Sciences, Inc. Common Stock",78231529752,$62.37,-0.11,-0.18%
GOOG,Alphabet Inc. Class C Capital Stock,1534508848372,$2330.31,67.09,+2.96%
GOOGL,Alphabet Inc. Class A Common Stock,1528384799516,$2321.01,64.13,+2.84%
HON,Honeywell International Inc. Common Stock,131742243943,$193.53,0.61,+0.32%
IDXX,"IDEXX Laboratories, Inc. Common Stock",30425739648,$362.18,14.23,+4.09%
ILMN,"Illumina, Inc. Common Stock",36692276000,$233.56,16.14,+7.42%
INTC,Intel Corporation Common Stock,178280400000,$43.60,0.76,+1.77%
INTU,Intuit Inc. Common Stock,105138365706,$371.76,17.87,+5.05%
ISRG,"Intuitive Surgical, Inc. Common Stock",80294981946,$223.69,12,+5.67%
JD,"JD.com, Inc. American Depositary Shares",80508088471,$51.55,2.88,+5.92%
KDP,Keurig Dr Pepper Inc. Common Stock,52784127619,$37.21,0.35,+0.95%
KHC,The Kraft Heinz Company Common Stock,54208831378,$44.29,1.24,+2.88%
KLAC,KLA Corporation Common Stock,50205655185,$336.42,21.87,+6.95%
LCID,"Lucid Group, Inc. Common Stock",30037808720,$18.01,2.32,+14.79%
LRCX,Lam Research Corporation Common Stock,68236696082,$491.92,31.49,+6.84%
LULU,lululemon athletica inc. Common Stock,39595033316,$309.29,15.29,+5.2%
MAR,Marriott International Class A Common Stock,54462451430,$166.40,3.36,+2.06%
MCHP,Microchip Technology Incorporated Common Stock,37268058565,$67.03,1.6,+2.45%
