Ticker,Name
MT.AS,ArcelorMittal
ASML.AS,ASML Holding N.V.
AH.AS,AHOLD KON
AGN.AS,AEGON N.V.
RDSA.AS,Royal Dutch Shell plc
DSM.AS,Koninklijke DSM N.V.
VWA.AS,Volkswagen Aktiengesellschaft
SIA.AS,Siemens Aktiengesellschaft
RDSB.AS,Royal Dutch Shell plc
PBD.AS,Probiodrug AG
MEURV.AS,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft
HUNDP.AS,Hunter Douglas N.V.
TNTE.AS,TNT EXPRESS
UL.AS,Unibail-Rodamco SE
TFG.AS,Tetragon Financial Group Limited
INGA.AS,ING Groep N.V.
PHARM.AS,Pharming Group N.V.
GTO.AS,Gemalto N.V.
HEIA.AS,Heineken N.V.
YATRA.AS,Yatra Capital Limited
ATRS.AS,Atrium European Real Estate Limited
KPN.AS,Koninklijke KPN N.V.
WKL.AS,Wolters Kluwer N.V.
KTC.AS,KTC.AS
VPK.AS,Koninklijke Vopak N.V.
BAMNB.AS,Koninklijke BAM Groep nv
KENDR.AS,Kendrion N.V.
PHIA.AS,Koninklijke Philips N.V.
UNA.AS,Unilever N.V.
OCI.AS,OCI N.V.
USG.AS,USG PEOPLE
UNIA.AS,Unilever N.V.
SBMO.AS,SBM Offshore N.V.
NSI.AS,NSI N.V.
IM.AS,ROYAL IMTECH
CRBN.AS,Corbion N.V.
BOKA.AS,Royal Boskalis Westminster N.V.
ATC.AS,Altice N.V.
ARCAD.AS,ARCADIS NV
AKZA.AS,Akzo Nobel N.V.
WES.AS,Koninklijke Wessanen N.V.
TOM2.AS,TomTom N.V.
SLIGR.AS,Sligro Food Group N.V.
RAND.AS,Randstad Holding NV
NEWAY.AS,Neways Electronics International N.V.
NEDSE.AS,NedSense Enterprises N.V.
ORANW.AS,Oranjewoud N.V.
AXS.AS,Accsys Technologies Plc
APAM.AS,Aperam
LANS.AS,Van Lanschot Kempen NV
VALUE.AS,Value8 NV
PREVA.AS,Value8 NV
AALB.AS,Aalberts Industries N.V.
ABN.AS,ABN AMRO Group N.V.
ACCEL.AS,Accell Group N.V.
ACOMO.AS,Amsterdam Commodities N.V.
AMG.AS,AMG Advanced Metallurgical Group N.V.
AJAX.AS,AFC Ajax NV
AF.AS,AF.AS
DTEL.AS,Deutsche Telekom AG
ATCB.AS,Altice N.V.
AND.AS,AND International Publishers N.V.
HDG.AS,Hunter Douglas N.V.
BBV.AS,"Banco Bilbao Vizcaya Argentaria, S.A."
BAMA.AS,BROOKFIELD ASSET M
ASM.AS,ASM International NV
GEN.AS,Assicurazioni Generali S.p.A.
ICT.AS,ICT Group N.V.
BATEN.AS,Batenburg Techniek N.V.
BBED.AS,Beter Bed Holding N.V.
GLPG.AS,Galapagos NV
FAGR.AS,FAGR.AS
BEVER.AS,Bever Holding NV
BESI.AS,BE Semiconductor Industries N.V.
BINCK.AS,BinckBank N.V.
HAL.AS,HAL Trust
BOLS.AS,Lucas Bols N.V.
BOEI.AS,The Boeing Company
BRNL.AS,Brunel International N.V.
BTGP.AS,BTG-BPP EUR UNIT
IBMA.AS,International Business Machines Corporation
CHTEX.AS,Chevron Corporation
CIS.AS,"Cisco Systems, Inc."
CLB.AS,Core Laboratories N.V.
CTAC.AS,Ctac N.V.
CURE.AS,Curetis N.V.
SOURC.AS,Source Group N.V.
DICO.AS,R&S RETAIL GROUP
DL.AS,Delta Lloyd NV
DOCD.AS,DOCDATA N.V.
DPA.AS,DPA Group N.V.
ECMPA.AS,Eurocommercial Properties N.V.
ECT.AS,Eurocastle Investment Limited
REN.AS,RELX NV
ENI.AS,Eni S.p.A.
ESP.AS,Esperite N.V.
TFA.AS,"Telefónica, S.A."
SANTA.AS,"Banco Santander, S.A."
FLOW.AS,Flow Traders N.V.
PORF.AS,"B.V. Delftsch Aardewerkfabriek ""De Porceleyne Fles Anno 1653"""
SGO.AS,SGO.AS
FUR.AS,Fugro N.V.
SOPH.AS,SOPH.AS
RFRG.AS,Refresco Group N.V.
VTA.AS,Volta Finance Limited
GVNV.AS,GrandVision N.V.
HEIO.AS,Heineken Holding N.V.
HYDRA.AS,Hydratec Industries N.V.
MTY.AS,IEX GROUP NV
IEX.AS,IEX Group N.V.
IMCD.AS,IMCD N.V.
TIT.AS,Telecom Italia S.p.A.
TISN.AS,Tiscali S.p.A.
KARD.AS,Kardan N.V.
KA.AS,KAS BANK N.V.
KDS.AS,Kiadis Pharma N.V.
TIE.AS,TIE Kinetix N.V.
BRILL.AS,Koninklijke Brill NV
LVIDE.AS,Lavide Holding N.V.
MACIN.AS,MACINTOSH RETAIL
MSF.AS,Microsoft Corporation
RBST7.AS,RBST7.AS
RBST6.AS,RBS CAP FUND TR VI
RBST5.AS,RBST5.AS
NSE.AS,New Sources Energy NV
VNC.AS,Verenigde Nederlandse Compagnie N.V.
NEDAP.AS,N.V. Nederlandsche Apparatenfabriek Nedap
BALNE.AS,BALNE.AS
ORDI.AS,Ordina N.V.
HOLCO.AS,Holland Colours NV
ROYRE.AS,ROYAL REESINK
UNCP7.AS,Unilever N.V.
UNCC7.AS,Unilever N.V.
NOVI.AS,Novisource N.V.
GROHA.AS,Groothandelsgebouwen N.V.
STRN.AS,Stern Groep N.V.
ROOD.AS,RoodMicrotec N.V.
PNL.AS,PostNL N.V.
RNS.AS,R&S Retail Group NV
TWEKA.AS,TKH Group N.V.
SNOW.AS,SnowWorld N.V.
UNCP6.AS,Unilever N.V.
INVER.AS,Inverko N.V.
NN.AS,NN Group N.V.
TMG.AS,Telegraaf Media Groep N.V.
INTER.AS,Intertrust N.V.
OCPET.AS,OCCIDENTAL PETROL.
RBS.AS,RBS.AS
PEP.AS,"Pepsico, Inc."
TBIRD.AS,"Thunderbird Resorts, Inc."
VERIZ.AS,VERIZON COMM.
E-ON.AS,E.ON SE
INCO.AS,Intel Corporation
