Ticker,Name
WBC.NZ,Westpac Banking Corporation
ANZ.NZ,Australia and New Zealand Banking Group Limited
DIL.NZ,Diligent Corporation
SDL.NZ,Solution Dynamics Limited
IFT200.NZ,Infratil Limited
TME.NZ,Trade Me Group Limited
SKL.NZ,Skellerup Holdings Limited
IFT.NZ,Infratil Limited
TRU.NZ,TruScreen Limited
SKO.NZ,Serko Limited
SKC.NZ,SKYCITY Entertainment Group Limited
MET.NZ,Metlifecare Limited
LIC.NZ,Livestock Improvement Corporation Limited
IKE.NZ,ikeGPS Group Limited
GMT.NZ,Goodman Property Trust
FRE.NZ,Freightways Limited
FPH.NZ,Fisher & Paykel Healthcare Corporation Limited
ARV.NZ,Arvida Group Limited
AIR.NZ,Air New Zealand Limited
WTL.NZ,Windflow Technology Limited
WHS.NZ,The Warehouse Group Limited
VIL.NZ,Veritas Investments Limited
VHP.NZ,Vital Healthcare Property Trust
SUM.NZ,Summerset Group Holdings Limited
RYM.NZ,Ryman Healthcare Limited
JWI.NZ,Just Water International Limited
HFL.NZ,Henderson Far East Income Limited
JMOZ.NZ,JMOZ.NZ
SEK.NZ,Seeka Limited
KMD.NZ,Kathmandu Holdings Limited
TWR.NZ,Tower Limited
TPW.NZ,Trustpower Limited
TEN.NZ,Tenon Limited
SPN.NZ,South Port New Zealand Limited
SPK.NZ,Spark New Zealand Limited
SML.NZ,Synlait Milk Limited
SLG.NZ,Sealegs Corporation Limited
SGL.NZ,Speirs Group Limited
SCT.NZ,Scott Technology Limited
SAN.NZ,Sanford Limited
RBD.NZ,Restaurant Brands New Zealand Limited
RBC.NZ,Rubicon Limited
RAK.NZ,Rakon Limited
PPL.NZ,Pumpkin Patch Limited
PGW.NZ,PGG Wrightson Limited
PGC.NZ,Pyne Gould Corporation Limited
PEB.NZ,Pacific Edge Limited
OIC.NZ,Opus International Consultants Limited
OHE.NZ,Orion Health Group Limited
NZX.NZ,NZX Limited
NZR.NZ,The New Zealand Refining Company Limited
NZF.NZ,NZF Group Limited Ordinary Shar
NPX.NZ,Nuplex Industries Limited
OGC.NZ,OceanaGold Corporation
NZO.NZ,New Zealand Oil & Gas Limited
STR.NZ,Stride Property Limited
TNR.NZ,Turners Limited
VGL.NZ,Vista Group International Limited
BFW.NZ,Burger Fuel Worldwide Limited
CWY.NZ,Cleanaway Waste Management Limited
WIA020.NZ,Wellington International Airport Limited
WDTPA.NZ,Wellington Drive Technologies Limited
WYN.NZ,Wynyard Group Limited
TWF.NZ,Total World Trust
FFW.NZ,Foley Family Wines Limited
WDT.NZ,Wellington Drive Technologies Limited
XRO.NZ,Xero Limited
JMO.NZ,JPMorgan Overseas Ord
HNZ.NZ,Heartland Bank Limited
CDI.NZ,CDL Investments New Zealand Limited
PCT.NZ,Precinct Properties New Zealand Limited
MCK.NZ,Millennium & Copthorne Hotels New Zealand Limited
ZEL030.NZ,Z Energy Limited
GOV390.NZ,Government of New Zealand
DIV.NZ,New Zealand Dividend Index Trust - NZ Dividend Fund
GOV380.NZ,Government of New Zealand
NZP010.NZ,New Zealand Post Group Finance Limited
GOV410.NZ,Government of New Zealand
ZEL.NZ,Z Energy Limited
MCKPA.NZ,Millennium & Copthorne Hotels New Zealand Limited
GOV400.NZ,Government of New Zealand
ZEL020.NZ,Z Energy Limited
ABA.NZ,Abano Healthcare Group Limited
ABB030.NZ,ASB Bank Limited
AFI.NZ,Australian Foundation Investment Company Limited
AFT.NZ,AFT Pharmaceuticals Limited
AFC.NZ,AFC Group Holdings Limited
AIA.NZ,Auckland International Airport Limited
AWK.NZ,Airwork Holdings Limited
AIA080.NZ,AIA 15/11/16 8.00% - Auckland I
AIA130.NZ,Auckland International Airport Limited
AIA200.NZ,Auckland International Airport Limited
AIA110.NZ,Auckland International Airport Limited
AIR010.NZ,AIR 15/11/2016 6.90% - Air New
AIA120.NZ,Auckland International Airport Limited
AKC060.NZ,Auckland City Council
AKC070.NZ,Auckland City Council
AKC080.NZ,Auckland City Council
AKC050.NZ,Auckland City Council
ALF.NZ,Allied Farmers Limited
AMP.NZ,AMP Limited
ANB090.NZ,ANZ Bank New Zealand Limited
ANB110.NZ,ANZ Bank New Zealand Limited
ANB100.NZ,ANZ Bank New Zealand Limited
APN.NZ,APN News & Media Limited
AXG.NZ,Chatham Rock Phosphate Limited
APA.NZ,Asia Pacific Trust
ARG.NZ,Argosy Property Limited
ASP.NZ,Australian Property Index Trust - Aus Property Fund
ASBPB.NZ,ASB Capital Limited
ASF.NZ,Australian Financials Index Trust - Aus Financials Fund
ASR.NZ,Australian Resources Fund
ASD.NZ,Australian Dividend Index Trust - Aus Dividend Fund
ASBPA.NZ,ASB Capital Limited
ATM.NZ,The a2 Milk Company Limited
TPI.NZ,Cleanaway Waste Management Limited
PBG.NZ,Pacific Brands Limited
AUG.NZ,Augusta Capital Limited
AWF.NZ,AWF Madison Group Limited
BGR.NZ,Briscoe Group Limited
BIL.NZ,Bethunes Investments Limited
BIT.NZ,Bankers Ord
BLT.NZ,BLIS Technologies Limited
BNZ090.NZ,Bank of New Zealand
SKC040.NZ,SKYCITY Entertainment Group Limited
NZB.NZ,NZ Bond Fund
CEN030.NZ,Contact Energy Limited
GMB030.NZ,GMT Bond Issuer Limited
GMB020.NZ,GMT Bond Issuer Limited
GBF.NZ,Global Bond Fund
MEL030.NZ,Meridian Energy Limited
FBI120.NZ,Fletcher Building Industries Limited
FBU.NZ,Fletcher Building Limited
FBI100.NZ,FBI 15/03/17 7.50% Fletcher Bui
FBI110.NZ,Fletcher Building Industries Limited
CAV.NZ,Cavalier Corporation Limited
USS.NZ,US Small-Cap Trust
CBL.NZ,CBL Corporation Limited
CEN.NZ,Contact Energy Limited
CEN020.NZ,Contact Energy Limited
CGF.NZ,Cooks Global Foods Limited
CGL.NZ,Chow Group Limited
TCL.NZ,The City of London Investment Trust plc
SCY.NZ,Smiths City Group Limited
CMO.NZ,The Colonial Motor Company Limited
GXH.NZ,Green Cross Health Limited
CRP.NZ,Chatham Rock Phosphate Limited
CVT.NZ,Comvita Limited
FBI130.NZ,Fletcher Building Industries Limited
FBI140.NZ,Fletcher Building Industries Limited
FCG030.NZ,Fonterra Co-operative Group Limited
DGL.NZ,Delegat Group Limited
FCG040.NZ,Fonterra Co-operative Group Limited
DNZ.NZ,Stride Property Limited
MEL020.NZ,MEL 16/03/17 7.55% - Meridian E
LGF040.NZ,LGF 15/05/2021 6.00% - NZ Local
LGF060.NZ,New Zealand Local Government Funding Agency Limited
LGF010.NZ,LGF 15/12/2017 6.00% - NZ Local
TPW110.NZ,TPW 15/09/19 6.75% - Trustpower
TPW120.NZ,TPW 15/12/2021 5.63% Trustpower
LGF020.NZ,New Zealand Local Government Funding Agency Limited
PCT010.NZ,Precinct Properties New Zealand Limited
RBO010.NZ,RBO 10/06/2020 4.592% Rabobank
WHS020.NZ,The Warehouse Group Limited
LGF030.NZ,LGF 15/04/2020 3.00% - NZ Local
VCT070.NZ,VCT 15/06/17 7.0pct Vector Limi
LGF050.NZ,New Zealand Local Government Funding Agency Limited
SKT020.NZ,SKY Network Television Limited
EBO.NZ,EBOS Group Limited
IQE.NZ,Intueri Education Group Limited
EVO.NZ,Evolve Education Group Limited
EMF.NZ,Emerging Markets Fund
TEM.NZ,Templeton Emerging Markets Investment Trust plc
GNE.NZ,Genesis Energy Limited
ERD.NZ,EROAD Limited
EUF.NZ,Europe Trust
EUT.NZ,European Investment Ord
FCG.NZ,Fonterra Co-operative Group Limited
FCT.NZ,Foreign & Colonial Investment Trust PLC
FIN.NZ,Finzsoft Solutions Limited
FLI.NZ,Fliway Group Limited
FNZ.NZ,NZX 50 Portfolio Index Fund
FSF.NZ,Fonterra Shareholders Fund
PFI.NZ,Property For Industry Limited
GEO.NZ,GeoOP Limited
GTK.NZ,Gentrack Group Limited
GFL.NZ,Geneva Finance Limited
GGL.NZ,G3 Group Limited
MLN.NZ,Marlin Global Limited
HLG.NZ,Hallenstein Glasson Holdings Limited
TGG.NZ,T&G Global Limited
MPG.NZ,Metro Performance Glass Limited
GNE030.NZ,Genesis Energy Limited
NTL.NZ,New Talisman Gold Mines Limited
HBY.NZ,Hellaby Holdings Limited
HBL.NZ,Heartland Bank Limited
MHI.NZ,Michael Hill New Zealand Limited
IFT190.NZ,Infratil Limited
IFT210.NZ,Infratil Limited
IFT180.NZ,Infratil Limited
IFT090.NZ,Infratil Limited
IFT160.NZ,IFT 15/06/17 8.50% - Infratil L
IFT170.NZ,Infratil Limited
JFJ.NZ,JPMorgan Japanese Investment Trust plc
KCF010.NZ,Kiwi Capital Funding Limited
KFL.NZ,Kingfish Limited
KRK.NZ,Wellington Merchants Limited
KPG.NZ,Kiwi Property Group Limited
KPG010.NZ,Kiwi Property Group Limited
LAT.NZ,Lateral Corporation Limited
USG.NZ,US Large Growth Trust
USV.NZ,US Large Value Trust
SEA.NZ,SeaDragon Limited
NPT.NZ,NPT Limited
MFT.NZ,Mainfreight Limited
MAD.NZ,Energy Mad Limited
MDZ.NZ,NZX Midcap Index Fund
MGL.NZ,Mercer Group Limited
MVN.NZ,Methven Limited
MEL.NZ,Meridian Energy Limited
SNK.NZ,Snakk Media Limited
USM.NZ,US Mid-Cap Trust
MMH.NZ,Marsden Maritime Holdings Limited
MOA.NZ,Moa Group Limited
MRP.NZ,Mercury NZ Limited
MVT.NZ,Mercantile Investment Company Limited
MYK.NZ,Mykco Limited
MZY.NZ,Australian Mid Cap Fund
ONL.NZ,Oceania Natural Limited
SKT.NZ,SKY Network Television Limited
PPP.NZ,Pan Pacific Petroleum NL
NPF.NZ,New Zealand Property Trust
NWF.NZ,NZ Windfarms Limited
THL.NZ,Tourism Holdings Limited
SPY.NZ,SmartPay Holdings Limited
NZC.NZ,New Zealand Cash Trust
TIL.NZ,Trilogy International Limited
OMG.NZ,CSM Group Limited
ENS.NZ,Enprise Group Limited
OZY.NZ,smartOZZY
VCT.NZ,Vector Limited
TNZ.NZ,smartTENZ
VML.NZ,Plexure Group Limited
POT.NZ,Port of Tauranga Limited
TTK.NZ,TeamTalk Limited
USF.NZ,US 500 Trust
STU.NZ,Steel & Tube Holdings Limited
UOC010.NZ,University of Canterbury
RIS.NZ,Chow Group Limited
PWC090.NZ,Powerco Limited
TRP030.NZ,Transpower New Zealand Limited
PAY.NZ,Pushpay Holdings Limited
SCL.NZ,Scales Corporation Limited
PIL.NZ,Promisia Integrative Limited
SPF560.NZ,Spark Finance Limited
CNU.NZ,Chorus Limited
TRP020.NZ,Transpower New Zealand Limited
TRP010.NZ,Transpower New Zealand Limited
SLI.NZ,SLI Systems Limited
BRM.NZ,Barramundi Limited
PLE.NZ,PLE.NZ
TLS.NZ,Telstra Corporation Limited
COA.NZ,Coats Group plc
