Ticker,Name
AKSO.OL,Aker Solutions
STL.OL,Statoil ASA
WWASA.OL,Wilh. Wilhelmsen ASA
OTS.OL,Oceanteam ASA
ORK.OL,Orkla ASA
IOX.OL,Interoil Exploration and Production ASA
EKO.OL,Ekornes ASA
DNO.OL,DNO ASA
AQUA.OL,Aqualis ASA
AKER.OL,Aker ASA
AFK.OL,Arendals Fossekompani ASA
STB.OL,Storebrand ASA
SSHIP.OL,Scanship Holding ASA
OPERA.OL,Opera Software ASA
NOD.OL,Nordic Semiconductor ASA
MEDI.OL,Medistim ASA
HNB.OL,Hafslund ASA
AWDR.OL,Awilco Drilling Plc
ASETEK.OL,Asetek A/S
SDRL.OL,SeaDrill Limited
BWO.OL,BW Offshore Limited
SEVDR.OL,Sevan Drilling Limited
GOGL.OL,Golden Ocean Group Limited
FRO.OL,Frontline Ltd.
HLNG.OL,Höegh LNG Holdings Ltd.
DETNOR.OL,Aker BP ASA
DAT.OL,Data Respons ASA
THIN.OL,Thin Film Electronics ASA
NOR.OL,Norwegian Energy Company AS
BXPL.OL,Badger Explorer ASA
GYL.OL,Gyldendal ASA
FUNCOM.OL,Funcom N.V.
FLNG.OL,Flex LNG Ltd
FAR.OL,Farstad Shipping ASA
BAKKA.OL,P/F Bakkafrost
PGS.OL,Petroleum Geo-Services ASA
WWIB.OL,Wilh. Wilhelmsen Holding ASA
MHG.OL,Marine Harvest ASA
HYARD.OL,Havyard Group ASA
HEX.OL,Hexagon Composites ASA
WWI.OL,Wilh. Wilhelmsen Holding ASA
JIN.OL,Jinhui Shipping and Transportation Limited
SSC.OL,The Scottish Salmon Company PLC
PLCS.OL,Polarcus Limited
SSI.OL,Siem Shipping Inc.
SIOFF.OL,Siem Offshore Inc.
KVAER.OL,Kværner ASA
KOG.OL,Kongsberg Gruppen ASA
KIT.OL,Kitron ASA
KID.OL,Kid ASA
WRL.OL,Wentworth Resources Limited
SUBC.OL,Subsea 7 S.A.
MULTI.OL,Multiconsult ASA
WEIFA.OL,Weifa ASA
VEI.OL,Veidekke ASA
SKI.OL,Skiens Aktiemølle ASA
RENO.OL,RenoNorden ASA
REC.OL,REC Silicon ASA
NAS.OL,Norwegian Air Shuttle ASA
ITX.OL,Intex Resources ASA
IMSK.OL,I.M. Skaugen SE
GRO.OL,Ganger Rolf ASA
BON.OL,Bonheur ASA
BIRD.OL,Techstep ASA
AUSS.OL,Austevoll Seafood ASA
AFG.OL,AF Gruppen ASA
YAR.OL,Yara International ASA
XXL.OL,XXL ASA
WBULK.OL,Bulk Invest ASA
TGS.OL,TGS-NOPEC Geophysical Company ASA
TEL.OL,Telenor ASA
STLFUT.OL,Statoil ASA
SSO.OL,Scatec Solar ASA
SRBANK.OL,SpareBank 1 SR-Bank ASA
SPU.OL,Spectrum ASA
SOFF.OL,Solstad Farstad ASA
SEVAN.OL,Sevan Marine ASA
SCI.OL,Incus Investor ASA
SCHB.OL,Schibsted ASA
SCHA.OL,Schibsted ASA
SBO.OL,Selvaag Bolig ASA
RGT.OL,Rocksource ASA
RISH.OL,GC Rieber Shipping ASA
REACH.OL,Reach Subsea ASA
PHO.OL,PhotoCure ASA
PGSFUT.OL,Petroleum Geo-Services ASA
NTS.OL,NTS ASA
NSG.OL,Norske Skogindustrier ASA
NRC.OL,NRC Group ASA
NPRO.OL,Norwegian Property ASA
NHY.OL,Norsk Hydro ASA
NEXT.OL,NEXT Biometrics Group ASA
NEL.OL,NEL ASA
SONG.OL,Songa Offshore SE
HSPG.OL,Høland og Setskog Sparebank
GOGL-R.OL,Golden Ocean Group REG S
FOE.OL,Fred. Olsen Energy ASA
EIOF.OL,Eidesvik Offshore ASA
QFR.OL,Q-Free ASA
QEC.OL,Questerre Energy Corporation
GIG.OL,"Gaming Innovation Group, Inc."
VIZ.OL,VIZ.OL
OCY.OL,Ocean Yield AS
ZAL.OL,Zalaris ASA
ASC.OL,ABG Sundal Collier Holding ASA
COV.OL,ContextVision AB (publ)
ABT.OL,Aqua Bio Technology ASA
AEGA.OL,Aega ASA
APCL.OL,African Petroleum Corporation Limited
AGA.OL,AgaTech ASA
AKA.OL,Akastor ASA
SOAG.OL,SpareBank 1 Østfold Akershus
AKVA.OL,AKVA Group ASA
ALNG.OL,Awilco LNG ASA
AMSC.OL,American Shipping Company ASA
APP.OL,Apptix ASA
ARCHER.OL,Archer Limited
NAVA.OL,Navamedic ASA
NANO.OL,Nordic Nanovector ASA
LSG.OL,Lerøy Seafood Group Asa
ITE.OL,Itera ASA
IDEX.OL,Idex ASA
HFISK.OL,Havfisk ASA
HAVI.OL,Havila Shipping ASA
GSF.OL,Grieg Seafood ASA
GOD.OL,Goodtech ASA
EAM.OL,EAM Solar ASA
DOF.OL,DOF ASA
DOLP.OL,Dolphin Group ASA
BOUVET.OL,Bouvet ASA
BIOTEC.OL,Biotec Pharmacon ASA
BEL.OL,Belships ASA
ATEA.OL,Atea ASA
BMA.OL,Byggma ASA
BOR.OL,Borgestad ASA
KOA.OL,Kongsberg Automotive ASA
DNOFUT.OL,DNO ASA
AURLPG.OL,Aurora LPG Holding ASA
SER.OL,Serodus ASA
POL.OL,Polaris Media ASA
PEN.OL,Panoro Energy ASA
NOM.OL,Nordic Mining ASA
NORTH.OL,North Energy AS
TIDE.OL,Tide ASA
SOLV.OL,Solvang ASA
EMGS.OL,Electromagnetic Geoservices ASA
NATTO.OL,NattoPharma ASA
LINK.OL,Link Mobility Group ASA
VISTIN.OL,Vistin Pharma ASA
MSEIS.OL,Magseis ASA
BIONOR.OL,Bionor Pharma ASA
STBFUT.OL,Storebrand ASA
GJFFUT.OL,Gjensidige Forsikring ASA
SKBN.OL,Skandiabanken ASA
EPR.OL,Europris ASA
PCIB.OL,PCI Biotech Holding ASA
NRS.OL,Norway Royal Salmon AS
PROTCT.OL,Protector Forsikring ASA
WILS.OL,Wilson ASA
STORM.OL,Storm Real Estate ASA
GJF.OL,Gjensidige Forsikring ASA
REM.OL,Rem Offshore ASA
BERGEN.OL,Bergen Group ASA
CXENSE.OL,Cxense ASA
IGNIS.OL,IGNIS
RECSOL.OL,REC Solar ASA
REPANT.OL,Repant ASA
RECFUT.OL,REC Silicon ASA
SALM.OL,SalMar ASA
HNA.OL,Hafslund ASA
TOM.OL,Tomra Systems ASA
MCG.OL,MultiClient Geophysical ASA
HBC.OL,Hofseth BioCare ASA
BRG.OL,Borregaard ASA
OLT.OL,Olav Thon Eiendomsselskap ASA
SVEG.OL,Sparebanken Vest
SAGA.OL,Saga Tankers Asa
VVL.OL,Voss Veksel- og Landmandsbank ASA
ENTRA.OL,Entra ASA
HUGO.OL,Hugo Games A/S
TELFUT.OL,Telenor ASA
TTS.OL,TTS Group ASA
VARDIA.OL,Insr Insurance Group ASA
ATLA-NOK.OL,P/F Atlantic Petroleum
AVM.OL,Avocet Mining plc
AVANCE.OL,Avance Gas Holding Limited
AXA.OL,Axactor AB (publ)
PCIB-T.OL,PCI BIOTECH HOLDING ASA
BWLPG.OL,BW LPG Limited
TEAM.OL,Team Tankers International Ltd.
SNI.OL,Stolt-Nielsen Limited
ROM.OL,RomReal Limited
ODL.OL,Odfjell Drilling Ltd.
SBVG.OL,SpareBank 1 BV
RCL.OL,RCL.OL
PDR.OL,Petrolia SE
DESSC.OL,Deep Sea Supply Plc
SDSD.OL,S.D. Standard Drilling Plc
PRS.OL,Prosafe SE
SBX.OL,SeaBird Exploration PLC
NAPA.OL,Napatech A/S
SENDEX.OL,Serendex Pharmaceuticals A/S
DNBFUT.OL,DNBFUT.OL
DNB.OL,DNB ASA
PROS.OL,Prospector Offshore Drilling S.A.
EMAS.OL,EMAS Offshore Limited
RAKP.OL,RAK Petroleum plc
RING.OL,SpareBank 1 Ringerike Hadeland
HELG.OL,Helgeland Sparebank
NGT.OL,NextGenTel Holding ASA
ISSG.OL,Indre Sogn Sparebank
JAEREN.OL,Jaeren Sparebank
MELG.OL,Melhus Sparebank
TIL.OL,Tanker Investments Ltd.
MORG.OL,Sparebanken Møre
AURG.OL,Aurskog Sparebank
SKUE.OL,Skue Sparebank
NONG.OL,SpareBank 1 Nord-Norge
SOR.OL,Sparebanken Sør
SPOG.OL,Sparebanken Øst
ODFB.OL,Odfjell SE
STRONG.OL,StrongPoint ASA
TOTG.OL,Totens Sparebank
SADG.OL,Sandnes Sparebank
PHLY.OL,Philly Shipyard ASA
ODF.OL,Odfjell SE
PPG-PREF.OL,Pioneer Property Group
NTSG.OL,SpareBank 1 Nøtterøy - Tønsberg
MING.OL,SpareBank 1 SMN
SIOFF-T.OL,SIEM OFFSHORE INC
SAS-NOK.OL,SAS AB (publ)
