Ticker,Name
EDP.LS,"EDP - Energias de Portugal, S.A."
SEM.LS,"Semapa - Sociedade de Investimento e GestÃ£o, SGPS, S.A."
FCP.LS,"Futebol Clube do Porto - Futebol, S.A.D."
GALP.LS,"Galp Energia, SGPS, S.A."
EDPR.LS,"EDP Renováveis, S.A."
NBA.LS,Novabase SGPS SA
CUR.LS,AGUAS DA CURIA
ALTR.LS,"Altri, S.G.P.S., S.A."
ALISA.LS,ISA
ALNOR.LS,NEXPONOR-SICAFI
VAF.LS,"Vista Alegre Atlantis, SGPS, S.A."
COR.LS,"Corticeira Amorim, S.G.P.S., S.A."
CPA.LS,"COPAM - Companhia Portuguesa de Amidos, S.A."
ORE.LS,"Sociedade Comercial Orey Antunes, SA"
CPN.LS,Companhia Industrial Produtora De Antibioticos SA
LIG.LS,Lisgrafica-Impressao e Artes Graficas
SANT.LS,"Banco Santander, S.A."
BCP.LS,"Banco Comercial Português, S.A."
SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD"
BPI.LS,"Banco BPI, S.A."
CDU.LS,"Conduril - Engenharia, S.A."
CFN.LS,"Cofina, SGPS, S.A."
CPR.LS,"CIMPOR - Cimentos De Portugal, SGPS, S.A."
SCP.LS,"Sporting Clube de Portugal - Futebol, SAD"
SCB.LS,Sporting Clube de Braga - Futebol SAD
CTT.LS,"CTT - Correios De Portugal, S.A."
RED.LS,"Reditus, Sociedade Gestora de Participações Sociais, S.A."
HQL.LS,HQL.LS
TDSA.LS,"Teixeira Duarte, S.A."
MPIO.LS,Caixa Económica Montepio Geral
EGL.LS,"Mota-Engil, SGPS, S.A."
COMAE.LS,"COMPTA - Equipamentos e ServiÃ§os de InformÃ¡tica, S.A."
ESF.LS,ESF.LS
ESO.LS,"Estoril Sol, SGPS, S.A."
ENXP.LS,EURONEXT
FEN.LS,"Fenalu - GestÃ£o de Investimentos e ParticipaÃ§Ãµes, SA"
LIT.LS,"Litho Formas, S.A."
IPR.LS,"Impresa - Sociedade Gestora de Participações Sociais, S.A."
INA.LS,"Inapa - Investimentos, Participações e Gestão, SA"
SVA.LS,"SAG GEST - Soluções Automóvel Globais, SGPS, S.A."
INAP.LS,"Inapa - Investimentos, Participações e Gestão, SA"
GLINT.LS,"Glintt - Global Intelligent Technologies, S.A."
GPA.LS,"Imobiliária Construtora Grão Pará, S.A."
IBS.LS,"Ibersol, S.G.P.S., S.A."
JMT.LS,"Jerónimo Martins, SGPS, S.A."
LUZ.LS,"Luz Saúde, S.A."
MAR.LS,"Martifer SGPS, S.A."
MCP.LS,"Grupo Media Capital, SGPS, S.A."
RENE.LS,"REN - Redes Energéticas Nacionais, SGPS, S.A."
NOS.LS,"NOS, S.G.P.S., S.A."
PHR.LS,"Pharol, SGPS S.A."
SCT.LS,"Toyota Caetano Portugal, S.A."
SUCO.LS,"Sumol+Compal, S.A."
SNG.LS,"Sonagi, S.G.P.S., S.A."
RAM.LS,"F. Ramada Investimentos, SGPS, S.A."
SDCAE.LS,"SDC Investimentos, SGPS, SA"
VAFK.LS,VAFK.LS
SONC.LS,"SC, SGPS, SA"
SONI.LS,"Sonae Indústria, S.G.P.S., S.A."
SNC.LS,"Sonaecom, S.G.P.S., S.A."
TRAAP.LS,TRANSINSULAR
SON.LS,"Sonae, SGPS, S.A."
