Ticker,Name
GA04.QA,State Of Qatar
GWCS.QA,Gulf Warehousing Company Q.P.S.C.
VFQS.QA,Vodafone Qatar Q.S.C.
QOIS.QA,Qatar Oman Investment Company Q.S.C.
QIIK.QA,Qatar International Islamic Bank (Q.S.C)
QFLS.QA,Qatar Fuel Company Q.S.C.
MRDS.QA,Mazaya Qatar Real Estate Development Q.S.C.
MARK.QA,Masraf Al Rayan (Q.P.S.C.)
IQCD.QA,Industries Qatar Q.S.C.
ERES.QA,Ezdan Holding Group Q.S.C.
DOHI.QA,Doha Insurance Company Q.S.C.
BRES.QA,Barwa Real Estate Company
QGRI.QA,Qatar General Insurance & Reinsurance Company PJSC
TB33.QA,QA CB TBill 182D 01Dec15
MERS.QA,Al Meera Consumer Goods Company Q.S.C.
QNCD.QA,Qatar National Cement Company (Q.S.C.)
TB31.QA,QA CB Tbill 273D 02Feb16
DBIS.QA,Dlala Brokerage and Investment Holding Company (Q.P.S.C)
QGMD.QA,Qatari German Company for Medical Devices Q.S.C.
TB37.QA,QA CB TBill 273D 05Apr16
QATI.QA,Qatar Insurance Company S.A.Q.
AKHI.QA,Al Khaleej Takaful Group (Q.P.S.C.)
ABQK.QA,Ahli Bank Q.S.C.
WDAM.QA,Widam Food Company Q.S.C.
QIGD.QA,Qatari Investors Group Q.S.C.
AHCS.QA,Aamal Company Q.P.S.C.
GISS.QA,Gulf International Services Q.S.C.
MCGS.QA,Medicare Group Q.S.C.
QIMD.QA,Qatar Industrial Manufacturing Company Q.P.S.C.
TB25.QA,QA CB TBill 273D 01Dec2015
QGTS.QA,Qatar Gas Transport Company Limited (Nakilat) Q.S.C.
DHBK.QA,Doha Bank Q.S.C.
QISI.QA,Qatar Islamic Insurance Company Q.S.C
QNNS.QA,Qatar Navigation Q.P.S.C.
CBQK.QA,The Commercial Bank (P.S.Q.C.)
QCFS.QA,Qatar Cinema and Film Distribution Company (Q.P.S.C)
IHGS.QA,Islamic Holding Group (Q.S.C.)
NLCS.QA,Alijarah Holding (Q.P.S.C)
TB28.QA,QA CB TBill 273D 05Jan2016
GA03.QA,QA CB Gov Bond 2.75 Jun16
ORDS.QA,Ooredoo Q.P.S.C.
QEWS.QA,Qatar Electricity and Water Company Q.S.C.
UDCD.QA,United Development Company Q.P.S.C.
QIBK.QA,Qatar Islamic Bank (Q.P.S.C.)
TB34.QA,QA CB Tbill 273D Mar16
SIIS.QA,Salam International Investment Limited Q.P.S.C.
QNBK.QA,Qatar National Bank S.A.Q.
TB36.QA,QA CB TBill 182D 05Jan16
GA02.QA,State Of Qatar
MPHC.QA,Mesaieed Petrochemical Holding Company Q.S.C.
KCBK.QA,Al Khalij Commercial Bank (al khaliji) P.Q.S.C.
MCCS.QA,Mannai Corporation Q.P.S.C.
GA01.QA,QA CB Gov Bond 2.75 Mar16
ZHCD.QA,Zad Holding Company Q.S.C.
GA13.QA,QA CB Gov Bond 2.75 Sep20
GA16.QA,State Of Qatar
GA09.QA,QA CB Gov Bond 2.25 Jun17
GA05.QA,QA CB Gov Bond 2.75 Sep16
GA08.QA,State Of Qatar
GA10.QA,State Of Qatar
GA12.QA,State Of Qatar
GA15.QA,QA CB Gov Bond 3.75 Sep25
GA17.QA,State Of Qatar
GA18.QA,State Of Qatar
GA06.QA,State Of Qatar
GA11.QA,State Of Qatar
GA19.QA,State Of Qatar
GA07.QA,QA CB Gov Bond 2.75 Dec16
GA14.QA,State Of Qatar
TB49.QA,QA CB Tbill 273D 02Aug16
TB48.QA,QA CB Tbill 182D 03May16
TB52.QA,QA CB Tbill 273D 01Sep16
TB45.QA,QA CB Tbill 182D 05Apr16
TB51.QA,QA CB Tbill 182D 02Jun16
TB46.QA,QA CB Tbill 273D 05Jul16
TB40.QA,QA CB Tbill 273D 03May16
TB43.QA,QA CB Tbill 273D 02Jun16
