Ticker,Name
E5H.SI,Golden Agri-Resources Ltd
AU8U.SI,CapitaLand Retail China Trust
A23.SI,Auric Pacific Group Limited
J7X.SI,Tiger Airways Holdings Limited
5IB.SI,China Medical (International) Group Limited
B32.SI,BH Global Corporation Limited
N21.SI,Noble Group Limited
B2F.SI,M1 Limited
BN4.SI,Keppel Corporation Limited
K29.SI,Karin Technology Holdings Limited
J37.SI,Jardine Strategic Holdings Limited
MU7.SI,DBS Bank Ltd.
J36.SI,Jardine Matheson Holdings Limited
F10.SI,F J Benjamin Holdings Ltd
D05.SI,DBS Group Holdings Ltd
D03.SI,Del Monte Pacific Limited
D79.SI,C&G Environmental Protection Holdings Limited
D11.SI,Design Studio Group Ltd.
CZ4.SI,Dutech Holdings Limited
AJBU.SI,Keppel DC REIT
5CH.SI,DMX Technologies Group Limited
T16.SI,China Dairy Group Ltd.
MT1.SI,Dragon Group International Limited
LG8.SI,db x-trackers - MSCI India Index UCITS ETF
LG6.SI,db x-trackers - MSCI Malaysia Index UCITS ETF (DR)
K2M.SI,Debao Property Development Ltd.
S63.SI,Singapore Technologies Engineering Ltd
S59.SI,SIA Engineering Company Limited
P40U.SI,Starhill Global Real Estate Investment Trust
EB5.SI,First Resources Limited
5GB.SI,SIIC Environment Holdings Ltd.
G07.SI,Great Eastern Holdings Limited
5OU.SI,China Environment Ltd.
5ME.SI,Ezion Holdings Limited
5DN.SI,Ezra Holdings Limited
U04.SI,United Engineers Limited
T8JU.SI,Saizen Real Estate Investment Trust
R07.SI,Rotary Engineering Limited
LS9.SI,Leader Environmental Technologies Limited
ER0.SI,KSH Holdings Limited
E13.SI,Ellipsiz Ltd
C2PU.SI,Parkway Life Real Estate Investment Trust
B61.SI,Bukit Sembawang Estates Limited
AW9U.SI,First Real Estate Investment Trust
A78.SI,LionGold Corp Ltd
5KU.SI,Eastern Holdings Ltd.
ND8U.SI,Frasers Commercial Trust
J69U.SI,Frasers Centrepoint Trust
F34.SI,Wilmar International Limited
K2N.SI,China Minzhong Food Corporation Limited
F99.SI,"Fraser and Neave, Limited"
F01.SI,Vibrant Group Limited
G13.SI,Genting Singapore PLC
MC7.SI,Yamada Green Resources Limited
K6S.SI,Prudential plc
OV8.SI,Sheng Siong Group Ltd
MR8.SI,Yorkshine Holdings Limited
MC0.SI,Global Logistic Properties Limited
H07.SI,Stamford Land Corporation Ltd
SK7.SI,OUE Hospitality Trust
RF1U.SI,RHT Health Trust
RC5.SI,Triyards Holdings Limited
NS8U.SI,Hutchison Port Holdings Trust
N2H.SI,Hyflux Ltd
MS7.SI,Vard Holdings Limited
H64.SI,HTL International Holdings Limited
BCV.SI,Qian Hu Corporation Limited
B58.SI,Banyan Tree Holdings Limited
AK3.SI,Swiber Holdings Limited
5VJ.SI,Halcyon Agri Corporation Limited
5FX.SI,New Wave Holdings Ltd.
Y03.SI,Yeo Hiap Seng Limited
V69.SI,Union Steel Holdings Limited
U10.SI,UOB-Kay Hian Holdings Limited
T03.SI,Tat Hong Holdings Ltd
S7P.SI,Soilbuild Construction Group Ltd.
S41.SI,Hong Leong Finance Limited
S21.SI,Genting Hong Kong Limited
J03.SI,Jadason Enterprises Ltd
J10.SI,Jaya Holdings Limited
J91U.SI,ESR-REIT
UD2.SI,Japfa Ltd.
N33.SI,Nomura Yen1k
K1Q.SI,T T J Holdings Limited
J2T.SI,Hock Lian Seng Holdings Limited
J17.SI,Jackspeed Corporation Limited
E9L.SI,Joyas International Holdings Limited
C8R.SI,Jiutian Chemical Group Limited
C07.SI,Jardine Cycle & Carriage Limited
5FA.SI,JEP Holdings Ltd.
5PF.SI,Jason Marine Group Limited
42R.SI,Jumbo Group Limited
BEX.SI,BEX.SI
J18.SI,China Jishan Holdings Limited
JA9.SI,Changjiang Fertilizer Holdings Limited
BEW.SI,JB Foods Limited
IH1.SI,db x-trackers - MSCI AC Asia ex Japan Index UCITS ETF
JC6.SI,Lyxor UCITS ETF Dow Jones Industrial Average
CW4.SI,Lyxor UCITS ETF Japan (TOPIX)
J0M.SI,db x-trackers - MSCI Emerging Markets Index UCITS ETF
5WR.SI,$ Xyec
K71U.SI,Keppel REIT
K3OD.SI,PetroChina Co. Ltd.
K22.SI,Raffles United Holdings Ltd
Y34.SI,China Mining International Limited
