Ticker,Name
001065.KS,JW Pharmaceutical Corporation
067290.KQ,JW Shinyak Corporation
096760.KS,JW Holdings Corporation
001067.KS,JW Pharmaceutical Corporation
089590.KS,"Jeju Air Co., Ltd."
005930.KS,"Samsung Electronics Co., Ltd."
000660.KS,SK Hynix Inc.
055550.KS,"Shinhan Financial Group Co., Ltd."
034220.KS,"LG Display Co., Ltd."
036460.KS,Korea Gas Corporation
017670.KS,"SK Telecom Co., Ltd."
010140.KS,"Samsung Heavy Industries Co., Ltd."
005935.KS,"Samsung Electronics Co., Ltd."
004020.KS,Hyundai Steel Company
003620.KS,Ssangyong Motor Company
001440.KS,"Taihan Electric Wire Co., Ltd."
000040.KS,"KR Motors Co., Ltd."
128820.KS,"Daesung Industrial Co., Ltd."
126600.KQ,"KOPLA CO.,LTD."
122870.KQ,YG Entertainment Inc.
097950.KS,CJ Cheiljedang Corporation
088790.KS,"Jindo.Co., Ltd."
088290.KQ,Ewon Comfortech Co. Ltd.
086280.KS,"Hyundai Glovis Co., Ltd."
069510.KQ,ESTec Corporation
066570.KS,LG Electronics Inc.
057880.KQ,"Topfield Co., Ltd."
051910.KS,"LG Chem, Ltd."
042700.KS,"HANMI Semiconductor Co., Ltd."
042670.KS,"Doosan Infracore Co., Ltd."
037460.KQ,"Samji Electronics Co., Ltd."
036540.KQ,"SFA Semicon Co., Ltd."
032640.KS,LG Uplus Corp.
032500.KQ,Kmw Inc.
020560.KS,"Asiana Airlines, Inc."
015760.KS,Korea Electric Power Corporation
011160.KS,"Doosan Engineering & Construction Co., Ltd."
011070.KS,"LG Innotek Co., Ltd."
011000.KS,GeneOne Life Science Inc.
009150.KS,"Samsung Electro-Mechanics Co., Ltd."
008770.KS,"Hotel Shilla Co.,Ltd"
008250.KS,"Eagon Industrial Co., Ltd."
006400.KS,"Samsung SDI Co., Ltd."
005940.KS,"NH Investment & Securities Co., Ltd."
005490.KS,POSCO
004540.KS,"KleanNara Co., Ltd."
002790.KS,AmorePacific Group
000990.KS,"Dongbu HiTek Co., Ltd."
950130.KQ,"Access Bio, Inc."
222800.KQ,SIMMTECH
185750.KS,Chong Kun Dang Pharmaceutical Corp.
171120.KQ,"Lion Chemtech Co., Ltd."
161890.KS,"Kolmar Korea Co., Ltd."
150840.KQ,"IntroMedic Co., Ltd."
143240.KQ,"SaraminHR Co.,LTD"
141080.KQ,"LegoChem Biosciences, Inc."
138930.KS,BNK Financial Group Inc.
138040.KS,Meritz Financial Group Inc.
133820.KS,"Fine Besteel Co., Ltd."
129260.KS,"Intergis Co., Ltd."
128940.KS,"Hanmi Pharm. Co., Ltd."
123700.KS,"SJM Co., Ltd."
121890.KQ,"SD System Co., Ltd."
121800.KQ,"Seven Star Works Co., Ltd."
121440.KQ,"Golfzonyouwonholdings Co., Ltd."
120115.KS,"Kolon Industries, Inc."
119650.KS,"KC Cottrell Co., Ltd."
105630.KS,"Hansae Co., Ltd."
104830.KQ,"Wonik Materials Co., Ltd."
104200.KQ,Bugs Corporation
103130.KS,"Woongjin Energy Co., Ltd."
102280.KS,"SBW, Inc."
102210.KQ,"Haeduk Powerway Co., Ltd."
101240.KQ,"CQV Co., Ltd."
099440.KQ,"SMEC Co., Ltd."
099190.KQ,"i-SENS, Inc."
098660.KQ,"STO Co., Ltd."
097780.KQ,"SMAC Co.,Ltd."
097230.KS,"Hanjin Heavy Industries & Construction Co., Ltd."
093920.KQ,SEOWONINTECH Co. LTD
091440.KQ,Telefield Inc.
090730.KQ,"SIMPAC METALLOY Co., Ltd."
090460.KQ,"BH Co.,Ltd."
089010.KQ,"Chemtronics Co., Ltd."
085660.KQ,"CHA Biotech Co., Ltd."
085310.KS,"NK Co., Ltd."
083650.KQ,"BHI Co., Ltd."
083470.KQ,K.J. Pretech Co. Ltd.
081660.KS,Fila Korea Ltd.
081580.KQ,"Sungwoo Electronics Co., Ltd."
081150.KQ,"Tplex Co., Ltd."
080420.KQ,"InnoChips Technology Co., Ltd."
080000.KQ,Snu Precision Co Ltd
079950.KQ,"INVENIA Co., Ltd."
078130.KQ,"Kukil Paper Mfg. Co.,Ltd."
078020.KQ,"EBEST Investment & Securities Co., Ltd."
069960.KS,"Hyundai Department Store Co., Ltd."
068930.KQ,"Digital Daesung Co., Ltd."
068790.KQ,"DMS Co., Ltd."
068760.KQ,Celltrion Pharm Inc.
068270.KQ,"Celltrion, Inc."
068050.KQ,Pan Entertainment Co Ltd
067000.KQ,JoyCity Corporation
066575.KS,LG Electronics Inc.
065940.KQ,"KSCB Co.,Ltd."
065680.KQ,"UJU Electronics Co., Ltd."
065510.KQ,Huvitz Co. Ltd.
060980.KS,Halla Holdings Corp.
060720.KQ,"KHVATEC Co., Ltd."
060590.KQ,"CTCBIO., Inc."
060540.KQ,"System and Application Technologies Co., Ltd."
060230.KQ,exax Inc.
058860.KS,KTIS Corporation
058820.KQ,"CMG Pharmaceutical CO.,LTD."
058630.KQ,Mgame Corp.
057030.KQ,"YBM Net, Inc."
056190.KQ,SFA Engineering Corporation
056000.KQ,"Cowon Systems, Inc."
054800.KQ,"IDIS Holdings Co., Ltd."
054540.KQ,Samyoung M-Tek Co. Ltd.
