Ticker,Name
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A."
ANA.MC,"Acciona, S.A."
AMS.MC,"Amadeus IT Group, S.A."
ABE.MC,"Abertis Infraestructuras, S.A."
SAN.MC,"Banco Santander, S.A."
BKIA.MC,"Bankia, S.A."
SAB.MC,"Banco de Sabadell, S.A."
POP.MC,"Banco Popular Español, S.A."
ITX.MC,"Industria de Diseño Textil, S.A."
FCC.MC,"Fomento de Construcciones y Contratas, S.A."
BME.MC,"Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A."
MDF.MC,"Duro Felguera, S.A."
DIA.MC,"Distribuidora Internacional de Alimentación, S.A."
PSG.MC,"Prosegur Compañía de Seguridad, S.A."
PRS.MC,"Promotora de Informaciones, S.A."
PAC.MC,"Papeles y Cartones de Europa, S.A."
TEF.MC,"Telefónica, S.A."
REP.MC,"Repsol, S.A."
IBE.MC,"Iberdrola, S.A."
SCYR.MC,"Sacyr, S.A."
GAM.MC,"Siemens Gamesa Renewable Energy, S.A."
TUB.MC,"Tubacex, S.A."
REE.MC,"Red Eléctrica Corporación, S.A."
PHM.MC,"Pharma Mar, S.A."
LOG.MC,"Compañía de Distribución Integral Logista Holdings, S.A."
CABK.MC,"CaixaBank, S.A."
BKT.MC,"Bankinter, S.A."
ALM.MC,"Almirall, S.A."
ZOT.MC,"Zardoya Otis, S.A."
YENT.MC,"Entrecampos Cuatro, Socimi, S.A."
VOC.MC,"Vocento, S.A."
TVX.MC,TVX.MC
VIS.MC,"Viscofan, S.A."
RJF.MC,"Laboratorio Reig Jofre, S.A."
MTS.MC,ArcelorMittal
NEU.MC,"Neuron Bio, S.A."
NEA.MC,"Nicolás Correa, S.A."
ONL.MC,"Only-apartments, S.A."
EDR.MC,"eDreams ODIGEO, S.A."
CLEO.MC,COMPANIA LEVANTINA EDIFICACION
POP-D.MC,DERECHOS BANCO POPULAR ESPANOL
QBT-D.MC,"DERECHOS QUABIT INMOBILIARIA, S"
QBT.MC,"Quabit Inmobiliaria, S.A."
TRG.MC,"Tubos Reunidos, S.A."
CPL.MC,"Cementos Portland Valderrivas, S.A."
NYE.MC,NYESA VALORES CORPORACION S.A.
CAF.MC,"Construcciones y Auxiliar de Ferrocarriles, S.A."
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A."
YPMR.MC,Promociones Renta Y Mantenimiento Socimi S.A.
YHAB.MC,HEREF Habaneras SOCIMI S.A.
YMEI.MC,"Mercal Inmuebles Socimi, S.A."
YPR2.MC,"Corpfin Capital Prime Retail II, SOCIMI, S.A."
YDOA.MC,"Inversiones Doalca SOCIMI, S.A."
YOSO.MC,"Obsido Socimi, S.A."
YTRA.MC,"Trajano Iberia Socimi, S.A."
SAY.MC,"Saeta Yield, S.A."
SLR.MC,"Solaria Energía y Medio Ambiente, S.A."
MCM.MC,"Miquel y Costas & Miquel, S.A."
YARE.MC,"Autonomy Spain Real Estate SOCIMI, S.A."
YZBL.MC,"Zambal Spain Socimi, S.A."
YPR3.MC,"Corpfin Capital Prime Retail III, SOCIMI, S.A."
YZPS.MC,Zaragoza Properties Socimi SA
YFID.MC,"Fidere Patrimonio Socimi, S.A."
ENC.MC,"ENCE Energía y Celulosa, S.A."
YABA.MC,"Jaba I Inversiones Inmobiliarias, Socimi, S.A."
INY.MC,"Inypsa Informes y Proyectos, S.A."
ZNK.MC,"Zinkia Entertainment, S.A."
ABG.MC,"Abengoa, S.A."
ABG-P.MC,ABENGOA CLASE B
ABB.MC,"AB-Biotics, S.A."
ACX.MC,"Acerinox, S.A."
ACS-D.MC,"DERECHOS ACS, ACTIVIDADES DE CO"
HIS.MC,"Hispania Activos Inmobiliarios SOCIMI, S.A."
ADZ.MC,"Adolfo Domínguez, S.A."
AENA.MC,"Aena, S.A."
BAY.MC,Bayer Aktiengesellschaft
AGIL.MC,"Agile Content, S.A."
CAM.MC,CUOTAS PARTICIPATIVAS DE CAJA D
IAG.MC,"International Consolidated Airlines Group, S.A."
AIR.MC,Airbus SE
AISA.MC,AISA.MC
ALC.MC,"Altia Consultores, S.A."
ALB.MC,"Corporación Financiera Alba, S.A."
GALQ.MC,"General de Alquiler de Maquinaria, S.A."
AMP.MC,"Amper, S.A."
ELE.MC,"Endesa, S.A."
APPS.MC,"Applus Services, S.A."
APAM.MC,Aperam
A3M.MC,"Atresmedia Corporación de Medios de Comunicación, S.A."
AXIA.MC,"Axiare Patrimonio Socimi, S.A."
AZK.MC,"Azkoyen, S.A."
BDL.MC,"BarÃ³n de Ley, S.A."
SAN-D.MC,DERECHOS BANCO SANTANDER
BDK.MC,BDK.MC
NBI.MC,"NBI Bearings Europe, S.A."
EBI.MC,"EBIOSS Energy, SE"
FACE.MC,"Facephi Biometria, S.A."
BIO.MC,"Biosearch, S.A."
BNT.MC,Bioorganic Research and Services S.A.
NEU-D.MC,DERECHOS NEURON BIO
RIO.MC,"Bodegas Riojanas, S.A."
RLIA.MC,"Realia Business, S.A."
COM.MC,"Catenon, S.A."
CBAV.MC,"Clínica Baviera, S.A."
CDR.MC,"Codere, S.A."
CLNX.MC,"Cellnex Telecom, S.A."
CIE.MC,"CIE Automotive, S.A."
CLR.MC,"CLERHP Estructuras, S.A."
CMM.MC,"Commcenter, S.A."
CMC.MC,"Corporación Empresarial de Materiales de Construcción, S.A."
DGI.MC,"Dogi International Fabrics, S.A."
N1.MC,ALANTRA PARTNERS SA
EBRO.MC,"Ebro Foods, S.A."
ECG.MC,"Euroconsult Engineering Consulting Group, S.A."
ECR.MC,"Ercros, S.A."
GRI.MC,"Griñó Ecologic, S.A."
EEP.MC,"EuroEspes, S.A."
EGPW.MC,EGPW.MC
EKT.MC,"Euskaltel, S.A."
ENO.MC,"Elecnor, S.A."
GSJ.MC,"Grupo Empresarial San José, S.A."
URA.MC,URA.MC
TEC.MC,"Tecnocom Telecomunicaciones y Energía, S.A."
SPS.MC,"Service Point Solutions, S.A."
SNC.MC,"Sniace, S.A."
MEL.MC,"Meliá Hotels International, S.A."
MAP.MC,"Mapfre, S.A."
LMR.MC,LMR.MC
IKM.MC,"1nKemia IUCT Group, S.A."
IBG.MC,"Iberpapel Gestión, S.A."
GOW.MC,"LET S GOWEX, S.A."
FER.MC,"Ferrovial, S.A."
EZE.MC,Grupo Ezentis SA
LBK.MC,"Liberbank, S.A."
REY.MC,REYAL URBIS S.A.
OLE.MC,"Deoleo, S.A."
RLI-D.MC,DERECHOS REALIA BUSINESS
10641067.MA,CANT PREF NCRPS 3
GRF-P.MC,GRIFOLS S.A. CLASE B
NPG.MC,"NPG TECHNOLOGY, S.A."
TST.MC,"TESTA INMUEBLES EN RENTA, SOCIM"
ROVI.MC,"Laboratorios Farmaceuticos ROVI, S.A."
MED.MC,"Medcomtech, S.A."
LRE.MC,"Lar EspaÃ±a Real Estate SOCIMI, S.A."
GRF.MC,"Grifols, S.A."
TEF-D.MC,DERECHOS TELEFONICA S.A.
OHL.MC,"Obrascón Huarte Lain, S.A."
ISUR.MC,"Inmobiliaria del Sur, S.A."
LLN.MC,"LleidaNetworks Serveis Telemàtics, S.A."
FAE-D.MC,"DERECHOS FAES FARMA, S.A."
MRL.MC,"Merlin Properties Socimi, S.A."
SCY-D.MC,"DERECHOS SACYR, S.A."
STG.MC,"Sotogrande, S.A."
PVA.MC,"Pescanova, S.A."
TL5.MC,"Mediaset España Comunicación, S.A."
INC.MC,Inclam S.A.
