Ticker,Name
WIHL.ST,Wihlborgs Fastigheter AB (publ)
VOLV-B.ST,AB Volvo (publ)
SCA-A.ST,Svenska Cellulosa Aktiebolaget SCA (publ)
SAS.ST,SAS AB (publ)
REZT.ST,Rezidor Hotel Group AB (publ)
PACT.ST,Proact IT Group AB (publ)
LUND-B.ST,L E Lundbergföretagen AB (publ)
HLDX.ST,Haldex AB (publ)
ECEX.ST,East Capital Explorer AB (publ)
CLAS-B.ST,Clas Ohlson AB (publ)
BILL.ST,BillerudKorsnäs AB (publ)
BBTO-B.ST,B&B Tools AB (publ)
AXFO.ST,Axfood AB
XANO-B.ST,XANO Industri AB (publ)
SAND.ST,Sandvik AB
MQ.ST,MQ Holding AB
LUPE.ST,Lundin Petroleum AB (publ)
KINV-B.ST,Kinnevik AB
DUNI.ST,Duni AB (publ)
BEIJ-B.ST,Beijer Ref AB (publ)
VBG-B.ST,VBG Group AB (publ)
SKA-B.ST,Skanska AB (publ)
SAAB-B.ST,Saab AB (publ)
RUSF.ST,RusForest AB (publ)
NOTE.ST,NOTE AB
NOMI.ST,Nordic Mines AB (publ)
NIBE-B.ST,NIBE Industrier AB (publ)
LIAB.ST,Lindab International AB
JM.ST,JM AB (publ)
ITAB-B.ST,Itab Shop Concept AB
HUSQ-B.ST,Husqvarna AB (publ)
HEXA-B.ST,Hexagon AB
FEEL.ST,Feelgood Svenska AB (publ)
COIC.ST,Concentric AB (publ)
BMAX.ST,Byggmax Group AB (publ)
BEIA-B.ST,Beijer Alma AB (publ)
ASSA-B.ST,ASSA ABLOY AB (publ)
AF-B.ST,ÅF AB (publ)
ZZ-B.ST,Zinzino AB
SVED-B.ST,Svedbergs i Dalstorp AB
SEAM.ST,Seamless Distribution AB (publ)
ODLO.ST,Odfjell Drilling Ltd.
MEDF.ST,Medfield Diagnostics AB
KDEV.ST,Karolinska Development AB (publ)
ETX.ST,Etrion Corporation
ERICB.ST,Telefonaktiebolaget LM Ericsson (publ)
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ)
EPIS-B.ST,Episurf Medical AB
ENRO.ST,Eniro AB
ELAN-B.ST,Elanders AB (publ)
BELE.ST,Beijer Electronics Group AB (publ)
FPIP.ST,Formpipe Software AB
FIRE.ST,Firefly AB (publ)
FING-B.ST,Fingerprint Cards AB (publ)
BALD-B.ST,Fastighets AB Balder (publ)
SENS.ST,Sensys Gatso Group AB (publ)
HM-B.ST,H & M Hennes & Mauritz AB (publ)
RECY-B.ST,Recyctec Holding AB (publ)
NMAN.ST,Nederman Holding AB (publ)
AZA.ST,Avanza Bank Holding AB (publ)
SIVE.ST,Sivers IMA Holding AB (publ)
IJ.ST,Intrum Justitia AB
KNOW.ST,Knowit Aktiebolag (publ)
KARO.ST,Karo Pharma AB (publ)
KOPY.ST,Kopy Goldfields AB
KAMBI.ST,Kambi Group plc
KAHL.ST,KappAhl AB (publ)
KLIC-B.ST,Klick Data AB (publ.)
KLOV-PREF.ST,Klövern AB (publ)
MOB.ST,Moberg Pharma AB (publ)
MEDA-A.ST,Meda AB
QFRO.ST,Q-Free ASA
NOLA-B.ST,Nolato AB (publ)
NCC-B.ST,NCC AB
AKSOO.ST,Aker Solutions
WWASAO.ST,Wilh. Wilhelmsen ASA
WEIFAO.ST,Weifa ASA
SSOO.ST,Scatec Solar ASA
SKBNO.ST,Skandiabanken ASA
ORI.ST,Oriflame Holding AG
NSP-B.ST,Nordic Service Partners Holding AB
NRSO.ST,Norway Royal Salmon AS
NOVE.ST,Strax AB (publ)
NOKI.ST,Nokia Corporation
NODO.ST,Nordic Semiconductor ASA
NN-B.ST,Nordnet AB (publ)
NGQ.ST,NGEx Resources Inc.
NET-B.ST,NetEnt AB (publ)
ORX.ST,Orexo AB (publ)
OPCO.ST,Trention AB (publ)
STE-R.ST,Stora Enso Oyj
STE-A.ST,Stora Enso Oyj
SOBI.ST,Swedish Orphan Biovitrum AB
SAVOS.ST,Savo-Solar Oyj
OS.ST,Orasolv AB
OEM-B.ST,OEM International AB (publ)
ODD.ST,Odd Molly International AB (publ)
LUCE.ST,Lucent Oil AB
FOI-B.ST,Fenix Outdoor International AG
AOI.ST,Africa Oil Corp
OP-PREF.ST,Oscar Properties Holding AB (publ)
GOIL-PREF.ST,Ginger Oil AB
QLRO.ST,Qliro Group AB (publ)
QUICK.ST,QuickCool AB
QBNK.ST,QBNK Holding AB (publ)
PAR.ST,PA Resources AB
TREL-B.ST,Trelleborg AB
TOBII.ST,Tobii AB (publ)
TLSN.ST,Telia Company AB
TEL2B.ST,Tele2 AB (publ)
TEL2-B.ST,Tele2 AB (publ)
UFLX-B.ST,Uniflex AB (publ)
UNIB-SDB.ST,Kindred Group plc
PFE.ST,Pfizer Inc.
VITR.ST,Vitrolife AB (publ)
VOLV-A.ST,AB Volvo (publ)
ELV.ST,Elverket Vallentuna AB (publ)
EOLU-B.ST,Eolus Vind AB
FLNGO.ST,Flex LNG Ltd.
VNIL-SDB.ST,Vostok New Ventures Ltd
NEVI-B.ST,New Equity Venture International AB
VVLO.ST,Voss Veksel- og Landmandsbank A
VICP-B.ST,Victoria Park AB (publ)
VERI.ST,Verisec AB (publ)
VNV-SDB.ST,Vostok New Ventures Ltd
NILS.ST,Nilsson Special Vehicles AB (publ)
