Ticker,Name
ATLN.VX,Actelion Ltd
ROG.VX,Roche Holding AG
FHZN.SW,Flughafen Zürich AG
AAPL.SW,Apple Inc.
RO.SW,Roche Holding AG
AMS.SW,ams AG
ABBN.VX,ABB Ltd
CSGN.VX,Credit Suisse Group AG
VW-V.SW,Volkswagen Aktiengesellschaft
DUFN.SW,Dufry AG
BCGE.SW,Banque Cantonale de GenÃ¨ve SA
VWS.SW,Vestas Wind Systems A/S
OXDEX.SW,OXDEX.SW
OXDB1.SW,OXDB1.SW
OSR.SW,OSRAM Licht AG
KU2.SW,KUKA Aktiengesellschaft
HEN.SW,Henkel AG & Co. KGaA
EVE.SW,Evolva Holding SA
ZURN.VX,Zurich Insurance Group AG
LONN.VX,Lonza Group Ltd
GEBN.VX,Geberit AG
UBSG.VX,UBS Group AG
GIVN.VX,Givaudan SA
USIN.SW,USIN.SW
TEMN.SW,Temenos Group AG
ROL.SW,Von Roll Holding AG
MIKN.SW,Mikron Holding AG
BALN.VX,Bâloise Holding AG
ALLN.SW,Allreal Holding AG
YPSN.SW,Ypsomed Holding AG
VATN.SW,Valiant Holding AG
VAHN.SW,Vaudoise Assurances Holding SA
UBXN.SW,u-blox Holding AG
SLOG.SW,SLOG.SW
STMN.SW,Straumann Holding AG
SOON.VX,Sonova Holding AG
SMET.SW,Swmtl Holding AG in liquidation
SLHN.VX,Swiss Life Holding AG
SFZN.SW,Siegfried Holding AG
SCHPE.SW,SCHPE.SW
SCHP.VX,Schindler Holding AG
SANN.SW,Santhera Pharmaceuticals Holding AG
BAER.VX,Julius Baer Group Ltd.
NIN.SW,"Nintendo Co., Ltd."
JEN.SW,Jenoptik AG
JFN.SW,Jungfraubahn Holding AG
JKS.SW,"JinkoSolar Holding Co., Ltd."
BCJ.SW,Banque Cantonale du Jura
TOSH.SW,Toshiba Corporation
JPM.SW,JPMorgan Chase & Co.
GRKP.SW,Graubündner Kantonalbank
SGKN.SW,St. Galler Kantonalbank AG
BLKB.SW,Basellandschaftliche Kantonalbank
OXKBC.SW,OXKBC.SW
SDF.SW,K+S Aktiengesellschaft
GMCR.SW,GMCR.SW
SYNN.VX,Syngenta AG
NESN.VX,Nestlé S.A.
NOVN.VX,Novartis AG
SREN.VX,Swiss Re Ltd
GALN.VX,VIFOR PHARMA FINANZ AG
CFR.VX,Compagnie Financière Richemont SA
STL.SW,Statoil ASA
OTI.SW,5ELEMENTS SA
RY.SW,Royal Bank of Canada
O2D.SW,Telefonica Dt H
OXCON.SW,OXCON.SW
POST.SW,Österreichische Post AG
OXSY1.SW,OXSY1.SW
OXDUE.SW,OXDUE.SW
OXLXS.SW,OXLXS.SW
OXCOP.SW,OXCOP.SW
ORCL.SW,Oracle Corporation
QCOM.SW,QUALCOMM Incorporated
QIHU.SW,QIHU.SW
QIA.SW,QIAGEN N.V.
QSC.SW,QSC
SGSN.VX,SGS SA
SCMN.VX,Swisscom AG
UHR.VX,The Swatch Group AG
SCTY.SW,SolarCity
PFE.SW,Pfizer Inc.
MDLZ.SW,"Mondelez International, Inc."
GOOGL.SW,Alphabet Inc.
CL.SW,Colgate-Palmolive Company
BHI.SW,Baker Hughes Incorporated
VPB.SW,VPB.SW
EPH.SW,Eastern Property Holdings Limited
VALE.SW,Vale S.A.
GSV.SW,Gold Standard Ventures Corp
VFC.SW,V.F. Corporation
VOE.SW,voestalpine
VIB3.SW,Villeroy & Boch AG
NEWN.SW,New Value AG
VW.SW,Volkswagen Aktiengesellschaft
VZ.SW,Verizon Communications Inc.
DRW3.SW,Draegerwerk
NEV.SW,New Venturetec AG
KORS.SW,Michael Kors Holdings Limited
VILN.SW,Villars Holding S.A.
HEN3.SW,Henkel AG & Co. KGaA
RWE3.SW,RWE Aktiengesellschaft
PAH3.SW,Porsche Automobil Holding SE
BCVN.SW,Banque Cantonale Vaudoise
PWTN.SW,Panalpina World Transport (Holding) Ltd.
SLW.SW,Wheaton Precious Metals Corp.
WMN.SW,Walter Meier AG
WBA.SW,"Walgreens Boots Alliance, Inc."
DWNI.SW,Deutsche Wohnen SE
WDI.SW,Wirecard AG
OXGWI1.SW,OXGWI1.SW
GWI1.SW,Gerry Weber International AG
WKBN.SW,Banque Cantonale du Valais
OXO1BC.SW,OXO1BC.SW
O1BC.SW,XING AG
XRX.SW,Xerox Corporation
XOM.SW,Exxon Mobil Corporation
XONE.SW,The ExOne Company
YRI.SW,Yamana Gold Inc.
YHOO.SW,Altaba Inc.
YAR.SW,Yara International ASA
YELP.SW,Yelp Inc.
YY.SW,YY Inc.
MY.SW,MY.SW
YUM.SW,"Yum! Brands, Inc."
YGE.SW,Yingli Green Energy Holding Company Limited
ZWM.SW,Zwahlen & Mayr SA
ZIL2.SW,ElringKlinger AG
ZAG.SW,Zumtobel Group AG
ZAL.SW,Zalando SE
ZEHN.SW,Zehnder Group AG
ZBH.SW,"Zimmer Biomet Holdings, Inc."
GOLI.SW,Gold Fields Limited
ZG.SW,Zuger Kantonalbank
AFX.SW,Carl Zeiss Meditec AG
OXAFX.SW,OXAFX.SW
ZC.SW,Zodiac Aerospace
ZMS.SW,ZMS.SW
TIM.SW,ZEAL Network SE
ZNGA.SW,Zynga Inc.
ZUGN.SW,Zug Estates Holding AG
ZUBN.SW,Züblin Immobilien Holding AG
METN.SW,Metall Zug AG
OXZO1.SW,OXZO1.SW
ZO1.SW,zooplus
ARL.SW,Aareal Bank AG
AAM.SW,Anglo American plc
AAD.SW,Amadeus FiRe AG
AA.SW,ARCONICINC
ABX.SW,Barrick Gold Corporation
ABBV.SW,AbbVie Inc.
ABBNE.SW,ABB LTD N 2. LINIE
ABF.SW,Associated British Foods plc
ABT.SW,Abbott Laboratories
ANF.SW,Abercrombie & Fitch Co.
ACUN.SW,Accu Holding AG
ATLNE.SW,ACTELION N 2. Linie
AC.SW,Accor SA
ACA.SW,Credit Agricole
AMD.SW,"Advanced Micro Devices, Inc."
ADBE.SW,Adobe Systems Incorporated
BABA.SW,Alibaba Group Holding Limited
VJET.SW,Voxeljet AG
TTM.SW,Tata Motors Limited
DANG.SW,E-COMMERCE
HQCL.SW,HQCL.SW
BIDU.SW,"Baidu, Inc."
ADXN.SW,Addex Therapeutics Ltd
RESOL.SW,Renesola
ADEN.VX,Adecco Group AG
ADS.SW,Adidas AG
TEVA.SW,Teva Pharmaceutical Industries Limited
JASO.SW,"JA Solar Holdings Co., Ltd."
ADENE.SW,Adecco Group AG
NTES.SW,"NetEase, Inc."
ADVN.SW,Adval Tech Holding AG
TSL.SW,Trina Solar Limited
AEVS.SW,Aevis Victoria SA
AEM.SW,Agnico Eagle Mines Limited
MTX.SW,MTU Aero Engines AG
AGN.SW,AEGON N.V.
AFGN.SW,ARBONIA AG
AF.SW,Air France-KLM SA
STLN.SW,Schmolz + Bickenbach AG
IMPN.SW,Implenia AG
BION.SW,BB Biotech AG
TECN.SW,Tecan Group Ltd.
SWTQ.SW,Schweiter Technologies AG
SPSN.SW,Swiss Prime Site AG
PM.SW,Phoenix Mecano AG
LISN.SW,Chocoladefabriken Lindt & Sprüngli AG
LIFE.SW,LifeWatch AG
IPS.SW,Ipsos SA
INRN.SW,Interroll Holding AG
GBMN.SW,Goldbach Group AG
GAV.SW,Carlo Gavazzi Holding AG
GAM.SW,GAM Holding AG
CYTN.SW,CYTN.SW
BSLN.SW,Basilea Pharmaceutica AG
BARN.SW,Barry Callebaut AG
ALSN.SW,ALSO Holding AG
DCN.SW,Datacolor AG
CPGN.SW,Cham Paper Group Holding AG
SAHN.SW,Schaffner Holding AG
DESN.SW,Dottikon Es Holding AG
ALPH.SW,Alpiq Holding AG
MOBN.SW,Mobimo Holding AG
SCHN.SW,Schindler Holding AG
CLTN.SW,COLTENE Holding AG
BIOEE.SW,BB Biotech AG
ALPNE.SW,Alpine Select AG
PSPN.SW,PSP Swiss Property AG
LUKN.SW,Luzerner Kantonalbank AG
EMSN.SW,EMS-Chemie Holding AG
IFCN.SW,INFICON Holding AG
STGN.SW,Starrag Group Holding AG
ELMN.SW,Elma Electronic AG
CALN.SW,Calida Holding AG
SUN.SW,Sulzer Ltd
MCHN.SW,MCH Group AG
ORON.SW,ORIOR AG
MBTN.SW,Meyer Burger Technology AG
EMMN.SW,Emmi AG
CASNE.SW,Castle Alternative Invest AG
AGFB.SW,Agfa-Gevaert N.V.
TIBN.SW,Bergbahnen Engelberg-Trübsee-Titlis AG
CLXN.SW,CREALOGIX Holding AG
HUBN.SW,Huber+Suhner AG
VBSN.SW,IVF Hartmann Holding AG
AGS.SW,ageas SA/NV
ESUN.SW,Edisun Power Europe AG
UHRN.SW,The Swatch Group AG
BC.SW,Bank Cler AG
GUR.SW,Gurit Holding AG
BANB.SW,Bachem Holding AG
CPHN.SW,CPH Chemie + Papier Holding AG
RIEN.SW,Rieter Holding AG
PEL.SW,PEL.SW
BRKN.SW,Burkhalter Holding AG
TOHN.SW,Tornos Holding AG
BBN.SW,Bellevue Group AG
PAXN.SW,Pax Anlage AG
UHRNE.SW,SWATCH GROUP N 2. LINIE
MASN.SW,MASN.SW
CPEN.SW,Castle Private Equity AG
ALPN.SW,Alpine Select AG
EDHN.SW,Energiedienst Holding AG
VET.SW,Vetropack Holding AG
BEAN.SW,Belimo Holding AG
REPI.SW,REPI.SW
LLB.SW,Liechtensteinische Landesbank Aktiengesellschaft
VONN.SW,Vontobel Holding AG
TAMN.SW,Tamedia AG
BAYN.SW,Bayer Aktiengesellschaft
PEHN.SW,Private Equity Holding AG
ALTN.SW,Altin AG
LOHN.SW,Looser Holding AG
MYRN.SW,Myriad Group AG
BLIN.SW,BFW Liegenschaften AG
IHSN.SW,IHSN.SW
BCHN.SW,Burckhardt Compression Holding AG
LISP.SW,Chocoladefabriken Lindt & Sprüngli AG
BUCN.SW,Bucher Industries AG
HELN.SW,Helvetia Holding AG
ASCN.SW,Ascom Holding AG
EEII.SW,EEII AG
DAE.SW,Dätwyler Holding Inc.
VLRT.SW,Valartis Group AG
LINN.SW,Bank Linth LLB AG
OFN.SW,Orell Füssli Holding AG
FORN.SW,Forbo Holding AG
REPP.SW,REPP.SW
WIE.SW,Wienerberger AG
COM.SW,COMMERZBANK I
BVZN.SW,BVZ Holding AG
CASN.SW,Castle Alternative Invest AG
SHPNE.SW,SHPNE.SW
SIN.SW,Siemens Aktiengesellschaft
FORNE.SW,FORNE.SW
STRN.SW,Schlatter Industries AG
COTN.SW,Comet Holding AG
KUNN.SW,KUONI N
KARN.SW,Kardex AG
GATE.SW,gategroup Holding AG
VZN.SW,VZ Holding AG
HUE.SW,Hügli Holding AG
WARN.SW,Warteck Invest AG
KOMN.SW,Komax Holding AG
VALN.SW,Valora Holding AG
AIXA.SW,Aixtron SE
AI.SW,"Air Liquide, société anonyme"
AIRN.SW,Airopack Technology Group AG
DAL.SW,"Delta Air Lines, Inc."
AIG.SW,"American International Group, Inc."
AIRE.SW,Airesis SA
AIR.SW,Airbus SE
AKZ.SW,Akzo Nobel N.V.
ALU.SW,ALU.SW
ALO.SW,Alstom SA
MO.SW,"Altria Group, Inc."
ALV.SW,Allianz SE
AOX.SW,alstria
ALXN.SW,"Alexion Pharmaceuticals, Inc."
AMGN.SW,Amgen Inc.
PAA.SW,Pan American Silver Corp.
BATS.SW,Brit Amer Tobacco
AXP.SW,American Express Company
BAC.SW,Bank of America Corporation
AMZN.SW,"Amazon.com, Inc."
ANDR.SW,Andritz AG
LLY.SW,Eli Lilly and Company
SLB.SW,Schlumberger Limited
AU.SW,AngloGold Ashanti Limited
APGN.SW,APG|SGA SA
MT.SW,ArcelorMittal
SAZ.SW,STADA Arzneimittel Aktiengesellschaft
ARYN.VX,ARYZTA AG
ARIA.SW,"ARIAD Pharmaceuticals, Inc."
ADM.SW,Archer-Daniels-Midland Company
CADN.SW,Sociedad Comercial del Plata S.A.
ARM.SW,ARM.SW
UA.SW,Under Armour
DIC.SW,DIC ASSET
ASM.SW,Avino Silver & Gold Mines Ltd.
ASML.SW,ASML Holding N.V.
AZN.SW,AstraZeneca PLC
ASG.SW,Assicurazioni Generali S.p.A.
SBO.SW,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft
EBS.SW,Erste Group Bank AG
VER.SW,Verbund
OMV.SW,OMV Aktiengesellschaft
BWO.SW,BUWOG AG
IIA.SW,Immofinanz AG
RBI.SW,Raiffeisen Bank International AG
RHI.SW,RHI AG
ROS.SW,Rosenbauer International AG
ATS.SW,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft
MMK.SW,Mayr-Melnhof Karton AG
CWI.SW,conwert ImmoInv
O2C.SW,Petro Welt Technologies AG
T.SW,AT&T
TKA.SW,Telekom Austria Aktiengesellschaft
LNZ.SW,Lenzing
CS.SW,AXA SA
SPR.SW,Axel Springer SE
BPDG.SW,Banque Profil de Gestion SA
BA.SW,The Boeing Company
BALNE.SW,BALOISE N 2. LINIE
BAX.SW,Baxter International Inc.
BB.SW,BlackBerry Limited
BBDB.SW,Bombardier Inc.
BBY.SW,"Best Buy Co., Inc."
BC8.SW,Bechtle AG
BDX.SW,"Becton, Dickinson and Company"
BDT.SW,Bertrandt Aktiengesellschaft
DBAN.SW,Deutsche Beteiligungs AG
PROX.SW,Proximus
