Ticker,Name
PHOL-R.BK,Phol Dhanya Public Company Limited
PACE.BK,Pace Development Corporation Public Company Limited
TAE.BK,Thai Agro Energy Public Company Limited
WHAPF.BK,WHA Premium Factory and Warehouse Freehold and Leasehold Property Fund
TPCH.BK,TPC Power Holding Public Company Limited
JUBILE.BK,Jubilee Enterprise Public Company Limited
JTS.BK,Jasmine Telecom Systems Public Company Limited
JMT-R.BK,JMT Network Services Public Company Limited
JASIF.BK,Jasmine Broadband Internet Infrastructure Fund
JCT.BK,Jack Chia Industries (Thailand) Public Company Limited
JWD.BK,JWD Infologistics Public Company Limited
JMART.BK,Jay Mart Public Company Limited
NPK-R.BK,New Plus Knitting Public Company Limited
KTC.BK,Krungthai Card Public Company Limited
KTC-R.BK,Krungthai Card Public Company Limited
KTB.BK,Krung Thai Bank Public Company Limited
KGI.BK,KGI Securities (Thailand) Public Company Limited
KC.BK,K.C. Property Public Company Limited
KASET.BK,Thai HA Public Company Limited
KPNPF.BK,KPN Property Fund
KWC-R.BK,Krungdhep Sophon Public Company Limited
POMPUI.BK,KUANG PEI SAN FOOD PRODUCTS
NEP-R.BK,NEP Realty and Industry Public Company Limited
UPA-R.BK,United Power of Asia Public Company Limited
QHPF.BK,Quality Houses Leasehold Property Fund
QLT-R.BK,Qualitech Public Company Limited
QH.BK,Quality Houses Public Company Limited
QTC-R.BK,QTC Energy Public Company Limited
Q-CON-R.BK,Quality Construction Products Public Company Limited
QHOP.BK,Quality Hospitality Leasehold Property Fund
QLT.BK,Qualitech Public Company Limited
QHHR.BK,Quality Houses Hotel and Residence Freehold and Leasehold Property Fund
QH-R.BK,Quality Houses Public Company Limited
QTC.BK,QTC Energy Public Company Limited
Q-CON.BK,Quality Construction Products Public Company Limited
SPRC-R.BK,Star Petroleum Refining Public Company Limited
SVH.BK,Samitivej Public Company Limited
UWC-R.BK,Ua Withya Public Company Limited
UPF-R.BK,Union Pioneer Public Company Limited
UNIQ.BK,Unique Engineering And Construction Public Company Limited
VIBHA.BK,Vibhavadi Medical Center Public Company Limited
VARO.BK,Varopakorn Public Company Limited
VIH.BK,Srivichaivejvivat Public Company Limited
WIN-R.BK,Wyncoast Industrial Park Public Company Limited
TWPC-R.BK,Thai Wah Public Company Limited
WR.BK,WE RETAIL PUBLIC COMPANY LIMITE
WHA.BK,WHA Corporation Public Company Limited
WHABT.BK,WHA Business Complex Freehold and Leasehold Real Estate Investment Trust
TWS.BK,Thai Wah Starch Public Company Limited
WG.BK,White Group Public Company Limited
WORLD-R.BK,WORLD CORPORATION PUBLIC COMPAN
WHART.BK,WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust
WIIK.BK,Wiik & Hoeglund Public Company Limited
