Ticker,Name
BVCC.CR,"BOLSA DE VALORES DE CARACAS, C."
BBP-O.CR,BANESCO PRF.
CC152P.CR,CARABOBO15-2
MPA.CR,"MANUFACTURAS DE PAPEL, S.A.C.A."
ABC-B.CR,"BANCO DEL CARIBE, C.A. BANCO UN"
EN154.CR,ENVASE15-4
TPG.CR,"TELARES DE PALO GRANDE, C.A."
VNS-A.CR,VENASETA 'A
F413P.CR,FVI.14-I-3 P
DOM-O.CR,DOMINGUEZ
MVZ-A.CR,MERCANTIL SERVICIOS FINANCIEROS
EN153.CR,ENVASE15-3
SV-B.CR,"INVERSIONES SELVA, C.A. CLASE '"
TY137.CR,TOYOTA 3-I7
TDV-D.CR,C.A. NACIONAL TELEFONOS DE VENE
BPV.CR,"BANCO PROVINCIAL, S.A. BANCO UN"
CPLPB.CR,"CARGOPORT LOGISTIC, C.A. CLASE"
VNS-B.CR,VENASETA 'B
FNC-O.CR,FNC. (S.ESP)
VCM-2.CR,CEMEX. II
D94417.CR,DP04947-0011
ENV.CR,ENVASES VENEZOLANOS S.A.
FNC.CR,"FABRICA NACIONAL DE CEMENTOS, C"
RST.CR,C.A. RON SANTA TERESA
PGR.CR,"PROAGRO, C.A."
SPTBO.CR,SUELOPETROL
GZL.CR,"GRUPO ZULIANO, C.A. S.A.C.A"
GZL-O.CR,GPO. ZULIANO
ABCPC.CR,B.CARIBE P-C
ABC-A.CR,"BANCO DEL CARIBE, C.A. BANCO UN"
FVIMY.CR,FVI ADRS
SVSR1.CR,SIVENSA ADR
BBC.CR,BANESCO. B.U
BFC.CR,B.FOND.COMUN
BNC.CR,"BANCO NACIONAL DE CREDITO, C.A."
BOU.CR,BANCO OCCIDENTAL DE DECUENTO BA
BVC-O.CR,B.V.DE CCS.
BVL-O.CR,B.VZLA.S.ESP
BVL.CR,"BANCO DE VENEZUELA, S.A. BANCO"
CCR.CR,CERAMICA CARABOBO S.A.C.A
CC152.CR,CARABOBO-152
IVC.CR,C.A. INMUEBLES Y VALORES CARACA
VCM-1.CR,CEMEX .I
CGQ.CR,CGQ.CR
CIE.CR,CORPORACION INDUSTRAIL DE ENERG
CPL-A.CR,"CARGOPORT LOGISTIC, C.A. CLASE"
CPLPC.CR,"CARGOPORT LOGISTIC, C.A. CLASE"
CPLPD.CR,"CARGOPORT LOGISTIC, C.A. CLASE"
CRM-A.CR,"CORIMON, C.A."
ICP-B.CR,"INVERSIONES CRECEPYMES, C.A. CL"
DG1216.CR,DIGITEL12-16
DG1215.CR,DIGITEL12-15
DOM.CR,"DOMINGUEZ CIA, S.A"
D51319.CR,DP05187-0014
EFE.CR,"PRODUCTOS EFE, S.A."
OCE.CR,ORIENTE ENTIDAD DE INVERSION CO
FNV.CR,C.A. FABRICA NACIONAL DE VIDRIO
FVI-A.CR,FONDO DE VALORES INMOBILIARIOS
FVI-B.CR,FONDO DE VALORES INMOBILIARIOS
FVA-O.CR,FVINM.'A'(E)
IBV-O.CR,INM.B.DE V.O
IBV.CR,"INMUEBLES B. DE V. 1985, C.A."
ITLC.CR,ITALCAMBIO
MVZ-B.CR,MERCANTIL SERVICIOS FINANCIEROS
M1523P.CR,MZ-15-II-3 P
MZ5I1P.CR,MZ-15-I-1
M1524P.CR,MZ-15-II-4 P
M1525P.CR,MZ-15-II-5 P
NU135.CR,NETUNO 13-5
NU143.CR,NETUNO 14-3
OEI.CR,SINERGIA ENTIDAD DE INVERSION C
PTN.CR,"PROTINAL, C.A."
SVS.CR,SIDERURGICA VENEZOLANA 'SIVENSA
SPT-B.CR,SUELOPETROL
SPT-O.CR,SUELOPETROL
SV-A.CR,"INVERSIONES SELVA, C.A. CLASE '"
TDX-O.CR,CANTV 'A'OPT
TDV-O.CR,CANTV 'D'OPT
TES2.CR,TES2.CR
EN157.CR,ENVASE15-7
EN159.CR,ENVASE15-9
EN156.CR,ENVASE15-6
INV.CR,INVERSIONES DIVERSAS INVERDICA
EN158.CR,ENVASE15-8
VNP-B.CR,VENEPAL.B
EN151.CR,ENVASE15-1
EN1510.CR,ENVASE15-10
EN155.CR,ENVASE15-5
IN122.CR,INELECT 12-2
EN152.CR,ENVASE15-2
TES10.CR,TES10.CR
